Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. Rousillon. The COUNT's palace.,,,,
,,,,"Enter BERTRAM, the COUNTESS of Rousillon, HELENA, and LAFEU, all in black"
,COUNTESS,,,
,,"In delivering my son from me, I bury a second husband.",1.1.1,
,BERTRAM,,,
,,"And I in going, madam, weep o'er my father's death",1.1.2,
,,"anew: but I must attend his majesty's command, to",1.1.3,
,,"whom I am now in ward, evermore in subjection.",1.1.4,
,LAFEU,,,
,,"You shall find of the king a husband, madam; you,",1.1.5,
,,"sir, a father: he that so generally is at all times",1.1.6,
,,good must of necessity hold his virtue to you; whose,1.1.7,
,,worthiness would stir it up where it wanted rather,1.1.8,
,,than lack it where there is such abundance.,1.1.9,
,COUNTESS,,,
,,What hope is there of his majesty's amendment?,1.1.10,
,LAFEU,,,
,,"He hath abandoned his physicians, madam; under whose",1.1.11,
,,"practises he hath persecuted time with hope, and",1.1.12,
,,finds no other advantage in the process but only the,1.1.13,
,,losing of hope by time.,1.1.14,
,COUNTESS,,,
,,"This young gentlewoman had a father,--O, that",1.1.15,
,,'had'! how sad a passage 'tis!--whose skill was,1.1.16,
,,almost as great as his honesty; had it stretched so,1.1.17,
,,"far, would have made nature immortal, and death",1.1.18,
,,"should have play for lack of work. Would, for the",1.1.19,
,,"king's sake, he were living! I think it would be",1.1.20,
,,the death of the king's disease.,1.1.21,
,LAFEU,,,
,,"How called you the man you speak of, madam?",1.1.22,
,COUNTESS,,,
,,"He was famous, sir, in his profession, and it was",1.1.23,
,,his great right to be so: Gerard de Narbon.,1.1.24,
,LAFEU,,,
,,"He was excellent indeed, madam: the king very",1.1.25,
,,lately spoke of him admiringly and mourningly: he,1.1.26,
,,"was skilful enough to have lived still, if knowledge",1.1.27,
,,could be set up against mortality.,1.1.28,
,BERTRAM,,,
,,"What is it, my good lord, the king languishes of?",1.1.29,
,LAFEU,,,
,,"A fistula, my lord.",1.1.30,
,BERTRAM,,,
,,I heard not of it before.,1.1.31,
,LAFEU,,,
,,I would it were not notorious. Was this gentlewoman,1.1.32,
,,the daughter of Gerard de Narbon?,1.1.33,
,COUNTESS,,,
,,"His sole child, my lord, and bequeathed to my",1.1.34,
,,overlooking. I have those hopes of her good that,1.1.35,
,,her education promises; her dispositions she,1.1.36,
,,"inherits, which makes fair gifts fairer; for where",1.1.37,
,,"an unclean mind carries virtuous qualities, there",1.1.38,
,,commendations go with pity; they are virtues and,1.1.39,
,,traitors too; in her they are the better for their,1.1.40,
,,simpleness; she derives her honesty and achieves her goodness.,1.1.41,
,LAFEU,,,
,,"Your commendations, madam, get from her tears.",1.1.42,
,COUNTESS,,,
,,'Tis the best brine a maiden can season her praise,1.1.43,
,,in. The remembrance of her father never approaches,1.1.44,
,,her heart but the tyranny of her sorrows takes all,1.1.45,
,,"livelihood from her cheek. No more of this, Helena;",1.1.46,
,,"go to, no more; lest it be rather thought you affect",1.1.47,
,,a sorrow than have it.,1.1.48,
,HELENA,,,
,,"I do affect a sorrow indeed, but I have it too.",1.1.49,
,LAFEU,,,
,,"Moderate lamentation is the right of the dead,",1.1.50,
,,excessive grief the enemy to the living.,1.1.51,
,COUNTESS,,,
,,"If the living be enemy to the grief, the excess",1.1.52,
,,makes it soon mortal.,1.1.53,
,BERTRAM,,,
,,"Madam, I desire your holy wishes.",1.1.54,
,LAFEU,,,
,,How understand we that?,1.1.55,
,COUNTESS,,,
,,"Be thou blest, Bertram, and succeed thy father",1.1.56,
,,"In manners, as in shape! thy blood and virtue",1.1.57,
,,"Contend for empire in thee, and thy goodness",1.1.58,
,,"Share with thy birthright! Love all, trust a few,",1.1.59,
,,Do wrong to none: be able for thine enemy,1.1.60,
,,"Rather in power than use, and keep thy friend",1.1.61,
,,"Under thy own life's key: be cheque'd for silence,",1.1.62,
,,"But never tax'd for speech. What heaven more will,",1.1.63,
,,"That thee may furnish and my prayers pluck down,",1.1.64,
,,"Fall on thy head! Farewell, my lord;",1.1.65,
,,"'Tis an unseason'd courtier; good my lord,",1.1.66,
,,Advise him.,1.1.67,
,LAFEU,,,
,,He cannot want the best,1.1.68,
,,That shall attend his love.,1.1.69,
,COUNTESS,,,
,,"Heaven bless him! Farewell, Bertram.",1.1.70,
,,,,Exit
,BERTRAM,,,
,,[To HELENA]  The best wishes that can be forged in,1.1.71,
,,your thoughts be servants to you! Be comfortable,1.1.72,
,,"to my mother, your mistress, and make much of her.",1.1.73,
,LAFEU,,,
,,"Farewell, pretty lady: you must hold the credit of",1.1.74,
,,your father.,1.1.75,
,,,,Exeunt BERTRAM and LAFEU
,HELENA,,,
,,"O, were that all! I think not on my father;",1.1.76,
,,And these great tears grace his remembrance more,1.1.77,
,,Than those I shed for him. What was he like?,1.1.78,
,,I have forgot him: my imagination,1.1.79,
,,Carries no favour in't but Bertram's.,1.1.80,
,,"I am undone: there is no living, none,",1.1.81,
,,If Bertram be away. 'Twere all one,1.1.82,
,,That I should love a bright particular star,1.1.83,
,,"And think to wed it, he is so above me:",1.1.84,
,,In his bright radiance and collateral light,1.1.85,
,,"Must I be comforted, not in his sphere.",1.1.86,
,,The ambition in my love thus plagues itself:,1.1.87,
,,The hind that would be mated by the lion,1.1.88,
,,"Must die for love. 'Twas pretty, though plague,",1.1.89,
,,To see him every hour; to sit and draw,1.1.90,
,,"His arched brows, his hawking eye, his curls,",1.1.91,
,,In our heart's table; heart too capable,1.1.92,
,,Of every line and trick of his sweet favour:,1.1.93,
,,"But now he's gone, and my idolatrous fancy",1.1.94,
,,Must sanctify his reliques. Who comes here?,1.1.95,
,,,,Enter PAROLLES
,,,,Aside
,,One that goes with him: I love him for his sake;,1.1.96,
,,"And yet I know him a notorious liar,",1.1.97,
,,"Think him a great way fool, solely a coward;",1.1.98,
,,"Yet these fixed evils sit so fit in him,",1.1.99,
,,"That they take place, when virtue's steely bones",1.1.100,
,,"Look bleak i' the cold wind: withal, full oft we see",1.1.101,
,,Cold wisdom waiting on superfluous folly.,1.1.102,
,PAROLLES,,,
,,"Save you, fair queen!",1.1.103,
,HELENA,,,
,,"And you, monarch!",1.1.104,
,PAROLLES,,,
,,No.,1.1.105,
,HELENA,,,
,,And no.,1.1.106,
,PAROLLES,,,
,,Are you meditating on virginity?,1.1.107,
,HELENA,,,
,,Ay. You have some stain of soldier in you: let me,1.1.108,
,,ask you a question. Man is enemy to virginity; how,1.1.109,
,,may we barricado it against him?,1.1.110,
,PAROLLES,,,
,,Keep him out.,1.1.111,
,HELENA,,,
,,"But he assails; and our virginity, though valiant,",1.1.112,
,,in the defence yet is weak: unfold to us some,1.1.113,
,,warlike resistance.,1.1.114,
,PAROLLES,,,
,,"There is none: man, sitting down before you, will",1.1.115,
,,undermine you and blow you up.,1.1.116,
,HELENA,,,
,,Bless our poor virginity from underminers and,1.1.117,
,,"blowers up! Is there no military policy, how",1.1.118,
,,virgins might blow up men?,1.1.119,
,PAROLLES,,,
,,"Virginity being blown down, man will quicklier be",1.1.120,
,,"blown up: marry, in blowing him down again, with",1.1.121,
,,"the breach yourselves made, you lose your city. It",1.1.122,
,,is not politic in the commonwealth of nature to,1.1.123,
,,preserve virginity. Loss of virginity is rational,1.1.124,
,,increase and there was never virgin got till,1.1.125,
,,virginity was first lost. That you were made of is,1.1.126,
,,metal to make virgins. Virginity by being once lost,1.1.127,
,,"may be ten times found; by being ever kept, it is",1.1.128,
,,ever lost: 'tis too cold a companion; away with 't!,1.1.129,
