Title,Chapter,Player,Line,Line ID,Stage Direction
Antony and Cleopatra,,,,,
,ACT I,,,,
,SCENE I. Alexandria. A room in CLEOPATRA's palace.,,,,
,,,,,Enter DEMETRIUS and PHILO
,,PHILO,,,
,,,"Nay, but this dotage of our general's",1.1.1,
,,,"O'erflows the measure: those his goodly eyes,",1.1.2,
,,,That o'er the files and musters of the war,1.1.3,
,,,"Have glow'd like plated Mars, now bend, now turn,",1.1.4,
,,,The office and devotion of their view,1.1.5,
,,,"Upon a tawny front: his captain's heart,",1.1.6,
,,,Which in the scuffles of great fights hath burst,1.1.7,
,,,"The buckles on his breast, reneges all temper,",1.1.8,
,,,And is become the bellows and the fan,1.1.9,
,,,To cool a gipsy's lust.,1.1.10,
,,,,,"Flourish. Enter ANTONY, CLEOPATRA, her Ladies, the Train, with Eunuchs fanning her"
,,,"Look, where they come:",1.1.11,
,,,"Take but good note, and you shall see in him.",1.1.12,
,,,The triple pillar of the world transform'd,1.1.13,
,,,Into a strumpet's fool: behold and see.,1.1.14,
,,CLEOPATRA,,,
,,,"If it be love indeed, tell me how much.",1.1.15,
,,MARK ANTONY,,,
,,,There's beggary in the love that can be reckon'd.,1.1.16,
,,CLEOPATRA,,,
,,,I'll set a bourn how far to be beloved.,1.1.17,
,,MARK ANTONY,,,
,,,"Then must thou needs find out new heaven, new earth.",1.1.18,
,,,,,Enter an Attendant
,,Attendant,,,
,,,"News, my good lord, from Rome.",1.1.19,
,,MARK ANTONY,,,
,,,Grates me: the sum.,1.1.20,
,,CLEOPATRA,,,
,,,"Nay, hear them, Antony:",1.1.21,
,,,"Fulvia perchance is angry; or, who knows",1.1.22,
,,,If the scarce-bearded Caesar have not sent,1.1.23,
,,,"His powerful mandate to you, 'Do this, or this;",1.1.24,
,,,"Take in that kingdom, and enfranchise that;",1.1.25,
,,,"Perform 't, or else we damn thee.'",1.1.26,
,,MARK ANTONY,,,
,,,"How, my love!",1.1.27,
,,CLEOPATRA,,,
,,,"Perchance! nay, and most like:",1.1.28,
,,,"You must not stay here longer, your dismission",1.1.29,
,,,"Is come from Caesar; therefore hear it, Antony.",1.1.30,
,,,Where's Fulvia's process? Caesar's I would say? both?,1.1.31,
,,,"Call in the messengers. As I am Egypt's queen,",1.1.32,
,,,"Thou blushest, Antony; and that blood of thine",1.1.33,
,,,Is Caesar's homager: else so thy cheek pays shame,1.1.34,
,,,When shrill-tongued Fulvia scolds. The messengers!,1.1.35,
,,MARK ANTONY,,,
,,,"Let Rome in Tiber melt, and the wide arch",1.1.36,
,,,Of the ranged empire fall! Here is my space.,1.1.37,
,,,Kingdoms are clay: our dungy earth alike,1.1.38,
,,,Feeds beast as man: the nobleness of life,1.1.39,
,,,Is to do thus; when such a mutual pair,1.1.40,
,,,,,Embracing
,,,"And such a twain can do't, in which I bind,",1.1.41,
,,,"On pain of punishment, the world to weet",1.1.42,
,,,We stand up peerless.,1.1.43,
,,CLEOPATRA,,,
,,,Excellent falsehood!,1.1.44,
,,,"Why did he marry Fulvia, and not love her?",1.1.45,
