Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. Orchard of Oliver's house.,,,,
,,,,Enter ORLANDO and ADAM
,ORLANDO,,,
,,"As I remember, Adam, it was upon this fashion",1.1.1,
,,"bequeathed me by will but poor a thousand crowns,",1.1.2,
,,"and, as thou sayest, charged my brother, on his",1.1.3,
,,"blessing, to breed me well: and there begins my",1.1.4,
,,"sadness. My brother Jaques he keeps at school, and",1.1.5,
,,"report speaks goldenly of his profit: for my part,",1.1.6,
,,"he keeps me rustically at home, or, to speak more",1.1.7,
,,"properly, stays me here at home unkept; for call you",1.1.8,
,,"that keeping for a gentleman of my birth, that",1.1.9,
,,differs not from the stalling of an ox? His horses,1.1.10,
,,"are bred better; for, besides that they are fair",1.1.11,
,,"with their feeding, they are taught their manage,",1.1.12,
,,"and to that end riders dearly hired: but I, his",1.1.13,
,,"brother, gain nothing under him but growth; for the",1.1.14,
,,which his animals on his dunghills are as much,1.1.15,
,,bound to him as I. Besides this nothing that he so,1.1.16,
,,"plentifully gives me, the something that nature gave",1.1.17,
,,me his countenance seems to take from me: he lets,1.1.18,
,,"me feed with his hinds, bars me the place of a",1.1.19,
,,"brother, and, as much as in him lies, mines my",1.1.20,
,,"gentility with my education. This is it, Adam, that",1.1.21,
,,"grieves me; and the spirit of my father, which I",1.1.22,
,,"think is within me, begins to mutiny against this",1.1.23,
,,"servitude: I will no longer endure it, though yet I",1.1.24,
,,know no wise remedy how to avoid it.,1.1.25,
,ADAM,,,
,,"Yonder comes my master, your brother.",1.1.26,
,ORLANDO,,,
,,"Go apart, Adam, and thou shalt hear how he will",1.1.27,
,,shake me up.,1.1.28,
,,,,Enter OLIVER
,OLIVER,,,
,,"Now, sir! what make you here?",1.1.29,
,ORLANDO,,,
,,Nothing: I am not taught to make any thing.,1.1.30,
,OLIVER,,,
,,"What mar you then, sir?",1.1.31,
,ORLANDO,,,
,,"Marry, sir, I am helping you to mar that which God",1.1.32,
,,"made, a poor unworthy brother of yours, with idleness.",1.1.33,
,OLIVER,,,
,,"Marry, sir, be better employed, and be naught awhile.",1.1.34,
,ORLANDO,,,
,,Shall I keep your hogs and eat husks with them?,1.1.35,
,,"What prodigal portion have I spent, that I should",1.1.36,
,,come to such penury?,1.1.37,
,OLIVER,,,
,,"Know you where your are, sir?",1.1.38,
,ORLANDO,,,
,,"O, sir, very well; here in your orchard.",1.1.39,
,OLIVER,,,
,,"Know you before whom, sir?",1.1.40,
,ORLANDO,,,
,,"Ay, better than him I am before knows me. I know",1.1.41,
,,"you are my eldest brother; and, in the gentle",1.1.42,
