Title,Chapter,Player,Line,Line ID,Stage Direction
Coriolanus,,,,,
,ACT I,,,,
,SCENE I. Rome. A street.,,,,
,,,,,"Enter a company of mutinous Citizens, with staves, clubs, and other weapons"
,,First Citizen,,,
,,,"Before we proceed any further, hear me speak.",1.1.1,
,,All,,,
,,,"Speak, speak.",1.1.2,
,,First Citizen,,,
,,,You are all resolved rather to die than to famish?,1.1.3,
,,All,,,
,,,Resolved. resolved.,1.1.4,
,,First Citizen,,,
,,,"First, you know Caius Marcius is chief enemy to the people.",1.1.5,
,,All,,,
,,,"We know't, we know't.",1.1.6,
,,First Citizen,,,
,,,"Let us kill him, and we'll have corn at our own price.",1.1.7,
,,,Is't a verdict?,1.1.8,
,,All,,,
,,,"No more talking on't; let it be done: away, away!",1.1.9,
,,Second Citizen,,,
,,,"One word, good citizens.",1.1.10,
,,First Citizen,,,
,,,"We are accounted poor citizens, the patricians good.",1.1.11,
,,,What authority surfeits on would relieve us: if they,1.1.12,
,,,"would yield us but the superfluity, while it were",1.1.13,
,,,"wholesome, we might guess they relieved us humanely;",1.1.14,
,,,but they think we are too dear: the leanness that,1.1.15,
,,,"afflicts us, the object of our misery, is as an",1.1.16,
,,,inventory to particularise their abundance; our,1.1.17,
,,,sufferance is a gain to them Let us revenge this with,1.1.18,
,,,"our pikes, ere we become rakes: for the gods know I",1.1.19,
,,,"speak this in hunger for bread, not in thirst for revenge.",1.1.20,
,,Second Citizen,,,
,,,Would you proceed especially against Caius Marcius?,1.1.21,
,,All,,,
,,,Against him first: he's a very dog to the commonalty.,1.1.22,
,,Second Citizen,,,
,,,Consider you what services he has done for his country?,1.1.23,
,,First Citizen,,,
,,,Very well; and could be content to give him good,1.1.24,
,,,"report fort, but that he pays himself with being proud.",1.1.25,
,,Second Citizen,,,
,,,"Nay, but speak not maliciously.",1.1.26,
,,First Citizen,,,
,,,"I say unto you, what he hath done famously, he did",1.1.27,
,,,it to that end: though soft-conscienced men can be,1.1.28,
,,,content to say it was for his country he did it to,1.1.29,
,,,please his mother and to be partly proud; which he,1.1.30,
,,,"is, even till the altitude of his virtue.",1.1.31,
,,Second Citizen,,,
,,,"What he cannot help in his nature, you account a",1.1.32,
,,,vice in him. You must in no way say he is covetous.,1.1.33,
,,First Citizen,,,
,,,"If I must not, I need not be barren of accusations;",1.1.34,
,,,"he hath faults, with surplus, to tire in repetition.",1.1.35,
,,,,,Shouts within
,,,What shouts are these? The other side o' the city,1.1.36,
,,,is risen: why stay we prating here? to the Capitol!,1.1.37,
,,All,,,
,,,"Come, come.",1.1.38,
,,First Citizen,,,
,,,Soft! who comes here?,1.1.39,
,,,,,Enter MENENIUS AGRIPPA
,,Second Citizen,,,
,,,Worthy Menenius Agrippa; one that hath always loved,1.1.40,
,,,the people.,1.1.41,
,,First Citizen,,,
,,,He's one honest enough: would all the rest were so!,1.1.42,
,,MENENIUS,,,
,,,"What work's, my countrymen, in hand? where go you",1.1.43,
,,,"With bats and clubs? The matter? speak, I pray you.",1.1.44,
,,First Citizen,,,
