Title,Chapter,Player,Line,Line ID,Stage Direction
Cymbeline,,,,,
,ACT I,,,,
,SCENE I. Britain. The garden of Cymbeline's palace.,,,,
,,,,,Enter two Gentlemen
,,First Gentleman,,,
,,,You do not meet a man but frowns: our bloods,1.1.1,
,,,No more obey the heavens than our courtiers,1.1.2,
,,,Still seem as does the king.,1.1.3,
,,Second Gentleman,,,
,,,But what's the matter?,1.1.4,
,,First Gentleman,,,
,,,"His daughter, and the heir of's kingdom, whom",1.1.5,
,,,He purposed to his wife's sole son--a widow,1.1.6,
,,,That late he married--hath referr'd herself,1.1.7,
,,,Unto a poor but worthy gentleman: she's wedded;,1.1.8,
,,,Her husband banish'd; she imprison'd: all,1.1.9,
,,,Is outward sorrow; though I think the king,1.1.10,
,,,Be touch'd at very heart.,1.1.11,
,,Second Gentleman,,,
,,,None but the king?,1.1.12,
,,First Gentleman,,,
,,,"He that hath lost her too; so is the queen,",1.1.13,
,,,"That most desired the match; but not a courtier,",1.1.14,
,,,Although they wear their faces to the bent,1.1.15,
,,,"Of the king's look's, hath a heart that is not",1.1.16,
,,,Glad at the thing they scowl at.,1.1.17,
,,Second Gentleman,,,
,,,And why so?,1.1.18,
,,First Gentleman,,,
,,,He that hath miss'd the princess is a thing,1.1.19,
,,,Too bad for bad report: and he that hath her--,1.1.20,
,,,"I mean, that married her, alack, good man!",1.1.21,
,,,And therefore banish'd--is a creature such,1.1.22,
,,,"As, to seek through the regions of the earth",1.1.23,
,,,"For one his like, there would be something failing",1.1.24,
,,,In him that should compare. I do not think,1.1.25,
,,,So fair an outward and such stuff within,1.1.26,
,,,Endows a man but he.,1.1.27,
,,Second Gentleman,,,
,,,You speak him far.,1.1.28,
,,First Gentleman,,,
,,,"I do extend him, sir, within himself,",1.1.29,
,,,Crush him together rather than unfold,1.1.30,
,,,His measure duly.,1.1.31,
,,Second Gentleman,,,
,,,What's his name and birth?,1.1.32,
,,First Gentleman,,,
,,,I cannot delve him to the root: his father,1.1.33,
,,,"Was call'd Sicilius, who did join his honour",1.1.34,
,,,"Against the Romans with Cassibelan,",1.1.35,
,,,But had his titles by Tenantius whom,1.1.36,
,,,"He served with glory and admired success,",1.1.37,
,,,So gain'd the sur-addition Leonatus;,1.1.38,
,,,"And had, besides this gentleman in question,",1.1.39,
,,,"Two other sons, who in the wars o' the time",1.1.40,
,,,Died with their swords in hand; for which,1.1.41,
,,,"their father,",1.1.42,
,,,"Then old and fond of issue, took such sorrow",1.1.43,
,,,"That he quit being, and his gentle lady,",1.1.44,
,,,"Big of this gentleman our theme, deceased",1.1.45,
,,,As he was born. The king he takes the babe,1.1.46,
,,,"To his protection, calls him Posthumus Leonatus,",1.1.47,
,,,"Breeds him and makes him of his bed-chamber,",1.1.48,
,,,Puts to him all the learnings that his time,1.1.49,
,,,"Could make him the receiver of; which he took,",1.1.50,
,,,"As we do air, fast as 'twas minister'd,",1.1.51,
,,,"And in's spring became a harvest, lived in court--",1.1.52,
,,,"Which rare it is to do--most praised, most loved,",1.1.53,
,,,"A sample to the youngest, to the more mature",1.1.54,
,,,"A glass that feated them, and to the graver",1.1.55,
,,,"A child that guided dotards; to his mistress,",1.1.56,
,,,"For whom he now is banish'd, her own price",1.1.57,
,,,Proclaims how she esteem'd him and his virtue;,1.1.58,
,,,By her election may be truly read,1.1.59,
,,,What kind of man he is.,1.1.60,
,,Second Gentleman,,,
,,,I honour him,1.1.61,
,,,"Even out of your report. But, pray you, tell me,",1.1.62,
,,,Is she sole child to the king?,1.1.63,
,,First Gentleman,,,
,,,His only child.,1.1.64,
,,,"He had two sons: if this be worth your hearing,",1.1.65,
,,,"Mark it: the eldest of them at three years old,",1.1.66,
,,,"I' the swathing-clothes the other, from their nursery",1.1.67,
,,,"Were stol'n, and to this hour no guess in knowledge",1.1.68,
,,,Which way they went.,1.1.69,
,,Second Gentleman,,,
,,,How long is this ago?,1.1.70,
,,First Gentleman,,,
,,,Some twenty years.,1.1.71,
,,Second Gentleman,,,
,,,"That a king's children should be so convey'd,",1.1.72,
,,,"So slackly guarded, and the search so slow,",1.1.73,
,,,That could not trace them!,1.1.74,
,,First Gentleman,,,
,,,"Howsoe'er 'tis strange,",1.1.75,
,,,"Or that the negligence may well be laugh'd at,",1.1.76,
,,,"Yet is it true, sir.",1.1.77,
,,Second Gentleman,,,
,,,I do well believe you.,1.1.78,
,,First Gentleman,,,
,,,"We must forbear: here comes the gentleman,",1.1.79,
,,,"The queen, and princess.",1.1.80,
,,,,,Exeunt
,,,,,"Enter the QUEEN, POSTHUMUS LEONATUS, and IMOGEN"
,,QUEEN,,,
,,,"No, be assured you shall not find me, daughter,",1.1.81,
,,,"After the slander of most stepmothers,",1.1.82,
,,,"Evil-eyed unto you: you're my prisoner, but",1.1.83,
,,,Your gaoler shall deliver you the keys,1.1.84,
,,,"That lock up your restraint. For you, Posthumus,",1.1.85,
,,,"So soon as I can win the offended king,",1.1.86,
,,,"I will be known your advocate: marry, yet",1.1.87,
,,,"The fire of rage is in him, and 'twere good",1.1.88,
,,,You lean'd unto his sentence with what patience,1.1.89,
,,,Your wisdom may inform you.,1.1.90,
,,POSTHUMUS LEONATUS,,,
,,,"Please your highness,",1.1.91,
,,,I will from hence to-day.,1.1.92,
,,QUEEN,,,
,,,You know the peril.,1.1.93,
,,,"I'll fetch a turn about the garden, pitying",1.1.94,
,,,"The pangs of barr'd affections, though the king",1.1.95,
,,,Hath charged you should not speak together.,1.1.96,
,,,,,Exit
,,IMOGEN,,,
,,,O,1.1.97,
,,,Dissembling courtesy! How fine this tyrant,1.1.98,
,,,"Can tickle where she wounds! My dearest husband,",1.1.99,
,,,I something fear my father's wrath; but nothing--,1.1.100,
,,,Always reserved my holy duty--what,1.1.101,
,,,His rage can do on me: you must be gone;,1.1.102,
,,,And I shall here abide the hourly shot,1.1.103,
,,,"Of angry eyes, not comforted to live,",1.1.104,
,,,But that there is this jewel in the world,1.1.105,
,,,That I may see again.,1.1.106,
,,POSTHUMUS LEONATUS,,,
,,,My queen! my mistress!,1.1.107,
,,,"O lady, weep no more, lest I give cause",1.1.108,
,,,To be suspected of more tenderness,1.1.109,
,,,Than doth become a man. I will remain,1.1.110,
,,,The loyal'st husband that did e'er plight troth:,1.1.111,
,,,"My residence in Rome at one Philario's,",1.1.112,
,,,"Who to my father was a friend, to me",1.1.113,
,,,"Known but by letter: thither write, my queen,",1.1.114,
,,,"And with mine eyes I'll drink the words you send,",1.1.115,
,,,Though ink be made of gall.,1.1.116,
,,,,,Re-enter QUEEN
,,QUEEN,,,
,,,"Be brief, I pray you:",1.1.117,
,,,"If the king come, I shall incur I know not",1.1.118,
,,,How much of his displeasure.,1.1.119,
,,,,,Aside
,,,Yet I'll move him,1.1.120,
,,,"To walk this way: I never do him wrong,",1.1.121,
,,,"But he does buy my injuries, to be friends;",1.1.122,
,,,Pays dear for my offences.,1.1.123,
,,,,,Exit
,,POSTHUMUS LEONATUS,,,
,,,Should we be taking leave,1.1.124,
,,,"As long a term as yet we have to live,",1.1.125,
,,,The loathness to depart would grow. Adieu!,1.1.126,
,,IMOGEN,,,
,,,"Nay, stay a little:",1.1.127,
,,,"Were you but riding forth to air yourself,",1.1.128,
,,,"Such parting were too petty. Look here, love;",1.1.129,
,,,"This diamond was my mother's: take it, heart;",1.1.130,
,,,"But keep it till you woo another wife,",1.1.131,
,,,When Imogen is dead.,1.1.132,
,,POSTHUMUS LEONATUS,,,
,,,"How, how! another?",1.1.133,
,,,"You gentle gods, give me but this I have,",1.1.134,
,,,And sear up my embracements from a next,1.1.135,
,,,With bonds of death!,1.1.136,
,,,,,Putting on the ring
,,,"Remain, remain thou here",1.1.137,
,,,"While sense can keep it on. And, sweetest, fairest,",1.1.138,
,,,"As I my poor self did exchange for you,",1.1.139,
,,,"To your so infinite loss, so in our trifles",1.1.140,
,,,I still win of you: for my sake wear this;,1.1.141,
,,,It is a manacle of love; I'll place it,1.1.142,
,,,Upon this fairest prisoner.,1.1.143,
,,,,,Putting a bracelet upon her arm
,,IMOGEN,,,
,,,O the gods!,1.1.144,
,,,When shall we see again?,1.1.145,
,,,,,Enter CYMBELINE and Lords
,,POSTHUMUS LEONATUS,,,
,,,"Alack, the king!",1.1.146,
,,CYMBELINE,,,
,,,"Thou basest thing, avoid! hence, from my sight!",1.1.147,
,,,If after this command thou fraught the court,1.1.148,
,,,"With thy unworthiness, thou diest: away!",1.1.149,
,,,Thou'rt poison to my blood.,1.1.150,
,,POSTHUMUS LEONATUS,,,
,,,The gods protect you!,1.1.151,
,,,And bless the good remainders of the court! I am gone.,1.1.152,
,,,,,Exit
,,IMOGEN,,,
,,,There cannot be a pinch in death,1.1.153,
,,,More sharp than this is.,1.1.154,
,,CYMBELINE,,,
,,,"O disloyal thing,",1.1.155,
,,,"That shouldst repair my youth, thou heap'st",1.1.156,
,,,A year's age on me.,1.1.157,
,,IMOGEN,,,
,,,"I beseech you, sir,",1.1.158,
,,,Harm not yourself with your vexation,1.1.159,
,,,I am senseless of your wrath; a touch more rare,1.1.160,
,,,"Subdues all pangs, all fears.",1.1.161,
,,CYMBELINE,,,
,,,Past grace? obedience?,1.1.162,
,,IMOGEN,,,
,,,"Past hope, and in despair; that way, past grace.",1.1.163,
,,CYMBELINE,,,
,,,That mightst have had the sole son of my queen!,1.1.164,
,,IMOGEN,,,
,,,"O blest, that I might not! I chose an eagle,",1.1.165,
,,,And did avoid a puttock.,1.1.166,
,,CYMBELINE,,,
,,,Thou took'st a beggar; wouldst have made my throne,1.1.167,
,,,A seat for baseness.,1.1.168,
,,IMOGEN,,,
,,,No; I rather added,1.1.169,
,,,A lustre to it.,1.1.170,
,,CYMBELINE,,,
,,,O thou vile one!,1.1.171,
,,IMOGEN,,,
,,,"Sir,",1.1.172,
,,,It is your fault that I have loved Posthumus:,1.1.173,
,,,"You bred him as my playfellow, and he is",1.1.174,
,,,"A man worth any woman, overbuys me",1.1.175,
,,,Almost the sum he pays.,1.1.176,
,,CYMBELINE,,,
,,,"What, art thou mad?",1.1.177,
,,IMOGEN,,,
,,,"Almost, sir: heaven restore me! Would I were",1.1.178,
,,,"A neat-herd's daughter, and my Leonatus",1.1.179,
,,,Our neighbour shepherd's son!,1.1.180,
,,CYMBELINE,,,
,,,Thou foolish thing!,1.1.181,
,,,,,Re-enter QUEEN
,,,They were again together: you have done,1.1.182,
,,,"Not after our command. Away with her,",1.1.183,
,,,And pen her up.,1.1.184,
