Title,Chapter,Player,Line,Line ID,Stage Direction
Hamlet,,,,,
,ACT I,,,,
,SCENE I. Elsinore. A platform before the castle.,,,,
,,,,,FRANCISCO at his post. Enter to him BERNARDO
,,BERNARDO,,,
,,,Who's there?,1.1.1,
,,FRANCISCO,,,
,,,"Nay, answer me: stand, and unfold yourself.",1.1.2,
,,BERNARDO,,,
,,,Long live the king!,1.1.3,
,,FRANCISCO,,,
,,,Bernardo?,1.1.4,
,,BERNARDO,,,
,,,He.,1.1.5,
,,FRANCISCO,,,
,,,You come most carefully upon your hour.,1.1.6,
,,BERNARDO,,,
,,,"'Tis now struck twelve; get thee to bed, Francisco.",1.1.7,
,,FRANCISCO,,,
,,,"For this relief much thanks: 'tis bitter cold,",1.1.8,
,,,And I am sick at heart.,1.1.9,
,,BERNARDO,,,
,,,Have you had quiet guard?,1.1.10,
,,FRANCISCO,,,
,,,Not a mouse stirring.,1.1.11,
,,BERNARDO,,,
,,,"Well, good night.",1.1.12,
,,,"If you do meet Horatio and Marcellus,",1.1.13,
,,,"The rivals of my watch, bid them make haste.",1.1.14,
,,FRANCISCO,,,
,,,"I think I hear them. Stand, ho! Who's there?",1.1.15,
,,,,,Enter HORATIO and MARCELLUS
,,HORATIO,,,
,,,Friends to this ground.,1.1.16,
,,MARCELLUS,,,
,,,And liegemen to the Dane.,1.1.17,
,,FRANCISCO,,,
,,,Give you good night.,1.1.18,
,,MARCELLUS,,,
,,,"O, farewell, honest soldier:",1.1.19,
,,,Who hath relieved you?,1.1.20,
,,FRANCISCO,,,
,,,Bernardo has my place.,1.1.21,
,,,Give you good night.,1.1.22,
,,,,,Exit
,,MARCELLUS,,,
,,,Holla! Bernardo!,1.1.23,
,,BERNARDO,,,
,,,"Say,",1.1.24,
,,,"What, is Horatio there?",1.1.25,
,,HORATIO,,,
,,,A piece of him.,1.1.26,
,,BERNARDO,,,
,,,"Welcome, Horatio: welcome, good Marcellus.",1.1.27,
,,MARCELLUS,,,
,,,"What, has this thing appear'd again to-night?",1.1.28,
,,BERNARDO,,,
,,,I have seen nothing.,1.1.29,
,,MARCELLUS,,,
,,,"Horatio says 'tis but our fantasy,",1.1.30,
,,,And will not let belief take hold of him,1.1.31,
,,,"Touching this dreaded sight, twice seen of us:",1.1.32,
,,,Therefore I have entreated him along,1.1.33,
,,,With us to watch the minutes of this night;,1.1.34,
,,,"That if again this apparition come,",1.1.35,
,,,He may approve our eyes and speak to it.,1.1.36,
,,HORATIO,,,
,,,"Tush, tush, 'twill not appear.",1.1.37,
,,BERNARDO,,,
,,,Sit down awhile;,1.1.38,
,,,"And let us once again assail your ears,",1.1.39,
,,,That are so fortified against our story,1.1.40,
,,,What we have two nights seen.,1.1.41,
,,HORATIO,,,
,,,"Well, sit we down,",1.1.42,
,,,And let us hear Bernardo speak of this.,1.1.43,
,,BERNARDO,,,
,,,"Last night of all,",1.1.44,
,,,When yond same star that's westward from the pole,1.1.45,
,,,Had made his course to illume that part of heaven,1.1.46,
,,,"Where now it burns, Marcellus and myself,",1.1.47,
,,,"The bell then beating one,--",1.1.48,
,,,,,Enter Ghost
,,MARCELLUS,,,
,,,"Peace, break thee off; look, where it comes again!",1.1.49,
,,BERNARDO,,,
,,,"In the same figure, like the king that's dead.",1.1.50,
,,MARCELLUS,,,
,,,"Thou art a scholar; speak to it, Horatio.",1.1.51,
,,BERNARDO,,,
,,,"Looks it not like the king?  mark it, Horatio.",1.1.52,
,,HORATIO,,,
,,,Most like: it harrows me with fear and wonder.,1.1.53,
,,BERNARDO,,,
,,,It would be spoke to.,1.1.54,
,,MARCELLUS,,,
,,,"Question it, Horatio.",1.1.55,
,,HORATIO,,,
,,,"What art thou that usurp'st this time of night,",1.1.56,
,,,Together with that fair and warlike form,1.1.57,
,,,In which the majesty of buried Denmark,1.1.58,
,,,"Did sometimes march? by heaven I charge thee, speak!",1.1.59,
,,MARCELLUS,,,
,,,It is offended.,1.1.60,
,,BERNARDO,,,
,,,"See, it stalks away!",1.1.61,
,,HORATIO,,,
,,,"Stay! speak, speak! I charge thee, speak!",1.1.62,
,,,,,Exit Ghost
,,MARCELLUS,,,
,,,"'Tis gone, and will not answer.",1.1.63,
,,BERNARDO,,,
,,,"How now, Horatio! you tremble and look pale:",1.1.64,
,,,Is not this something more than fantasy?,1.1.65,
,,,What think you on't?,1.1.66,
,,HORATIO,,,
,,,"Before my God, I might not this believe",1.1.67,
,,,Without the sensible and true avouch,1.1.68,
,,,Of mine own eyes.,1.1.69,
,,MARCELLUS,,,
,,,Is it not like the king?,1.1.70,
,,HORATIO,,,
,,,As thou art to thyself:,1.1.71,
,,,Such was the very armour he had on,1.1.72,
,,,When he the ambitious Norway combated;,1.1.73,
,,,"So frown'd he once, when, in an angry parle,",1.1.74,
,,,He smote the sledded Polacks on the ice.,1.1.75,
,,,'Tis strange.,1.1.76,
,,MARCELLUS,,,
,,,"Thus twice before, and jump at this dead hour,",1.1.77,
,,,With martial stalk hath he gone by our watch.,1.1.78,
,,HORATIO,,,
,,,In what particular thought to work I know not;,1.1.79,
,,,"But in the gross and scope of my opinion,",1.1.80,
,,,This bodes some strange eruption to our state.,1.1.81,
,,MARCELLUS,,,
,,,"Good now, sit down, and tell me, he that knows,",1.1.82,
,,,Why this same strict and most observant watch,1.1.83,
,,,"So nightly toils the subject of the land,",1.1.84,
,,,"And why such daily cast of brazen cannon,",1.1.85,
,,,And foreign mart for implements of war;,1.1.86,
,,,"Why such impress of shipwrights, whose sore task",1.1.87,
,,,Does not divide the Sunday from the week;,1.1.88,
,,,"What might be toward, that this sweaty haste",1.1.89,
,,,Doth make the night joint-labourer with the day:,1.1.90,
,,,Who is't that can inform me?,1.1.91,
,,HORATIO,,,
,,,That can I;,1.1.92,
,,,"At least, the whisper goes so. Our last king,",1.1.93,
,,,"Whose image even but now appear'd to us,",1.1.94,
,,,"Was, as you know, by Fortinbras of Norway,",1.1.95,
,,,"Thereto prick'd on by a most emulate pride,",1.1.96,
,,,Dared to the combat; in which our valiant Hamlet--,1.1.97,
,,,For so this side of our known world esteem'd him--,1.1.98,
,,,"Did slay this Fortinbras; who by a seal'd compact,",1.1.99,
,,,"Well ratified by law and heraldry,",1.1.100,
,,,"Did forfeit, with his life, all those his lands",1.1.101,
,,,"Which he stood seized of, to the conqueror:",1.1.102,
,,,"Against the which, a moiety competent",1.1.103,
,,,Was gaged by our king; which had return'd,1.1.104,
,,,"To the inheritance of Fortinbras,",1.1.105,
