Chapter,Player,Line,Line ID,Stage Direction
None,,,,
,,,,Warkworth. Before the castle
,,,,"Enter RUMOUR, painted full of tongues"
,RUMOUR,,,
,,Open your ears; for which of you will stop,0.0.1,
,,The vent of hearing when loud Rumour speaks?,0.0.2,
,,"I, from the orient to the drooping west,",0.0.3,
,,"Making the wind my post-horse, still unfold",0.0.4,
,,The acts commenced on this ball of earth:,0.0.5,
,,"Upon my tongues continual slanders ride,",0.0.6,
,,"The which in every language I pronounce,",0.0.7,
,,Stuffing the ears of men with false reports.,0.0.8,
,,"I speak of peace, while covert enmity",0.0.9,
,,Under the smile of safety wounds the world:,0.0.10,
,,"And who but Rumour, who but only I,",0.0.11,
,,"Make fearful musters and prepared defence,",0.0.12,
,,"Whiles the big year, swoln with some other grief,",0.0.13,
,,"Is thought with child by the stern tyrant war,",0.0.14,
,,And no such matter? Rumour is a pipe,0.0.15,
,,"Blown by surmises, jealousies, conjectures",0.0.16,
,,And of so easy and so plain a stop,0.0.17,
,,"That the blunt monster with uncounted heads,",0.0.18,
,,"The still-discordant wavering multitude,",0.0.19,
,,Can play upon it. But what need I thus,0.0.20,
,,My well-known body to anatomize,0.0.21,
,,Among my household? Why is Rumour here?,0.0.22,
,,I run before King Harry's victory;,0.0.23,
,,Who in a bloody field by Shrewsbury,0.0.24,
,,"Hath beaten down young Hotspur and his troops,",0.0.25,
,,Quenching the flame of bold rebellion,0.0.26,
,,Even with the rebel's blood. But what mean I,0.0.27,
,,To speak so true at first? my office is,0.0.28,
,,To noise abroad that Harry Monmouth fell,0.0.29,
,,"Under the wrath of noble Hotspur's sword,",0.0.30,
,,And that the king before the Douglas' rage,0.0.31,
,,Stoop'd his anointed head as low as death.,0.0.32,
,,This have I rumour'd through the peasant towns,0.0.33,
,,Between that royal field of Shrewsbury,0.0.34,
,,"And this worm-eaten hold of ragged stone,",0.0.35,
,,"Where Hotspur's father, old Northumberland,",0.0.36,
,,"Lies crafty-sick: the posts come tiring on,",0.0.37,
,,And not a man of them brings other news,0.0.38,
,,Than they have learn'd of me: from Rumour's tongues,0.0.39,
,,"They bring smooth comforts false, worse than",0.0.40,
,,true wrongs.,0.0.41,
,,,,Exit
ACT I,,,,
SCENE I. The same.,,,,
,,,,Enter LORD BARDOLPH
,LORD BARDOLPH,,,
,,"Who keeps the gate here, ho?",1.1.1,
,,,,The Porter opens the gate
,,Where is the earl?,1.1.2,
,Porter,,,
,,What shall I say you are?,1.1.3,
,LORD BARDOLPH,,,
,,Tell thou the earl,1.1.4,
,,That the Lord Bardolph doth attend him here.,1.1.5,
,Porter,,,
,,His lordship is walk'd forth into the orchard;,1.1.6,
,,"Please it your honour, knock but at the gate,",1.1.7,
,,And he himself wilt answer.,1.1.8,
,,,,Enter NORTHUMBERLAND
,LORD BARDOLPH,,,
,,Here comes the earl.,1.1.9,
,,,,Exit Porter
,NORTHUMBERLAND,,,
,,"What news, Lord Bardolph? every minute now",1.1.10,
,,Should be the father of some stratagem:,1.1.11,
,,"The times are wild: contention, like a horse",1.1.12,
,,"Full of high feeding, madly hath broke loose",1.1.13,
,,And bears down all before him.,1.1.14,
,LORD BARDOLPH,,,
,,"Noble earl,",1.1.15,
,,I bring you certain news from Shrewsbury.,1.1.16,
,NORTHUMBERLAND,,,
,,"Good, an God will!",1.1.17,
,LORD BARDOLPH,,,
,,As good as heart can wish:,1.1.18,
,,The king is almost wounded to the death;,1.1.19,
,,"And, in the fortune of my lord your son,",1.1.20,
,,Prince Harry slain outright; and both the Blunts,1.1.21,
,,Kill'd by the hand of Douglas; young Prince John,1.1.22,
,,And Westmoreland and Stafford fled the field;,1.1.23,
,,"And Harry Monmouth's brawn, the hulk Sir John,",1.1.24,
,,"Is prisoner to your son: O, such a day,",1.1.25,
,,"So fought, so follow'd and so fairly won,",1.1.26,
,,"Came not till now to dignify the times,",1.1.27,
,,Since Caesar's fortunes!,1.1.28,
,NORTHUMBERLAND,,,
,,How is this derived?,1.1.29,
