Title,Chapter,Player,Line,Line ID,Stage Direction
Henry V,,,,,
,ACT I,,,,
,PROLOGUE,,,,
,,,,,Enter Chorus
,,Chorus,,,
,,,"O for a Muse of fire, that would ascend",1.0.1,
,,,"The brightest heaven of invention,",1.0.2,
,,,"A kingdom for a stage, princes to act",1.0.3,
,,,And monarchs to behold the swelling scene!,1.0.4,
,,,"Then should the warlike Harry, like himself,",1.0.5,
,,,"Assume the port of Mars; and at his heels,",1.0.6,
,,,"Leash'd in like hounds, should famine, sword and fire",1.0.7,
,,,"Crouch for employment. But pardon, and gentles all,",1.0.8,
,,,The flat unraised spirits that have dared,1.0.9,
,,,On this unworthy scaffold to bring forth,1.0.10,
,,,So great an object: can this cockpit hold,1.0.11,
,,,The vasty fields of France? or may we cram,1.0.12,
,,,Within this wooden O the very casques,1.0.13,
,,,That did affright the air at Agincourt?,1.0.14,
,,,"O, pardon! since a crooked figure may",1.0.15,
,,,Attest in little place a million;,1.0.16,
,,,"And let us, ciphers to this great accompt,",1.0.17,
,,,On your imaginary forces work.,1.0.18,
,,,Suppose within the girdle of these walls,1.0.19,
,,,"Are now confined two mighty monarchies,",1.0.20,
,,,Whose high upreared and abutting fronts,1.0.21,
,,,The perilous narrow ocean parts asunder:,1.0.22,
,,,Piece out our imperfections with your thoughts;,1.0.23,
,,,"Into a thousand parts divide on man,",1.0.24,
,,,And make imaginary puissance;,1.0.25,
,,,"Think when we talk of horses, that you see them",1.0.26,
,,,Printing their proud hoofs i' the receiving earth;,1.0.27,
,,,"For 'tis your thoughts that now must deck our kings,",1.0.28,
,,,"Carry them here and there; jumping o'er times,",1.0.29,
,,,Turning the accomplishment of many years,1.0.30,
,,,"Into an hour-glass: for the which supply,",1.0.31,
,,,Admit me Chorus to this history;,1.0.32,
,,,"Who prologue-like your humble patience pray,",1.0.33,
,,,"Gently to hear, kindly to judge, our play.",1.0.34,
,,,,,Exit
,SCENE I. London. An ante-chamber in the KING'S palace.,,,,
,,,,,"Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY"
,,CANTERBURY,,,
,,,"My lord, I'll tell you; that self bill is urged,",1.1.1,
,,,Which in the eleventh year of the last king's reign,1.1.2,
,,,"Was like, and had indeed against us pass'd,",1.1.3,
,,,But that the scambling and unquiet time,1.1.4,
,,,Did push it out of farther question.,1.1.5,
,,ELY,,,
,,,"But how, my lord, shall we resist it now?",1.1.6,
,,CANTERBURY,,,
,,,"It must be thought on. If it pass against us,",1.1.7,
,,,We lose the better half of our possession:,1.1.8,
,,,For all the temporal lands which men devout,1.1.9,
,,,By testament have given to the church,1.1.10,
,,,Would they strip from us; being valued thus:,1.1.11,
,,,"As much as would maintain, to the king's honour,",1.1.12,
,,,"Full fifteen earls and fifteen hundred knights,",1.1.13,
,,,Six thousand and two hundred good esquires;,1.1.14,
,,,"And, to relief of lazars and weak age,",1.1.15,
,,,Of indigent faint souls past corporal toil.,1.1.16,
,,,A hundred almshouses right well supplied;,1.1.17,
,,,"And to the coffers of the king beside,",1.1.18,
,,,A thousand pounds by the year: thus runs the bill.,1.1.19,
,,ELY,,,
,,,This would drink deep.,1.1.20,
,,CANTERBURY,,,
,,,'Twould drink the cup and all.,1.1.21,
,,ELY,,,
,,,But what prevention?,1.1.22,
,,CANTERBURY,,,
,,,The king is full of grace and fair regard.,1.1.23,
,,ELY,,,
,,,And a true lover of the holy church.,1.1.24,
,,CANTERBURY,,,
,,,The courses of his youth promised it not.,1.1.25,
,,,"The breath no sooner left his father's body,",1.1.26,
,,,"But that his wildness, mortified in him,",1.1.27,
,,,"Seem'd to die too; yea, at that very moment",1.1.28,
,,,"Consideration, like an angel, came",1.1.29,
,,,"And whipp'd the offending Adam out of him,",1.1.30,
,,,"Leaving his body as a paradise,",1.1.31,
,,,To envelop and contain celestial spirits.,1.1.32,
,,,Never was such a sudden scholar made;,1.1.33,
,,,"Never came reformation in a flood,",1.1.34,
,,,"With such a heady currance, scouring faults",1.1.35,
,,,Nor never Hydra-headed wilfulness,1.1.36,
,,,So soon did lose his seat and all at once,1.1.37,
