Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. Westminster Abbey.,,,,
,,,,"Dead March. Enter the Funeral of KING HENRY the  Fifth, attended on by Dukes of BEDFORD, Regent of  France; GLOUCESTER, Protector; and EXETER, Earl of WARWICK, the BISHOP OF WINCHESTER, Heralds,  & c"
,BEDFORD,,,
,,"Hung be the heavens with black, yield day to night!",1.1.1,
,,"Comets, importing change of times and states,",1.1.2,
,,"Brandish your crystal tresses in the sky,",1.1.3,
,,And with them scourge the bad revolting stars,1.1.4,
,,That have consented unto Henry's death!,1.1.5,
,,"King Henry the Fifth, too famous to live long!",1.1.6,
,,England ne'er lost a king of so much worth.,1.1.7,
,GLOUCESTER,,,
,,England ne'er had a king until his time.,1.1.8,
,,"Virtue he had, deserving to command:",1.1.9,
,,His brandish'd sword did blind men with his beams:,1.1.10,
,,His arms spread wider than a dragon's wings;,1.1.11,
,,"His sparking eyes, replete with wrathful fire,",1.1.12,
,,More dazzled and drove back his enemies,1.1.13,
,,Than mid-day sun fierce bent against their faces.,1.1.14,
,,What should I say? his deeds exceed all speech:,1.1.15,
,,He ne'er lift up his hand but conquered.,1.1.16,
,EXETER,,,
,,We mourn in black: why mourn we not in blood?,1.1.17,
,,Henry is dead and never shall revive:,1.1.18,
,,"Upon a wooden coffin we attend,",1.1.19,
,,And death's dishonourable victory,1.1.20,
,,"We with our stately presence glorify,",1.1.21,
,,Like captives bound to a triumphant car.,1.1.22,
,,What! shall we curse the planets of mishap,1.1.23,
,,That plotted thus our glory's overthrow?,1.1.24,
,,Or shall we think the subtle-witted French,1.1.25,
,,"Conjurers and sorcerers, that afraid of him",1.1.26,
,,By magic verses have contrived his end?,1.1.27,
,,BISHOP,1.1.28,
,OF WINCHESTER,,,
,,He was a king bless'd of the King of kings.,1.1.29,
,,Unto the French the dreadful judgement-day,1.1.30,
,,So dreadful will not be as was his sight.,1.1.31,
,,The battles of the Lord of hosts he fought:,1.1.32,
,,The church's prayers made him so prosperous.,1.1.33,
,GLOUCESTER,,,
,,"The church! where is it? Had not churchmen pray'd,",1.1.34,
,,His thread of life had not so soon decay'd:,1.1.35,
,,"None do you like but an effeminate prince,",1.1.36,
,,"Whom, like a school-boy, you may over-awe.",1.1.37,
,,BISHOP,1.1.38,
,OF WINCHESTER,,,
,,"Gloucester, whate'er we like, thou art protector",1.1.39,
,,And lookest to command the prince and realm.,1.1.40,
,,"Thy wife is proud; she holdeth thee in awe,",1.1.41,
,,More than God or religious churchmen may.,1.1.42,
,GLOUCESTER,,,
,,"Name not religion, for thou lovest the flesh,",1.1.43,
,,And ne'er throughout the year to church thou go'st,1.1.44,
,,Except it be to pray against thy foes.,1.1.45,
,BEDFORD,,,
,,"Cease, cease these jars and rest your minds in peace:",1.1.46,
,,"Let's to the altar: heralds, wait on us:",1.1.47,
,,"Instead of gold, we'll offer up our arms:",1.1.48,
,,Since arms avail not now that Henry's dead.,1.1.49,
,,"Posterity, await for wretched years,",1.1.50,
,,"When at their mothers' moist eyes babes shall suck,",1.1.51,
,,"Our isle be made a nourish of salt tears,",1.1.52,
,,And none but women left to wail the dead.,1.1.53,
,,"Henry the Fifth, thy ghost I invocate:",1.1.54,
,,"Prosper this realm, keep it from civil broils,",1.1.55,
,,Combat with adverse planets in the heavens!,1.1.56,
,,A far more glorious star thy soul will make,1.1.57,
,,Than Julius Caesar or bright--,1.1.58,
,,,,Enter a Messenger
,Messenger,,,
,,"My honourable lords, health to you all!",1.1.59,
,,"Sad tidings bring I to you out of France,",1.1.60,
,,"Of loss, of slaughter and discomfiture:",1.1.61,
,,"Guienne, Champagne, Rheims, Orleans,",1.1.62,
,,"Paris, Guysors, Poictiers, are all quite lost.",1.1.63,
,BEDFORD,,,
,,"What say'st thou, man, before dead Henry's corse?",1.1.64,
,,"Speak softly, or the loss of those great towns",1.1.65,
,,Will make him burst his lead and rise from death.,1.1.66,
,GLOUCESTER,,,
,,Is Paris lost? is Rouen yielded up?,1.1.67,
,,"If Henry were recall'd to life again,",1.1.68,
,,These news would cause him once more yield the ghost.,1.1.69,
,EXETER,,,
,,How were they lost? what treachery was used?,1.1.70,
,Messenger,,,
,,No treachery; but want of men and money.,1.1.71,
,,"Amongst the soldiers this is muttered,",1.1.72,
,,"That here you maintain several factions,",1.1.73,
,,"And whilst a field should be dispatch'd and fought,",1.1.74,
,,You are disputing of your generals:,1.1.75,
,,One would have lingering wars with little cost;,1.1.76,
,,"Another would fly swift, but wanteth wings;",1.1.77,
,,"A third thinks, without expense at all,",1.1.78,
,,By guileful fair words peace may be obtain'd.,1.1.79,
,,"Awake, awake, English nobility!",1.1.80,
,,Let not sloth dim your horrors new-begot:,1.1.81,
,,Cropp'd are the flower-de-luces in your arms;,1.1.82,
,,Of England's coat one half is cut away.,1.1.83,
,EXETER,,,
,,"Were our tears wanting to this funeral,",1.1.84,
,,These tidings would call forth their flowing tides.,1.1.85,
,BEDFORD,,,
,,Me they concern; Regent I am of France.,1.1.86,
,,Give me my steeled coat. I'll fight for France.,1.1.87,
,,Away with these disgraceful wailing robes!,1.1.88,
,,"Wounds will I lend the French instead of eyes,",1.1.89,
,,To weep their intermissive miseries.,1.1.90,
,,,,Enter to them another Messenger
,Messenger,,,
,,"Lords, view these letters full of bad mischance.",1.1.91,
,,"France is revolted from the English quite,",1.1.92,
,,Except some petty towns of no import:,1.1.93,
,,The Dauphin Charles is crowned king of Rheims;,1.1.94,
,,The Bastard of Orleans with him is join'd;,1.1.95,
,,"Reignier, Duke of Anjou, doth take his part;",1.1.96,
,,The Duke of Alencon flieth to his side.,1.1.97,
,EXETER,,,
,,The Dauphin crowned king! all fly to him!,1.1.98,
,,"O, whither shall we fly from this reproach?",1.1.99,
,GLOUCESTER,,,
,,"We will not fly, but to our enemies' throats.",1.1.100,
,,"Bedford, if thou be slack, I'll fight it out.",1.1.101,
,BEDFORD,,,
,,"Gloucester, why doubt'st thou of my forwardness?",1.1.102,
,,"An army have I muster'd in my thoughts,",1.1.103,
,,Wherewith already France is overrun.,1.1.104,
,,,,Enter another Messenger
,Messenger,,,
,,"My gracious lords, to add to your laments,",1.1.105,
,,"Wherewith you now bedew King Henry's hearse,",1.1.106,
,,I must inform you of a dismal fight,1.1.107,
,,Betwixt the stout Lord Talbot and the French.,1.1.108,
,,BISHOP,1.1.109,
,OF WINCHESTER,,,
,,What! wherein Talbot overcame? is't so?,1.1.110,
,Messenger,,,
,,"O, no; wherein Lord Talbot was o'erthrown:",1.1.111,
,,The circumstance I'll tell you more at large.,1.1.112,
,,"The tenth of August last this dreadful lord,",1.1.113,
,,"Retiring from the siege of Orleans,",1.1.114,
,,Having full scarce six thousand in his troop.,1.1.115,
,,By three and twenty thousand of the French,1.1.116,
,,Was round encompassed and set upon.,1.1.117,
,,No leisure had he to enrank his men;,1.1.118,
,,He wanted pikes to set before his archers;,1.1.119,
,,Instead whereof sharp stakes pluck'd out of hedges,1.1.120,
,,"They pitched in the ground confusedly,",1.1.121,
,,To keep the horsemen off from breaking in.,1.1.122,
,,More than three hours the fight continued;,1.1.123,
,,Where valiant Talbot above human thought,1.1.124,
,,Enacted wonders with his sword and lance:,1.1.125,
,,"Hundreds he sent to hell, and none durst stand him;",1.1.126,
,,"Here, there, and every where, enraged he flew:",1.1.127,
,,"The French exclaim'd, the devil was in arms;",1.1.128,
,,All the whole army stood agazed on him:,1.1.129,
,,His soldiers spying his undaunted spirit,1.1.130,
,,A Talbot! a Talbot! cried out amain,1.1.131,
,,And rush'd into the bowels of the battle.,1.1.132,
,,"Here had the conquest fully been seal'd up,",1.1.133,
,,If Sir John Fastolfe had not play'd the coward:,1.1.134,
,,"He, being in the vaward, placed behind",1.1.135,
,,"With purpose to relieve and follow them,",1.1.136,
,,"Cowardly fled, not having struck one stroke.",1.1.137,
,,Hence grew the general wreck and massacre;,1.1.138,
,,Enclosed were they with their enemies:,1.1.139,
,,"A base Walloon, to win the Dauphin's grace,",1.1.140,
,,"Thrust Talbot with a spear into the back,",1.1.141,
,,Whom all France with their chief assembled strength,1.1.142,
,,Durst not presume to look once in the face.,1.1.143,
,BEDFORD,,,
,,"Is Talbot slain? then I will slay myself,",1.1.144,
,,"For living idly here in pomp and ease,",1.1.145,
,,"Whilst such a worthy leader, wanting aid,",1.1.146,
,,Unto his dastard foemen is betray'd.,1.1.147,
,Messenger,,,
,,"O no, he lives; but is took prisoner,",1.1.148,
,,And Lord Scales with him and Lord Hungerford:,1.1.149,
,,Most of the rest slaughter'd or took likewise.,1.1.150,
,BEDFORD,,,
,,His ransom there is none but I shall pay:,1.1.151,
,,I'll hale the Dauphin headlong from his throne:,1.1.152,
,,His crown shall be the ransom of my friend;,1.1.153,
,,Four of their lords I'll change for one of ours.,1.1.154,
,,"Farewell, my masters; to my task will I;",1.1.155,
,,"Bonfires in France forthwith I am to make,",1.1.156,
,,To keep our great Saint George's feast withal:,1.1.157,
,,"Ten thousand soldiers with me I will take,",1.1.158,
,,Whose bloody deeds shall make all Europe quake.,1.1.159,
,Messenger,,,
,,So you had need; for Orleans is besieged;,1.1.160,
,,The English army is grown weak and faint:,1.1.161,
,,"The Earl of Salisbury craveth supply,",1.1.162,
,,"And hardly keeps his men from mutiny,",1.1.163,
,,"Since they, so few, watch such a multitude.",1.1.164,
,EXETER,,,
,,"Remember, lords, your oaths to Henry sworn,",1.1.165,
,,"Either to quell the Dauphin utterly,",1.1.166,
,,Or bring him in obedience to your yoke.,1.1.167,
,BEDFORD,,,
,,"I do remember it; and here take my leave,",1.1.168,
,,To go about my preparation.,1.1.169,
,,,,Exit
,GLOUCESTER,,,
,,"I'll to the Tower with all the haste I can,",1.1.170,
,,To view the artillery and munition;,1.1.171,
,,And then I will proclaim young Henry king.,1.1.172,
,,,,Exit
,EXETER,,,
,,"To Eltham will I, where the young king is,",1.1.173,
,,"Being ordain'd his special governor,",1.1.174,
,,And for his safety there I'll best devise.,1.1.175,
,,,,Exit
,,BISHOP,1.1.176,
,OF WINCHESTER,,,
,,Each hath his place and function to attend:,1.1.177,
,,I am left out; for me nothing remains.,1.1.178,
,,But long I will not be Jack out of office:,1.1.179,
,,The king from Eltham I intend to steal,1.1.180,
,,And sit at chiefest stern of public weal.,1.1.181,
,,,,Exeunt
SCENE II. France. Before Orleans.,,,,
,,,,"Sound a flourish. Enter CHARLES, ALENCON, and REIGNIER, marching with drum and Soldiers"
,CHARLES,,,
,,"Mars his true moving, even as in the heavens",1.2.1,
,,"So in the earth, to this day is not known:",1.2.2,
,,Late did he shine upon the English side;,1.2.3,
,,Now we are victors; upon us he smiles.,1.2.4,
,,What towns of any moment but we have?,1.2.5,
,,At pleasure here we lie near Orleans;,1.2.6,
,,"Otherwhiles the famish'd English, like pale ghosts,",1.2.7,
,,Faintly besiege us one hour in a month.,1.2.8,
