Title,Chapter,Player,Line,Line ID,Stage Direction
"Henry VI, part 3",,,,,
,ACT I,,,,
,SCENE I. London. The Parliament-house.,,,,
,,,,,"Alarum. Enter YORK, EDWARD, RICHARD, NORFOLK, MONTAGUE, WARWICK, and Soldiers"
,,WARWICK,,,
,,,I wonder how the king escaped our hands.,1.1.1,
,,YORK,,,
,,,"While we pursued the horsemen of the north,",1.1.2,
,,,He slily stole away and left his men:,1.1.3,
,,,"Whereat the great Lord of Northumberland,",1.1.4,
,,,"Whose warlike ears could never brook retreat,",1.1.5,
,,,"Cheer'd up the drooping army; and himself,",1.1.6,
,,,"Lord Clifford and Lord Stafford, all abreast,",1.1.7,
,,,"Charged our main battle's front, and breaking in",1.1.8,
,,,Were by the swords of common soldiers slain.,1.1.9,
,,EDWARD,,,
,,,"Lord Stafford's father, Duke of Buckingham,",1.1.10,
,,,Is either slain or wounded dangerously;,1.1.11,
,,,I cleft his beaver with a downright blow:,1.1.12,
,,,"That this is true, father, behold his blood.",1.1.13,
,,MONTAGUE,,,
,,,"And, brother, here's the Earl of Wiltshire's blood,",1.1.14,
,,,Whom I encounter'd as the battles join'd.,1.1.15,
,,RICHARD,,,
,,,Speak thou for me and tell them what I did.,1.1.16,
,,,,,Throwing down SOMERSET's head
,,YORK,,,
,,,Richard hath best deserved of all my sons.,1.1.17,
,,,"But is your grace dead, my Lord of Somerset?",1.1.18,
,,NORFOLK,,,
,,,Such hope have all the line of John of Gaunt!,1.1.19,
,,RICHARD,,,
,,,Thus do I hope to shake King Henry's head.,1.1.20,
,,WARWICK,,,
,,,"And so do I. Victorious Prince of York,",1.1.21,
,,,Before I see thee seated in that throne,1.1.22,
,,,"Which now the house of Lancaster usurps,",1.1.23,
,,,I vow by heaven these eyes shall never close.,1.1.24,
,,,"This is the palace of the fearful king,",1.1.25,
,,,"And this the regal seat: possess it, York;",1.1.26,
,,,For this is thine and not King Henry's heirs',1.1.27,
,,YORK,,,
,,,"Assist me, then, sweet Warwick, and I will;",1.1.28,
,,,For hither we have broken in by force.,1.1.29,
,,NORFOLK,,,
,,,We'll all assist you; he that flies shall die.,1.1.30,
,,YORK,,,
,,,"Thanks, gentle Norfolk: stay by me, my lords;",1.1.31,
,,,"And, soldiers, stay and lodge by me this night.",1.1.32,
,,,,,They go up
,,WARWICK,,,
,,,"And when the king comes, offer no violence,",1.1.33,
,,,Unless he seek to thrust you out perforce.,1.1.34,
,,YORK,,,
,,,"The queen this day here holds her parliament,",1.1.35,
,,,But little thinks we shall be of her council:,1.1.36,
,,,By words or blows here let us win our right.,1.1.37,
,,RICHARD,,,
,,,"Arm'd as we are, let's stay within this house.",1.1.38,
,,WARWICK,,,
,,,"The bloody parliament shall this be call'd,",1.1.39,
,,,"Unless Plantagenet, Duke of York, be king,",1.1.40,
,,,"And bashful Henry deposed, whose cowardice",1.1.41,
,,,Hath made us by-words to our enemies.,1.1.42,
,,YORK,,,
,,,"Then leave me not, my lords; be resolute;",1.1.43,
,,,I mean to take possession of my right.,1.1.44,
,,WARWICK,,,
,,,"Neither the king, nor he that loves him best,",1.1.45,
,,,"The proudest he that holds up Lancaster,",1.1.46,
,,,"Dares stir a wing, if Warwick shake his bells.",1.1.47,
,,,"I'll plant Plantagenet, root him up who dares:",1.1.48,
,,,"Resolve thee, Richard; claim the English crown.",1.1.49,
,,,,,"Flourish. Enter KING HENRY VI, CLIFFORD, NORTHUMBERLAND, WESTMORELAND, EXETER, and the rest"
,,KING HENRY VI,,,
,,,"My lords, look where the sturdy rebel sits,",1.1.50,
,,,"Even in the chair of state: belike he means,",1.1.51,
,,,"Back'd by the power of Warwick, that false peer,",1.1.52,
,,,To aspire unto the crown and reign as king.,1.1.53,
,,,"Earl of Northumberland, he slew thy father.",1.1.54,
,,,"And thine, Lord Clifford; and you both have vow'd revenge",1.1.55,
,,,"On him, his sons, his favourites and his friends.",1.1.56,
,,NORTHUMBERLAND,,,
,,,"If I be not, heavens be revenged on me!",1.1.57,
,,CLIFFORD,,,
,,,The hope thereof makes Clifford mourn in steel.,1.1.58,
,,WESTMORELAND,,,
,,,"What, shall we suffer this? let's pluck him down:",1.1.59,
,,,My heart for anger burns; I cannot brook it.,1.1.60,
,,KING HENRY VI,,,
,,,"Be patient, gentle Earl of Westmoreland.",1.1.61,
,,CLIFFORD,,,
,,,"Patience is for poltroons, such as he:",1.1.62,
,,,"He durst not sit there, had your father lived.",1.1.63,
,,,"My gracious lord, here in the parliament",1.1.64,
,,,Let us assail the family of York.,1.1.65,
,,NORTHUMBERLAND,,,
,,,"Well hast thou spoken, cousin: be it so.",1.1.66,
,,KING HENRY VI,,,
,,,"Ah, know you not the city favours them,",1.1.67,
,,,And they have troops of soldiers at their beck?,1.1.68,
,,EXETER,,,
,,,"But when the duke is slain, they'll quickly fly.",1.1.69,
,,KING HENRY VI,,,
,,,"Far be the thought of this from Henry's heart,",1.1.70,
,,,To make a shambles of the parliament-house!,1.1.71,
,,,"Cousin of Exeter, frowns, words and threats",1.1.72,
,,,Shall be the war that Henry means to use.,1.1.73,
,,,"Thou factious Duke of York, descend my throne,",1.1.74,
,,,and kneel for grace and mercy at my feet;,1.1.75,
,,,I am thy sovereign.,1.1.76,
,,YORK,,,
,,,I am thine.,1.1.77,
,,EXETER,,,
,,,"For shame, come down: he made thee Duke of York.",1.1.78,
,,YORK,,,
,,,"'Twas my inheritance, as the earldom was.",1.1.79,
,,EXETER,,,
,,,Thy father was a traitor to the crown.,1.1.80,
,,WARWICK,,,
,,,"Exeter, thou art a traitor to the crown",1.1.81,
,,,In following this usurping Henry.,1.1.82,
,,CLIFFORD,,,
,,,Whom should he follow but his natural king?,1.1.83,
,,WARWICK,,,
,,,"True, Clifford; and that's Richard Duke of York.",1.1.84,
,,KING HENRY VI,,,
,,,"And shall I stand, and thou sit in my throne?",1.1.85,
,,YORK,,,
,,,It must and shall be so: content thyself.,1.1.86,
,,WARWICK,,,
,,,Be Duke of Lancaster; let him be king.,1.1.87,
,,WESTMORELAND,,,
,,,He is both king and Duke of Lancaster;,1.1.88,
,,,And that the Lord of Westmoreland shall maintain.,1.1.89,
,,WARWICK,,,
,,,And Warwick shall disprove it. You forget,1.1.90,
,,,That we are those which chased you from the field,1.1.91,
,,,"And slew your fathers, and with colours spread",1.1.92,
,,,March'd through the city to the palace gates.,1.1.93,
,,NORTHUMBERLAND,,,
,,,"Yes, Warwick, I remember it to my grief;",1.1.94,
,,,"And, by his soul, thou and thy house shall rue it.",1.1.95,
,,WESTMORELAND,,,
,,,"Plantagenet, of thee and these thy sons,",1.1.96,
,,,"Thy kinsman and thy friends, I'll have more lives",1.1.97,
,,,Than drops of blood were in my father's veins.,1.1.98,
,,CLIFFORD,,,
,,,"Urge it no more; lest that, instead of words,",1.1.99,
,,,"I send thee, Warwick, such a messenger",1.1.100,
,,,As shall revenge his death before I stir.,1.1.101,
,,WARWICK,,,
,,,Poor Clifford! how I scorn his worthless threats!,1.1.102,
,,YORK,,,
,,,Will you we show our title to the crown?,1.1.103,
,,,"If not, our swords shall plead it in the field.",1.1.104,
,,KING HENRY VI,,,
,,,"What title hast thou, traitor, to the crown?",1.1.105,
,,,"Thy father was, as thou art, Duke of York;",1.1.106,
,,,"Thy grandfather, Roger Mortimer, Earl of March:",1.1.107,
,,,"I am the son of Henry the Fifth,",1.1.108,
,,,Who made the Dauphin and the French to stoop,1.1.109,
,,,And seized upon their towns and provinces.,1.1.110,
,,WARWICK,,,
,,,"Talk not of France, sith thou hast lost it all.",1.1.111,
,,KING HENRY VI,,,
,,,"The lord protector lost it, and not I:",1.1.112,
,,,When I was crown'd I was but nine months old.,1.1.113,
,,RICHARD,,,
,,,"You are old enough now, and yet, methinks, you lose.",1.1.114,
,,,"Father, tear the crown from the usurper's head.",1.1.115,
,,EDWARD,,,
,,,"Sweet father, do so; set it on your head.",1.1.116,
,,MONTAGUE,,,
,,,"Good brother, as thou lovest and honourest arms,",1.1.117,
,,,Let's fight it out and not stand cavilling thus.,1.1.118,
,,RICHARD,,,
,,,"Sound drums and trumpets, and the king will fly.",1.1.119,
,,YORK,,,
,,,"Sons, peace!",1.1.120,
,,KING HENRY VI,,,
,,,"Peace, thou! and give King Henry leave to speak.",1.1.121,
,,WARWICK,,,
,,,"Plantagenet shall speak first: hear him, lords;",1.1.122,
,,,"And be you silent and attentive too,",1.1.123,
,,,For he that interrupts him shall not live.,1.1.124,
,,KING HENRY VI,,,
,,,"Think'st thou that I will leave my kingly throne,",1.1.125,
,,,Wherein my grandsire and my father sat?,1.1.126,
,,,No: first shall war unpeople this my realm;,1.1.127,
,,,"Ay, and their colours, often borne in France,",1.1.128,
,,,"And now in England to our heart's great sorrow,",1.1.129,
,,,"Shall be my winding-sheet. Why faint you, lords?",1.1.130,
,,,"My title's good, and better far than his.",1.1.131,
,,WARWICK,,,
,,,"Prove it, Henry, and thou shalt be king.",1.1.132,
,,KING HENRY VI,,,
,,,Henry the Fourth by conquest got the crown.,1.1.133,
,,YORK,,,
,,,'Twas by rebellion against his king.,1.1.134,
