Title,Chapter,Player,Line,Line ID,Stage Direction
Julius Caesar,,,,,
,ACT I,,,,
,SCENE I. Rome. A street.,,,,
,,,,,"Enter FLAVIUS, MARULLUS, and certain Commoners"
,,FLAVIUS,,,
,,,"Hence! home, you idle creatures get you home:",1.1.1,
,,,"Is this a holiday? what! know you not,",1.1.2,
,,,"Being mechanical, you ought not walk",1.1.3,
,,,Upon a labouring day without the sign,1.1.4,
,,,"Of your profession? Speak, what trade art thou?",1.1.5,
,,First Commoner,,,
,,,"Why, sir, a carpenter.",1.1.6,
,,MARULLUS,,,
,,,Where is thy leather apron and thy rule?,1.1.7,
,,,What dost thou with thy best apparel on?,1.1.8,
,,,"You, sir, what trade are you?",1.1.9,
,,Second Commoner,,,
,,,"Truly, sir, in respect of a fine workman, I am but,",1.1.10,
,,,"as you would say, a cobbler.",1.1.11,
,,MARULLUS,,,
,,,But what trade art thou? answer me directly.,1.1.12,
,,Second Commoner,,,
,,,"A trade, sir, that, I hope, I may use with a safe",1.1.13,
,,,"conscience; which is, indeed, sir, a mender of bad soles.",1.1.14,
,,MARULLUS,,,
,,,"What trade, thou knave? thou naughty knave, what trade?",1.1.15,
,,Second Commoner,,,
,,,"Nay, I beseech you, sir, be not out with me: yet,",1.1.16,
,,,"if you be out, sir, I can mend you.",1.1.17,
,,MARULLUS,,,
,,,"What meanest thou by that? mend me, thou saucy fellow!",1.1.18,
,,Second Commoner,,,
,,,"Why, sir, cobble you.",1.1.19,
,,FLAVIUS,,,
,,,"Thou art a cobbler, art thou?",1.1.20,
,,Second Commoner,,,
,,,"Truly, sir, all that I live by is with the awl: I",1.1.21,
,,,"meddle with no tradesman's matters, nor women's",1.1.22,
,,,"matters, but with awl. I am, indeed, sir, a surgeon",1.1.23,
,,,"to old shoes; when they are in great danger, I",1.1.24,
,,,recover them. As proper men as ever trod upon,1.1.25,
,,,neat's leather have gone upon my handiwork.,1.1.26,
,,FLAVIUS,,,
,,,But wherefore art not in thy shop today?,1.1.27,
,,,Why dost thou lead these men about the streets?,1.1.28,
,,Second Commoner,,,
,,,"Truly, sir, to wear out their shoes, to get myself",1.1.29,
,,,"into more work. But, indeed, sir, we make holiday,",1.1.30,
,,,to see Caesar and to rejoice in his triumph.,1.1.31,
,,MARULLUS,,,
,,,Wherefore rejoice? What conquest brings he home?,1.1.32,
,,,"What tributaries follow him to Rome,",1.1.33,
,,,To grace in captive bonds his chariot-wheels?,1.1.34,
,,,"You blocks, you stones, you worse than senseless things!",1.1.35,
,,,"O you hard hearts, you cruel men of Rome,",1.1.36,
,,,Knew you not Pompey? Many a time and oft,1.1.37,
,,,"Have you climb'd up to walls and battlements,",1.1.38,
,,,"To towers and windows, yea, to chimney-tops,",1.1.39,
,,,"Your infants in your arms, and there have sat",1.1.40,
,,,"The livelong day, with patient expectation,",1.1.41,
,,,To see great Pompey pass the streets of Rome:,1.1.42,
,,,"And when you saw his chariot but appear,",1.1.43,
,,,"Have you not made an universal shout,",1.1.44,
,,,"That Tiber trembled underneath her banks,",1.1.45,
,,,To hear the replication of your sounds,1.1.46,
,,,Made in her concave shores?,1.1.47,
,,,And do you now put on your best attire?,1.1.48,
,,,And do you now cull out a holiday?,1.1.49,
,,,And do you now strew flowers in his way,1.1.50,
,,,That comes in triumph over Pompey's blood? Be gone!,1.1.51,
,,,"Run to your houses, fall upon your knees,",1.1.52,
,,,Pray to the gods to intermit the plague,1.1.53,
,,,That needs must light on this ingratitude.,1.1.54,
,,FLAVIUS,,,
,,,"Go, go, good countrymen, and, for this fault,",1.1.55,
,,,Assemble all the poor men of your sort;,1.1.56,
,,,"Draw them to Tiber banks, and weep your tears",1.1.57,
,,,"Into the channel, till the lowest stream",1.1.58,
,,,Do kiss the most exalted shores of all.,1.1.59,
,,,,,Exeunt all the Commoners
,,,See whether their basest metal be not moved;,1.1.60,
,,,They vanish tongue-tied in their guiltiness.,1.1.61,
,,,Go you down that way towards the Capitol;,1.1.62,
,,This way will I,,,
,,,"disrobe the images,",1.1.63,
,,,If you do find them deck'd with ceremonies.,1.1.64,
,,MARULLUS,,,
,,,May we do so?,1.1.65,
,,,You know it is the feast of Lupercal.,1.1.66,
,,FLAVIUS,,,
,,,It is no matter; let no images,1.1.67,
,,,"Be hung with Caesar's trophies. I'll about,",1.1.68,
,,,And drive away the vulgar from the streets:,1.1.69,
,,,"So do you too, where you perceive them thick.",1.1.70,
,,,These growing feathers pluck'd from Caesar's wing,1.1.71,
,,,"Will make him fly an ordinary pitch,",1.1.72,
,,,Who else would soar above the view of men,1.1.73,
,,,And keep us all in servile fearfulness.,1.1.74,
,,,,,Exeunt
,SCENE II. A public place.,,,,
,,,,,"Flourish. Enter CAESAR; ANTONY, for the course;  CALPURNIA, PORTIA, DECIUS BRUTUS, CICERO, BRUTUS,  CASSIUS, and CASCA; a great crowd following, among them a Soothsayer"
,,CAESAR,,,
,,,Calpurnia!,1.2.1,
,,CASCA,,,
,,,"Peace, ho! Caesar speaks.",1.2.2,
,,CAESAR,,,
,,,Calpurnia!,1.2.3,
,,CALPURNIA,,,
,,,"Here, my lord.",1.2.4,
,,CAESAR,,,
,,,"Stand you directly in Antonius' way,",1.2.5,
,,,When he doth run his course. Antonius!,1.2.6,
,,ANTONY,,,
,,,"Caesar, my lord?",1.2.7,
,,CAESAR,,,
,,,"Forget not, in your speed, Antonius,",1.2.8,
,,,"To touch Calpurnia; for our elders say,",1.2.9,
,,,"The barren, touched in this holy chase,",1.2.10,
,,,Shake off their sterile curse.,1.2.11,
,,ANTONY,,,
,,,I shall remember:,1.2.12,
,,,"When Caesar says 'do this,' it is perform'd.",1.2.13,
,,CAESAR,,,
,,,Set on; and leave no ceremony out.,1.2.14,
,,,,,Flourish
,,Soothsayer,,,
,,,Caesar!,1.2.15,
,,CAESAR,,,
,,,Ha! who calls?,1.2.16,
,,CASCA,,,
,,,Bid every noise be still: peace yet again!,1.2.17,
,,CAESAR,,,
,,,Who is it in the press that calls on me?,1.2.18,
,,,"I hear a tongue, shriller than all the music,",1.2.19,
,,,Cry 'Caesar!' Speak; Caesar is turn'd to hear.,1.2.20,
,,Soothsayer,,,
,,,Beware the ides of March.,1.2.21,
,,CAESAR,,,
,,,What man is that?,1.2.22,
,,BRUTUS,,,
,,,A soothsayer bids you beware the ides of March.,1.2.23,
,,CAESAR,,,
,,,Set him before me; let me see his face.,1.2.24,
,,CASSIUS,,,
,,,"Fellow, come from the throng; look upon Caesar.",1.2.25,
,,CAESAR,,,
,,,What say'st thou to me now? speak once again.,1.2.26,
,,Soothsayer,,,
,,,Beware the ides of March.,1.2.27,
,,CAESAR,,,
,,,He is a dreamer; let us leave him: pass.,1.2.28,
,,,,,Sennet. Exeunt all except BRUTUS and CASSIUS
,,CASSIUS,,,
,,,Will you go see the order of the course?,1.2.29,
,,BRUTUS,,,
,,,Not I.,1.2.30,
,,CASSIUS,,,
,,,"I pray you, do.",1.2.31,
,,BRUTUS,,,
,,,I am not gamesome: I do lack some part,1.2.32,
,,,Of that quick spirit that is in Antony.,1.2.33,
,,,"Let me not hinder, Cassius, your desires;",1.2.34,
,,,I'll leave you.,1.2.35,
,,CASSIUS,,,
,,,"Brutus, I do observe you now of late:",1.2.36,
,,,I have not from your eyes that gentleness,1.2.37,
,,,And show of love as I was wont to have:,1.2.38,
,,,You bear too stubborn and too strange a hand,1.2.39,
,,,Over your friend that loves you.,1.2.40,
,,BRUTUS,,,
,,,"Cassius,",1.2.41,
,,,"Be not deceived: if I have veil'd my look,",1.2.42,
,,,I turn the trouble of my countenance,1.2.43,
,,,Merely upon myself. Vexed I am,1.2.44,
,,,"Of late with passions of some difference,",1.2.45,
,,,"Conceptions only proper to myself,",1.2.46,
,,,Which give some soil perhaps to my behaviors;,1.2.47,
,,,But let not therefore my good friends be grieved--,1.2.48,
,,,"Among which number, Cassius, be you one--",1.2.49,
,,,"Nor construe any further my neglect,",1.2.50,
,,,"Than that poor Brutus, with himself at war,",1.2.51,
,,,Forgets the shows of love to other men.,1.2.52,
,,CASSIUS,,,
,,,"Then, Brutus, I have much mistook your passion;",1.2.53,
,,,By means whereof this breast of mine hath buried,1.2.54,
,,,"Thoughts of great value, worthy cogitations.",1.2.55,
,,,"Tell me, good Brutus, can you see your face?",1.2.56,
,,BRUTUS,,,
,,,"No, Cassius; for the eye sees not itself,",1.2.57,
,,,"But by reflection, by some other things.",1.2.58,
,,CASSIUS,,,
,,,'Tis just:,1.2.59,
,,,"And it is very much lamented, Brutus,",1.2.60,
,,,That you have no such mirrors as will turn,1.2.61,
,,,"Your hidden worthiness into your eye,",1.2.62,
,,,"That you might see your shadow. I have heard,",1.2.63,
,,,"Where many of the best respect in Rome,",1.2.64,
,,,"Except immortal Caesar, speaking of Brutus",1.2.65,
,,,"And groaning underneath this age's yoke,",1.2.66,
,,,Have wish'd that noble Brutus had his eyes.,1.2.67,
,,BRUTUS,,,
,,,"Into what dangers would you lead me, Cassius,",1.2.68,
,,,That you would have me seek into myself,1.2.69,
,,,For that which is not in me?,1.2.70,
,,CASSIUS,,,
,,,"Therefore, good Brutus, be prepared to hear:",1.2.71,
,,,And since you know you cannot see yourself,1.2.72,
,,,"So well as by reflection, I, your glass,",1.2.73,
,,,Will modestly discover to yourself,1.2.74,
,,,That of yourself which you yet know not of.,1.2.75,
,,,"And be not jealous on me, gentle Brutus:",1.2.76,
,,,"Were I a common laugher, or did use",1.2.77,
,,,To stale with ordinary oaths my love,1.2.78,
,,,To every new protester; if you know,1.2.79,
,,,That I do fawn on men and hug them hard,1.2.80,
,,,"And after scandal them, or if you know",1.2.81,
,,,That I profess myself in banqueting,1.2.82,
