Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. KING JOHN'S palace.,,,,
,,,,"Enter KING JOHN, QUEEN ELINOR, PEMBROKE, ESSEX, SALISBURY, and others, with CHATILLON"
,KING JOHN,,,
,,"Now, say, Chatillon, what would France with us?",1.1.1,
,CHATILLON,,,
,,"Thus, after greeting, speaks the King of France",1.1.2,
,,"In my behavior to the majesty,",1.1.3,
,,"The borrow'd majesty, of England here.",1.1.4,
,QUEEN ELINOR,,,
,,A strange beginning: 'borrow'd majesty!',1.1.5,
,KING JOHN,,,
,,"Silence, good mother; hear the embassy.",1.1.6,
,CHATILLON,,,
,,"Philip of France, in right and true behalf",1.1.7,
,,"Of thy deceased brother Geffrey's son,",1.1.8,
,,"Arthur Plantagenet, lays most lawful claim",1.1.9,
,,"To this fair island and the territories,",1.1.10,
,,"To Ireland, Poictiers, Anjou, Touraine, Maine,",1.1.11,
,,Desiring thee to lay aside the sword,1.1.12,
,,"Which sways usurpingly these several titles,",1.1.13,
,,"And put these same into young Arthur's hand,",1.1.14,
,,Thy nephew and right royal sovereign.,1.1.15,
,KING JOHN,,,
,,What follows if we disallow of this?,1.1.16,
,CHATILLON,,,
,,"The proud control of fierce and bloody war,",1.1.17,
,,To enforce these rights so forcibly withheld.,1.1.18,
,KING JOHN,,,
,,"Here have we war for war and blood for blood,",1.1.19,
,,Controlment for controlment: so answer France.,1.1.20,
,CHATILLON,,,
,,"Then take my king's defiance from my mouth,",1.1.21,
,,The farthest limit of my embassy.,1.1.22,
,KING JOHN,,,
,,"Bear mine to him, and so depart in peace:",1.1.23,
,,Be thou as lightning in the eyes of France;,1.1.24,
,,"For ere thou canst report I will be there,",1.1.25,
,,The thunder of my cannon shall be heard:,1.1.26,
,,So hence! Be thou the trumpet of our wrath,1.1.27,
,,And sullen presage of your own decay.,1.1.28,
,,An honourable conduct let him have:,1.1.29,
,,"Pembroke, look to 't. Farewell, Chatillon.",1.1.30,
,,,,Exeunt CHATILLON and PEMBROKE
,QUEEN ELINOR,,,
,,"What now, my son! have I not ever said",1.1.31,
,,How that ambitious Constance would not cease,1.1.32,
,,"Till she had kindled France and all the world,",1.1.33,
,,Upon the right and party of her son?,1.1.34,
,,This might have been prevented and made whole,1.1.35,
,,"With very easy arguments of love,",1.1.36,
,,Which now the manage of two kingdoms must,1.1.37,
,,With fearful bloody issue arbitrate.,1.1.38,
,KING JOHN,,,
,,Our strong possession and our right for us.,1.1.39,
,QUEEN ELINOR,,,
,,"Your strong possession much more than your right,",1.1.40,
,,Or else it must go wrong with you and me:,1.1.41,
,,"So much my conscience whispers in your ear,",1.1.42,
,,Which none but heaven and you and I shall hear.,1.1.43,
,,,,Enter a Sheriff
,ESSEX,,,
,,"My liege, here is the strangest controversy",1.1.44,
,,"Come from country to be judged by you,",1.1.45,
,,That e'er I heard: shall I produce the men?,1.1.46,
,KING JOHN,,,
,,Let them approach.,1.1.47,
,,Our abbeys and our priories shall pay,1.1.48,
