Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. King Lear's palace.,,,,
,,,,"Enter KENT, GLOUCESTER, and EDMUND"
,KENT,,,
,,I thought the king had more affected the Duke of,1.1.1,
,,Albany than Cornwall.,1.1.2,
,GLOUCESTER,,,
,,"It did always seem so to us: but now, in the",1.1.3,
,,"division of the kingdom, it appears not which of",1.1.4,
,,the dukes he values most; for equalities are so,1.1.5,
,,"weighed, that curiosity in neither can make choice",1.1.6,
,,of either's moiety.,1.1.7,
,KENT,,,
,,"Is not this your son, my lord?",1.1.8,
,GLOUCESTER,,,
,,"His breeding, sir, hath been at my charge: I have",1.1.9,
,,"so often blushed to acknowledge him, that now I am",1.1.10,
,,brazed to it.,1.1.11,
,KENT,,,
,,I cannot conceive you.,1.1.12,
,GLOUCESTER,,,
,,"Sir, this young fellow's mother could: whereupon",1.1.13,
,,"she grew round-wombed, and had, indeed, sir, a son",1.1.14,
,,for her cradle ere she had a husband for her bed.,1.1.15,
,,Do you smell a fault?,1.1.16,
,KENT,,,
,,"I cannot wish the fault undone, the issue of it",1.1.17,
,,being so proper.,1.1.18,
,GLOUCESTER,,,
,,"But I have, sir, a son by order of law, some year",1.1.19,
,,"elder than this, who yet is no dearer in my account:",1.1.20,
,,though this knave came something saucily into the,1.1.21,
,,"world before he was sent for, yet was his mother",1.1.22,
,,"fair; there was good sport at his making, and the",1.1.23,
,,whoreson must be acknowledged. Do you know this,1.1.24,
,,"noble gentleman, Edmund?",1.1.25,
,EDMUND,,,
,,"No, my lord.",1.1.26,
,GLOUCESTER,,,
,,My lord of Kent: remember him hereafter as my,1.1.27,
,,honourable friend.,1.1.28,
,EDMUND,,,
,,My services to your lordship.,1.1.29,
,KENT,,,
,,"I must love you, and sue to know you better.",1.1.30,
,EDMUND,,,
,,"Sir, I shall study deserving.",1.1.31,
,GLOUCESTER,,,
,,"He hath been out nine years, and away he shall",1.1.32,
,,again. The king is coming.,1.1.33,
,,,,"Sennet. Enter KING LEAR, CORNWALL, ALBANY, GONERIL, REGAN, CORDELIA, and Attendants"
,KING LEAR,,,
,,"Attend the lords of France and Burgundy, Gloucester.",1.1.34,
,GLOUCESTER,,,
,,"I shall, my liege.",1.1.35,
