Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. The king of Navarre's park.,,,,
,,,,"Enter FERDINAND king of Navarre, BIRON, LONGAVILLE and DUMAIN"
,FERDINAND,,,
,,"Let fame, that all hunt after in their lives,",1.1.1,
,,Live register'd upon our brazen tombs,1.1.2,
,,And then grace us in the disgrace of death;,1.1.3,
,,"When, spite of cormorant devouring Time,",1.1.4,
,,The endeavor of this present breath may buy,1.1.5,
,,That honour which shall bate his scythe's keen edge,1.1.6,
,,And make us heirs of all eternity.,1.1.7,
,,"Therefore, brave conquerors,--for so you are,",1.1.8,
,,That war against your own affections,1.1.9,
,,"And the huge army of the world's desires,--",1.1.10,
,,Our late edict shall strongly stand in force:,1.1.11,
,,Navarre shall be the wonder of the world;,1.1.12,
,,"Our court shall be a little Academe,",1.1.13,
,,Still and contemplative in living art.,1.1.14,
,,"You three, Biron, Dumain, and Longaville,",1.1.15,
,,Have sworn for three years' term to live with me,1.1.16,
,,"My fellow-scholars, and to keep those statutes",1.1.17,
,,That are recorded in this schedule here:,1.1.18,
,,"Your oaths are pass'd; and now subscribe your names,",1.1.19,
,,That his own hand may strike his honour down,1.1.20,
,,That violates the smallest branch herein:,1.1.21,
,,"If you are arm'd to do as sworn to do,",1.1.22,
,,"Subscribe to your deep oaths, and keep it too.",1.1.23,
,LONGAVILLE,,,
,,I am resolved; 'tis but a three years' fast:,1.1.24,
,,"The mind shall banquet, though the body pine:",1.1.25,
,,"Fat paunches have lean pates, and dainty bits",1.1.26,
,,"Make rich the ribs, but bankrupt quite the wits.",1.1.27,
,DUMAIN,,,
,,"My loving lord, Dumain is mortified:",1.1.28,
,,The grosser manner of these world's delights,1.1.29,
,,He throws upon the gross world's baser slaves:,1.1.30,
,,"To love, to wealth, to pomp, I pine and die;",1.1.31,
,,With all these living in philosophy.,1.1.32,
,BIRON,,,
,,I can but say their protestation over;,1.1.33,
,,"So much, dear liege, I have already sworn,",1.1.34,
,,"That is, to live and study here three years.",1.1.35,
,,But there are other strict observances;,1.1.36,
,,"As, not to see a woman in that term,",1.1.37,
,,Which I hope well is not enrolled there;,1.1.38,
,,And one day in a week to touch no food,1.1.39,
,,"And but one meal on every day beside,",1.1.40,
,,The which I hope is not enrolled there;,1.1.41,
,,"And then, to sleep but three hours in the night,",1.1.42,
,,And not be seen to wink of all the day--,1.1.43,
,,When I was wont to think no harm all night,1.1.44,
,,And make a dark night too of half the day--,1.1.45,
,,Which I hope well is not enrolled there:,1.1.46,
,,"O, these are barren tasks, too hard to keep,",1.1.47,
,,"Not to see ladies, study, fast, not sleep!",1.1.48,
,FERDINAND,,,
,,Your oath is pass'd to pass away from these.,1.1.49,
,BIRON,,,
,,"Let me say no, my liege, an if you please:",1.1.50,
,,I only swore to study with your grace,1.1.51,
,,And stay here in your court for three years' space.,1.1.52,
,LONGAVILLE,,,
,,"You swore to that, Biron, and to the rest.",1.1.53,
,BIRON,,,
,,"By yea and nay, sir, then I swore in jest.",1.1.54,
,,What is the end of study? let me know.,1.1.55,
,FERDINAND,,,
,,"Why, that to know, which else we should not know.",1.1.56,
,BIRON,,,
,,"Things hid and barr'd, you mean, from common sense?",1.1.57,
,FERDINAND,,,
,,"Ay, that is study's godlike recompense.",1.1.58,
,BIRON,,,
,,"Come on, then; I will swear to study so,",1.1.59,
,,To know the thing I am forbid to know:,1.1.60,
,,"As thus,--to study where I well may dine,",1.1.61,
,,When I to feast expressly am forbid;,1.1.62,
,,"Or study where to meet some mistress fine,",1.1.63,
,,When mistresses from common sense are hid;,1.1.64,
,,"Or, having sworn too hard a keeping oath,",1.1.65,
,,Study to break it and not break my troth.,1.1.66,
,,"If study's gain be thus and this be so,",1.1.67,
,,Study knows that which yet it doth not know:,1.1.68,
,,"Swear me to this, and I will ne'er say no.",1.1.69,
,FERDINAND,,,
,,These be the stops that hinder study quite,1.1.70,
,,And train our intellects to vain delight.,1.1.71,
,BIRON,,,
,,"Why, all delights are vain; but that most vain,",1.1.72,
,,Which with pain purchased doth inherit pain:,1.1.73,
,,"As, painfully to pore upon a book",1.1.74,
,,To seek the light of truth; while truth the while,1.1.75,
,,Doth falsely blind the eyesight of his look:,1.1.76,
,,Light seeking light doth light of light beguile:,1.1.77,
,,"So, ere you find where light in darkness lies,",1.1.78,
,,Your light grows dark by losing of your eyes.,1.1.79,
,,Study me how to please the eye indeed,1.1.80,
,,"By fixing it upon a fairer eye,",1.1.81,
,,"Who dazzling so, that eye shall be his heed",1.1.82,
,,And give him light that it was blinded by.,1.1.83,
,,Study is like the heaven's glorious sun,1.1.84,
,,That will not be deep-search'd with saucy looks:,1.1.85,
,,Small have continual plodders ever won,1.1.86,
,,Save base authority from others' books,1.1.87,
