Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. A desert place.,,,,
,,,,Thunder and lightning. Enter three Witches
,First Witch,,,
,,When shall we three meet again,1.1.1,
,,"In thunder, lightning, or in rain?",1.1.2,
,Second Witch,,,
,,"When the hurlyburly's done,",1.1.3,
,,When the battle's lost and won.,1.1.4,
,Third Witch,,,
,,That will be ere the set of sun.,1.1.5,
,First Witch,,,
,,Where the place?,1.1.6,
,Second Witch,,,
,,Upon the heath.,1.1.7,
,Third Witch,,,
,,There to meet with Macbeth.,1.1.8,
,First Witch,,,
,,"I come, Graymalkin!",1.1.9,
,Second Witch,,,
,,Paddock calls.,1.1.10,
,Third Witch,,,
,,Anon.,1.1.11,
,ALL,,,
,,"Fair is foul, and foul is fair:",1.1.12,
,,Hover through the fog and filthy air.,1.1.13,
,,,,Exeunt
SCENE II. A camp near Forres.,,,,
,,,,"Alarum within. Enter DUNCAN, MALCOLM, DONALBAIN, LENNOX, with Attendants, meeting a bleeding Sergeant"
,DUNCAN,,,
,,"What bloody man is that? He can report,",1.2.1,
,,"As seemeth by his plight, of the revolt",1.2.2,
,,The newest state.,1.2.3,
,MALCOLM,,,
,,This is the sergeant,1.2.4,
,,Who like a good and hardy soldier fought,1.2.5,
,,"'Gainst my captivity. Hail, brave friend!",1.2.6,
,,Say to the king the knowledge of the broil,1.2.7,
,,As thou didst leave it.,1.2.8,
,Sergeant,,,
,,Doubtful it stood;,1.2.9,
,,"As two spent swimmers, that do cling together",1.2.10,
,,And choke their art. The merciless Macdonwald--,1.2.11,
,,"Worthy to be a rebel, for to that",1.2.12,
,,The multiplying villanies of nature,1.2.13,
,,Do swarm upon him--from the western isles,1.2.14,
,,Of kerns and gallowglasses is supplied;,1.2.15,
,,"And fortune, on his damned quarrel smiling,",1.2.16,
,,Show'd like a rebel's whore: but all's too weak:,1.2.17,
,,For brave Macbeth--well he deserves that name--,1.2.18,
,,"Disdaining fortune, with his brandish'd steel,",1.2.19,
,,"Which smoked with bloody execution,",1.2.20,
,,Like valour's minion carved out his passage,1.2.21,
,,Till he faced the slave;,1.2.22,
,,"Which ne'er shook hands, nor bade farewell to him,",1.2.23,
,,"Till he unseam'd him from the nave to the chaps,",1.2.24,
,,And fix'd his head upon our battlements.,1.2.25,
,DUNCAN,,,
,,O valiant cousin! worthy gentleman!,1.2.26,
,Sergeant,,,
,,As whence the sun 'gins his reflection,1.2.27,
,,"Shipwrecking storms and direful thunders break,",1.2.28,
,,So from that spring whence comfort seem'd to come,1.2.29,
,,"Discomfort swells. Mark, king of Scotland, mark:",1.2.30,
,,No sooner justice had with valour arm'd,1.2.31,
,,"Compell'd these skipping kerns to trust their heels,",1.2.32,
,,"But the Norweyan lord surveying vantage,",1.2.33,
,,With furbish'd arms and new supplies of men,1.2.34,
,,Began a fresh assault.,1.2.35,
,DUNCAN,,,
,,Dismay'd not this,1.2.36,
,,"Our captains, Macbeth and Banquo?",1.2.37,
,Sergeant,,,
,,Yes;,1.2.38,
,,"As sparrows eagles, or the hare the lion.",1.2.39,
,,"If I say sooth, I must report they were",1.2.40,
,,"As cannons overcharged with double cracks, so they",1.2.41,
,,Doubly redoubled strokes upon the foe:,1.2.42,
,,"Except they meant to bathe in reeking wounds,",1.2.43,
,,"Or memorise another Golgotha,",1.2.44,
,,I cannot tell.,1.2.45,
,,"But I am faint, my gashes cry for help.",1.2.46,
,DUNCAN,,,
,,So well thy words become thee as thy wounds;,1.2.47,
,,They smack of honour both. Go get him surgeons.,1.2.48,
,,,,"Exit Sergeant, attended"
,,Who comes here?,1.2.49,
