Title,Chapter,Player,Line,Line ID,Stage Direction
Measure for Measure,,,,,
,ACT I,,,,
,SCENE I. An apartment in the DUKE'S palace.,,,,
,,,,,"Enter DUKE VINCENTIO, ESCALUS, Lords and Attendants"
,,DUKE VINCENTIO,,,
,,,Escalus.,1.1.1,
,,ESCALUS,,,
,,,My lord.,1.1.2,
,,DUKE VINCENTIO,,,
,,,"Of government the properties to unfold,",1.1.3,
,,,Would seem in me to affect speech and discourse;,1.1.4,
,,,Since I am put to know that your own science,1.1.5,
,,,"Exceeds, in that, the lists of all advice",1.1.6,
,,,"My strength can give you: then no more remains,",1.1.7,
,,,"But that to your sufficiency as your Worth is able,",1.1.8,
,,,"And let them work. The nature of our people,",1.1.9,
,,,"Our city's institutions, and the terms",1.1.10,
,,,"For common justice, you're as pregnant in",1.1.11,
,,,As art and practise hath enriched any,1.1.12,
,,,"That we remember. There is our commission,",1.1.13,
,,,"From which we would not have you warp. Call hither,",1.1.14,
,,,"I say, bid come before us Angelo.",1.1.15,
,,,,,Exit an Attendant
,,,What figure of us think you he will bear?,1.1.16,
,,,"For you must know, we have with special soul",1.1.17,
,,,"Elected him our absence to supply,",1.1.18,
,,,"Lent him our terror, dress'd him with our love,",1.1.19,
,,,And given his deputation all the organs,1.1.20,
,,,Of our own power: what think you of it?,1.1.21,
,,ESCALUS,,,
,,,If any in Vienna be of worth,1.1.22,
,,,"To undergo such ample grace and honour,",1.1.23,
,,,It is Lord Angelo.,1.1.24,
,,DUKE VINCENTIO,,,
,,,Look where he comes.,1.1.25,
,,,,,Enter ANGELO
,,ANGELO,,,
,,,"Always obedient to your grace's will,",1.1.26,
,,,I come to know your pleasure.,1.1.27,
,,DUKE VINCENTIO,,,
,,,"Angelo,",1.1.28,
,,,"There is a kind of character in thy life,",1.1.29,
,,,That to the observer doth thy history,1.1.30,
,,,Fully unfold. Thyself and thy belongings,1.1.31,
,,,Are not thine own so proper as to waste,1.1.32,
,,,"Thyself upon thy virtues, they on thee.",1.1.33,
,,,"Heaven doth with us as we with torches do,",1.1.34,
,,,Not light them for themselves; for if our virtues,1.1.35,
,,,"Did not go forth of us, 'twere all alike",1.1.36,
,,,As if we had them not. Spirits are not finely touch'd,1.1.37,
,,,"But to fine issues, nor Nature never lends",1.1.38,
,,,The smallest scruple of her excellence,1.1.39,
,,,"But, like a thrifty goddess, she determines",1.1.40,
,,,"Herself the glory of a creditor,",1.1.41,
,,,Both thanks and use. But I do bend my speech,1.1.42,
,,,To one that can my part in him advertise;,1.1.43,
,,,"Hold therefore, Angelo:--",1.1.44,
,,,In our remove be thou at full ourself;,1.1.45,
,,,Mortality and mercy in Vienna,1.1.46,
,,,"Live in thy tongue and heart: old Escalus,",1.1.47,
,,,"Though first in question, is thy secondary.",1.1.48,
,,,Take thy commission.,1.1.49,
,,ANGELO,,,
,,,"Now, good my lord,",1.1.50,
,,,"Let there be some more test made of my metal,",1.1.51,
,,,Before so noble and so great a figure,1.1.52,
,,,Be stamp'd upon it.,1.1.53,
,,DUKE VINCENTIO,,,
,,,No more evasion:,1.1.54,
,,,We have with a leaven'd and prepared choice,1.1.55,
,,,Proceeded to you; therefore take your honours.,1.1.56,
,,,Our haste from hence is of so quick condition,1.1.57,
,,,That it prefers itself and leaves unquestion'd,1.1.58,
,,,"Matters of needful value. We shall write to you,",1.1.59,
,,,"As time and our concernings shall importune,",1.1.60,
,,,"How it goes with us, and do look to know",1.1.61,
,,,"What doth befall you here. So, fare you well;",1.1.62,
,,,To the hopeful execution do I leave you,1.1.63,
,,,Of your commissions.,1.1.64,
,,ANGELO,,,
,,,"Yet give leave, my lord,",1.1.65,
,,,That we may bring you something on the way.,1.1.66,
,,DUKE VINCENTIO,,,
,,,My haste may not admit it;,1.1.67,
,,,"Nor need you, on mine honour, have to do",1.1.68,
,,,With any scruple; your scope is as mine own,1.1.69,
,,,So to enforce or qualify the laws,1.1.70,
,,,As to your soul seems good. Give me your hand:,1.1.71,
,,,"I'll privily away. I love the people,",1.1.72,
,,,But do not like to stage me to their eyes:,1.1.73,
,,,"Through it do well, I do not relish well",1.1.74,
,,,Their loud applause and Aves vehement;,1.1.75,
,,,Nor do I think the man of safe discretion,1.1.76,
,,,"That does affect it. Once more, fare you well.",1.1.77,
,,ANGELO,,,
,,,The heavens give safety to your purposes!,1.1.78,
,,ESCALUS,,,
,,,Lead forth and bring you back in happiness!,1.1.79,
,,DUKE,,,
,,,I thank you. Fare you well.,1.1.80,
,,,,,Exit
,,ESCALUS,,,
,,,"I shall desire you, sir, to give me leave",1.1.81,
,,,To have free speech with you; and it concerns me,1.1.82,
,,,To look into the bottom of my place:,1.1.83,
