Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. Before LEONATO'S house.,,,,
,,,,"Enter LEONATO, HERO, and BEATRICE, with a Messenger"
,LEONATO,,,
,,I learn in this letter that Don Peter of Arragon,1.1.1,
,,comes this night to Messina.,1.1.2,
,Messenger,,,
,,He is very near by this: he was not three leagues off,1.1.3,
,,when I left him.,1.1.4,
,LEONATO,,,
,,How many gentlemen have you lost in this action?,1.1.5,
,Messenger,,,
,,"But few of any sort, and none of name.",1.1.6,
,LEONATO,,,
,,A victory is twice itself when the achiever brings,1.1.7,
,,home full numbers. I find here that Don Peter hath,1.1.8,
,,bestowed much honour on a young Florentine called Claudio.,1.1.9,
,Messenger,,,
,,Much deserved on his part and equally remembered by,1.1.10,
,,Don Pedro: he hath borne himself beyond the,1.1.11,
,,"promise of his age, doing, in the figure of a lamb,",1.1.12,
,,the feats of a lion: he hath indeed better,1.1.13,
,,bettered expectation than you must expect of me to,1.1.14,
,,tell you how.,1.1.15,
,LEONATO,,,
,,He hath an uncle here in Messina will be very much,1.1.16,
,,glad of it.,1.1.17,
,Messenger,,,
,,"I have already delivered him letters, and there",1.1.18,
,,appears much joy in him; even so much that joy could,1.1.19,
,,not show itself modest enough without a badge of,1.1.20,
,,bitterness.,1.1.21,
,LEONATO,,,
,,Did he break out into tears?,1.1.22,
,Messenger,,,
,,In great measure.,1.1.23,
,LEONATO,,,
,,A kind overflow of kindness: there are no faces,1.1.24,
,,truer than those that are so washed. How much,1.1.25,
,,better is it to weep at joy than to joy at weeping!,1.1.26,
,BEATRICE,,,
,,"I pray you, is Signior Mountanto returned from the",1.1.27,
,,wars or no?,1.1.28,
,Messenger,,,
,,"I know none of that name, lady: there was none such",1.1.29,
,,in the army of any sort.,1.1.30,
,LEONATO,,,
,,"What is he that you ask for, niece?",1.1.31,
,HERO,,,
,,My cousin means Signior Benedick of Padua.,1.1.32,
,Messenger,,,
,,"O, he's returned; and as pleasant as ever he was.",1.1.33,
,BEATRICE,,,
,,He set up his bills here in Messina and challenged,1.1.34,
,,"Cupid at the flight; and my uncle's fool, reading",1.1.35,
,,"the challenge, subscribed for Cupid, and challenged",1.1.36,
,,"him at the bird-bolt. I pray you, how many hath he",1.1.37,
,,killed and eaten in these wars? But how many hath,1.1.38,
,,he killed? for indeed I promised to eat all of his killing.,1.1.39,
,LEONATO,,,
,,"Faith, niece, you tax Signior Benedick too much;",1.1.40,
,,"but he'll be meet with you, I doubt it not.",1.1.41,
,Messenger,,,
,,"He hath done good service, lady, in these wars.",1.1.42,
,BEATRICE,,,
,,"You had musty victual, and he hath holp to eat it:",1.1.43,
,,he is a very valiant trencherman; he hath an,1.1.44,
,,excellent stomach.,1.1.45,
,Messenger,,,
,,"And a good soldier too, lady.",1.1.46,
,BEATRICE,,,
,,And a good soldier to a lady: but what is he to a lord?,1.1.47,
,Messenger,,,
,,"A lord to a lord, a man to a man; stuffed with all",1.1.48,
,,honourable virtues.,1.1.49,
,BEATRICE,,,
,,"It is so, indeed; he is no less than a stuffed man:",1.1.50,
,,"but for the stuffing,--well, we are all mortal.",1.1.51,
,LEONATO,,,
,,"You must not, sir, mistake my niece. There is a",1.1.52,
,,kind of merry war betwixt Signior Benedick and her:,1.1.53,
,,they never meet but there's a skirmish of wit,1.1.54,
,,between them.,1.1.55,
,BEATRICE,,,
,,Alas! he gets nothing by that. In our last,1.1.56,
,,"conflict four of his five wits went halting off, and",1.1.57,
,,now is the whole man governed with one: so that if,1.1.58,
,,"he have wit enough to keep himself warm, let him",1.1.59,
,,bear it for a difference between himself and his,1.1.60,
,,"horse; for it is all the wealth that he hath left,",1.1.61,
,,to be known a reasonable creature. Who is his,1.1.62,
,,companion now? He hath every month a new sworn brother.,1.1.63,
,Messenger,,,
,,Is't possible?,1.1.64,
,BEATRICE,,,
,,Very easily possible: he wears his faith but as,1.1.65,
,,the fashion of his hat; it ever changes with the,1.1.66,
,,next block.,1.1.67,
,Messenger,,,
,,"I see, lady, the gentleman is not in your books.",1.1.68,
,BEATRICE,,,
,,"No; an he were, I would burn my study. But, I pray",1.1.69,
,,"you, who is his companion? Is there no young",1.1.70,
,,squarer now that will make a voyage with him to the devil?,1.1.71,
,Messenger,,,
,,He is most in the company of the right noble Claudio.,1.1.72,
,BEATRICE,,,
,,"O Lord, he will hang upon him like a disease: he",1.1.73,
,,"is sooner caught than the pestilence, and the taker",1.1.74,
,,runs presently mad. God help the noble Claudio! if,1.1.75,
,,"he have caught the Benedick, it will cost him a",1.1.76,
,,thousand pound ere a' be cured.,1.1.77,
,Messenger,,,
,,"I will hold friends with you, lady.",1.1.78,
,BEATRICE,,,
,,"Do, good friend.",1.1.79,
,LEONATO,,,
,,"You will never run mad, niece.",1.1.80,
,BEATRICE,,,
,,"No, not till a hot January.",1.1.81,
,Messenger,,,
,,Don Pedro is approached.,1.1.82,
,,,,"Enter DON PEDRO, DON JOHN, CLAUDIO, BENEDICK, and BALTHASAR"
,DON PEDRO,,,
,,"Good Signior Leonato, you are come to meet your",1.1.83,
,,trouble: the fashion of the world is to avoid,1.1.84,
,,"cost, and you encounter it.",1.1.85,
,LEONATO,,,
,,Never came trouble to my house in the likeness of,1.1.86,
,,"your grace: for trouble being gone, comfort should",1.1.87,
,,"remain; but when you depart from me, sorrow abides",1.1.88,
,,and happiness takes his leave.,1.1.89,
,DON PEDRO,,,
,,You embrace your charge too willingly. I think this,1.1.90,
,,is your daughter.,1.1.91,
,LEONATO,,,
,,Her mother hath many times told me so.,1.1.92,
,BENEDICK,,,
,,"Were you in doubt, sir, that you asked her?",1.1.93,
,LEONATO,,,
,,"Signior Benedick, no; for then were you a child.",1.1.94,
,DON PEDRO,,,
,,"You have it full, Benedick: we may guess by this",1.1.95,
,,"what you are, being a man. Truly, the lady fathers",1.1.96,
,,"herself. Be happy, lady; for you are like an",1.1.97,
,,honourable father.,1.1.98,
,BENEDICK,,,
,,"If Signior Leonato be her father, she would not",1.1.99,
,,"have his head on her shoulders for all Messina, as",1.1.100,
,,like him as she is.,1.1.101,
,BEATRICE,,,
,,"I wonder that you will still be talking, Signior",1.1.102,
,,Benedick: nobody marks you.,1.1.103,
,BENEDICK,,,
,,"What, my dear Lady Disdain! are you yet living?",1.1.104,
,BEATRICE,,,
,,Is it possible disdain should die while she hath,1.1.105,
,,such meet food to feed it as Signior Benedick?,1.1.106,
,,"Courtesy itself must convert to disdain, if you come",1.1.107,
,,in her presence.,1.1.108,
,BENEDICK,,,
,,Then is courtesy a turncoat. But it is certain I,1.1.109,
,,"am loved of all ladies, only you excepted: and I",1.1.110,
,,would I could find in my heart that I had not a hard,1.1.111,
,,"heart; for, truly, I love none.",1.1.112,
,BEATRICE,,,
,,A dear happiness to women: they would else have,1.1.113,
,,been troubled with a pernicious suitor. I thank God,1.1.114,
,,"and my cold blood, I am of your humour for that: I",1.1.115,
,,had rather hear my dog bark at a crow than a man,1.1.116,
,,swear he loves me.,1.1.117,
,BENEDICK,,,
,,God keep your ladyship still in that mind! so some,1.1.118,
,,gentleman or other shall 'scape a predestinate,1.1.119,
,,scratched face.,1.1.120,
,BEATRICE,,,
,,"Scratching could not make it worse, an 'twere such",1.1.121,
,,a face as yours were.,1.1.122,
,BENEDICK,,,
,,"Well, you are a rare parrot-teacher.",1.1.123,
,BEATRICE,,,
