Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. Venice. A street.,,,,
,,,,Enter RODERIGO and IAGO
,RODERIGO,,,
,,Tush! never tell me; I take it much unkindly,1.1.1,
,,"That thou, Iago, who hast had my purse",1.1.2,
,,"As if the strings were thine, shouldst know of this.",1.1.3,
,IAGO,,,
,,"'Sblood, but you will not hear me:",1.1.4,
,,"If ever I did dream of such a matter, Abhor me.",1.1.5,
,RODERIGO,,,
,,Thou told'st me thou didst hold him in thy hate.,1.1.6,
,IAGO,,,
,,"Despise me, if I do not. Three great ones of the city,",1.1.7,
,,"In personal suit to make me his lieutenant,",1.1.8,
,,"Off-capp'd to him: and, by the faith of man,",1.1.9,
,,"I know my price, I am worth no worse a place:",1.1.10,
,,"But he; as loving his own pride and purposes,",1.1.11,
,,"Evades them, with a bombast circumstance",1.1.12,
,,Horribly stuff'd with epithets of war;,1.1.13,
,,"And, in conclusion,",1.1.14,
,,"Nonsuits my mediators; for, 'Certes,' says he,",1.1.15,
,,'I have already chose my officer.',1.1.16,
,,And what was he?,1.1.17,
,,"Forsooth, a great arithmetician,",1.1.18,
,,"One Michael Cassio, a Florentine,",1.1.19,
,,A fellow almost damn'd in a fair wife;,1.1.20,
,,"That never set a squadron in the field,",1.1.21,
,,Nor the division of a battle knows,1.1.22,
,,"More than a spinster; unless the bookish theoric,",1.1.23,
,,Wherein the toged consuls can propose,1.1.24,
,,"As masterly as he: mere prattle, without practise,",1.1.25,
,,"Is all his soldiership. But he, sir, had the election:",1.1.26,
,,"And I, of whom his eyes had seen the proof",1.1.27,
,,"At Rhodes, at Cyprus and on other grounds",1.1.28,
,,"Christian and heathen, must be be-lee'd and calm'd",1.1.29,
,,"By debitor and creditor: this counter-caster,",1.1.30,
,,"He, in good time, must his lieutenant be,",1.1.31,
,,And I--God bless the mark!--his Moorship's ancient.,1.1.32,
,RODERIGO,,,
,,"By heaven, I rather would have been his hangman.",1.1.33,
,IAGO,,,
,,"Why, there's no remedy; 'tis the curse of service,",1.1.34,
,,"Preferment goes by letter and affection,",1.1.35,
,,"And not by old gradation, where each second",1.1.36,
,,"Stood heir to the first. Now, sir, be judge yourself,",1.1.37,
,,Whether I in any just term am affined,1.1.38,
,,To love the Moor.,1.1.39,
,RODERIGO,,,
,,I would not follow him then.,1.1.40,
,IAGO,,,
,,"O, sir, content you;",1.1.41,
,,I follow him to serve my turn upon him:,1.1.42,
,,"We cannot all be masters, nor all masters",1.1.43,
