Title,Chapter,Player,Line,Line ID,Stage Direction
"Pericles, Prince of Tyre",,,,,
,ACT I,,,,
,PROLOGUE,,,,
,,,,,Enter GOWER
,,,,,Before the palace of Antioch
,,,"To sing a song that old was sung,",1.0.1,
,,,From ashes ancient Gower is come;,1.0.2,
,,,"Assuming man's infirmities,",1.0.3,
,,,"To glad your ear, and please your eyes.",1.0.4,
,,,"It hath been sung at festivals,",1.0.5,
,,,On ember-eves and holy-ales;,1.0.6,
,,,And lords and ladies in their lives,1.0.7,
,,,Have read it for restoratives:,1.0.8,
,,,The purchase is to make men glorious;,1.0.9,
,,,"Et bonum quo antiquius, eo melius.",1.0.10,
,,,"If you, born in these latter times,",1.0.11,
,,,"When wit's more ripe, accept my rhymes.",1.0.12,
,,,And that to hear an old man sing,1.0.13,
,,,May to your wishes pleasure bring,1.0.14,
,,,"I life would wish, and that I might",1.0.15,
,,,"Waste it for you, like taper-light.",1.0.16,
,,,"This Antioch, then, Antiochus the Great",1.0.17,
,,,"Built up, this city, for his chiefest seat:",1.0.18,
,,,"The fairest in all Syria,",1.0.19,
,,,I tell you what mine authors say:,1.0.20,
,,,"This king unto him took a fere,",1.0.21,
,,,"Who died and left a female heir,",1.0.22,
,,,"So buxom, blithe, and full of face,",1.0.23,
,,,As heaven had lent her all his grace;,1.0.24,
,,,"With whom the father liking took,",1.0.25,
,,,And her to incest did provoke:,1.0.26,
,,,Bad child; worse father! to entice his own,1.0.27,
,,,To evil should be done by none:,1.0.28,
,,,But custom what they did begin,1.0.29,
,,,Was with long use account no sin.,1.0.30,
,,,The beauty of this sinful dame,1.0.31,
,,,"Made many princes thither frame,",1.0.32,
,,,"To seek her as a bed-fellow,",1.0.33,
,,,In marriage-pleasures play-fellow:,1.0.34,
,,,"Which to prevent he made a law,",1.0.35,
,,,"To keep her still, and men in awe,",1.0.36,
,,,"That whoso ask'd her for his wife,",1.0.37,
,,,"His riddle told not, lost his life:",1.0.38,
,,,"So for her many a wight did die,",1.0.39,
,,,As yon grim looks do testify.,1.0.40,
,,,"What now ensues, to the judgment of your eye",1.0.41,
,,,"I give, my cause who best can justify.",1.0.42,
,,,,,Exit
,SCENE I. Antioch. A room in the palace.,,,,
,,,,,"Enter ANTIOCHUS, Prince PERICLES, and followers"
,,ANTIOCHUS,,,
,,,"Young prince of Tyre, you have at large received",1.1.1,
,,,The danger of the task you undertake.,1.1.2,
,,PERICLES,,,
,,,"I have, Antiochus, and, with a soul",1.1.3,
,,,"Embolden'd with the glory of her praise,",1.1.4,
,,,Think death no hazard in this enterprise.,1.1.5,
,,ANTIOCHUS,,,
,,,"Bring in our daughter, clothed like a bride,",1.1.6,
,,,For the embracements even of Jove himself;,1.1.7,
,,,"At whose conception, till Lucina reign'd,",1.1.8,
,,,"Nature this dowry gave, to glad her presence,",1.1.9,
,,,"The senate-house of planets all did sit,",1.1.10,
,,,To knit in her their best perfections.,1.1.11,
,,,,,Music. Enter the Daughter of ANTIOCHUS
,,PERICLES,,,
,,,"See where she comes, apparell'd like the spring,",1.1.12,
,,,"Graces her subjects, and her thoughts the king",1.1.13,
,,,Of every virtue gives renown to men!,1.1.14,
,,,"Her face the book of praises, where is read",1.1.15,
,,,"Nothing but curious pleasures, as from thence",1.1.16,
,,,Sorrow were ever razed and testy wrath,1.1.17,
,,,Could never be her mild companion.,1.1.18,
,,,"You gods that made me man, and sway in love,",1.1.19,
,,,That have inflamed desire in my breast,1.1.20,
,,,"To taste the fruit of yon celestial tree,",1.1.21,
,,,"Or die in the adventure, be my helps,",1.1.22,
,,,"As I am son and servant to your will,",1.1.23,
,,,To compass such a boundless happiness!,1.1.24,
,,ANTIOCHUS,,,
,,,"Prince Pericles,--",1.1.25,
,,PERICLES,,,
,,,That would be son to great Antiochus.,1.1.26,
,,ANTIOCHUS,,,
,,,"Before thee stands this fair Hesperides,",1.1.27,
,,,"With golden fruit, but dangerous to be touch'd;",1.1.28,
,,,For death-like dragons here affright thee hard:,1.1.29,
,,,"Her face, like heaven, enticeth thee to view",1.1.30,
,,,"Her countless glory, which desert must gain;",1.1.31,
,,,"And which, without desert, because thine eye",1.1.32,
,,,"Presumes to reach, all thy whole heap must die.",1.1.33,
,,,"Yon sometimes famous princes, like thyself,",1.1.34,
,,,"Drawn by report, adventurous by desire,",1.1.35,
,,,"Tell thee, with speechless tongues and semblance pale,",1.1.36,
,,,"That without covering, save yon field of stars,",1.1.37,
,,,"Here they stand martyrs, slain in Cupid's wars;",1.1.38,
,,,And with dead cheeks advise thee to desist,1.1.39,
,,,"For going on death's net, whom none resist.",1.1.40,
,,PERICLES,,,
,,,"Antiochus, I thank thee, who hath taught",1.1.41,
,,,"My frail mortality to know itself,",1.1.42,
,,,And by those fearful objects to prepare,1.1.43,
,,,"This body, like to them, to what I must;",1.1.44,
,,,"For death remember'd should be like a mirror,",1.1.45,
,,,"Who tells us life's but breath, to trust it error.",1.1.46,
,,,"I'll make my will then, and, as sick men do",1.1.47,
,,,"Who know the world, see heaven, but, feeling woe,",1.1.48,
,,,Gripe not at earthly joys as erst they did;,1.1.49,
,,,So I bequeath a happy peace to you,1.1.50,
,,,"And all good men, as every prince should do;",1.1.51,
,,,My riches to the earth from whence they came;,1.1.52,
,,,But my unspotted fire of love to you.,1.1.53,
,,,,,To the Daughter of ANTIOCHUS
,,,"Thus ready for the way of life or death,",1.1.54,
,,,"I wait the sharpest blow, Antiochus.",1.1.55,
,,ANTIOCHUS,,,
,,,"Scorning advice, read the conclusion then:",1.1.56,
,,,"Which read and not expounded, 'tis decreed,",1.1.57,
,,,As these before thee thou thyself shalt bleed.,1.1.58,
,,Daughter,,,
,,,"Of all say'd yet, mayst thou prove prosperous!",1.1.59,
,,,"Of all say'd yet, I wish thee happiness!",1.1.60,
,,PERICLES,,,
,,,"Like a bold champion, I assume the lists,",1.1.61,
,,,Nor ask advice of any other thought,1.1.62,
,,,But faithfulness and courage.,1.1.63,
,,,,,He reads the riddle
,,,"I am no viper, yet I feed",1.1.64,
,,,On mother's flesh which did me breed.,1.1.65,
,,,"I sought a husband, in which labour",1.1.66,
,,,I found that kindness in a father:,1.1.67,
,,,"He's father, son, and husband mild;",1.1.68,
,,,"I mother, wife, and yet his child.",1.1.69,
,,,"How they may be, and yet in two,",1.1.70,
,,,"As you will live, resolve it you.",1.1.71,
,,,"Sharp physic is the last: but, O you powers",1.1.72,
,,,"That give heaven countless eyes to view men's acts,",1.1.73,
,,,"Why cloud they not their sights perpetually,",1.1.74,
,,,"If this be true, which makes me pale to read it?",1.1.75,
,,,"Fair glass of light, I loved you, and could still,",1.1.76,
,,,,,Takes hold of the hand of the Daughter of ANTIOCHUS
,,,Were not this glorious casket stored with ill:,1.1.77,
,,,"But I must tell you, now my thoughts revolt",1.1.78,
,,,For he's no man on whom perfections wait,1.1.79,
,,,"That, knowing sin within, will touch the gate.",1.1.80,
,,,"You are a fair viol, and your sense the strings;",1.1.81,
,,,"Who, finger'd to make man his lawful music,",1.1.82,
,,,"Would draw heaven down, and all the gods, to hearken:",1.1.83,
,,,"But being play'd upon before your time,",1.1.84,
,,,Hell only danceth at so harsh a chime.,1.1.85,
,,,"Good sooth, I care not for you.",1.1.86,
,,ANTIOCHUS,,,
,,,"Prince Pericles, touch not, upon thy life.",1.1.87,
,,,"For that's an article within our law,",1.1.88,
,,,As dangerous as the rest. Your time's expired:,1.1.89,
,,,"Either expound now, or receive your sentence.",1.1.90,
,,PERICLES,,,
,,,"Great king,",1.1.91,
,,,Few love to hear the sins they love to act;,1.1.92,
,,,'Twould braid yourself too near for me to tell it.,1.1.93,
,,,"Who has a book of all that monarchs do,",1.1.94,
,,,He's more secure to keep it shut than shown:,1.1.95,
,,,For vice repeated is like the wandering wind.,1.1.96,
,,,"Blows dust in other's eyes, to spread itself;",1.1.97,
,,,"And yet the end of all is bought thus dear,",1.1.98,
,,,"The breath is gone, and the sore eyes see clear:",1.1.99,
,,,To stop the air would hurt them. The blind mole casts,1.1.100,
,,,"Copp'd hills towards heaven, to tell the earth is throng'd",1.1.101,
,,,By man's oppression; and the poor worm doth die for't.,1.1.102,
,,,Kings are earth's gods; in vice their law's,1.1.103,
,,,their will;,1.1.104,
,,,"And if Jove stray, who dares say Jove doth ill?",1.1.105,
,,,"It is enough you know; and it is fit,",1.1.106,
,,,"What being more known grows worse, to smother it.",1.1.107,
,,,"All love the womb that their first being bred,",1.1.108,
,,,Then give my tongue like leave to love my head.,1.1.109,
,,ANTIOCHUS,,,
,,,"[Aside]  Heaven, that I had thy head! he has found",1.1.110,
,,,the meaning:,1.1.111,
,,,"But I will gloze with him.--Young prince of Tyre,",1.1.112,
,,,"Though by the tenor of our strict edict,",1.1.113,
,,,"Your exposition misinterpreting,",1.1.114,
,,,We might proceed to cancel of your days;,1.1.115,
,,,"Yet hope, succeeding from so fair a tree",1.1.116,
,,,"As your fair self, doth tune us otherwise:",1.1.117,
,,,Forty days longer we do respite you;,1.1.118,
,,,"If by which time our secret be undone,",1.1.119,
,,,This mercy shows we'll joy in such a son:,1.1.120,
,,,And until then your entertain shall be,1.1.121,
,,,As doth befit our honour and your worth.,1.1.122,
,,,,,Exeunt all but PERICLES
,,PERICLES,,,
,,,"How courtesy would seem to cover sin,",1.1.123,
,,,"When what is done is like an hypocrite,",1.1.124,
,,,The which is good in nothing but in sight!,1.1.125,
,,,"If it be true that I interpret false,",1.1.126,
,,,Then were it certain you were not so bad,1.1.127,
,,,As with foul incest to abuse your soul;,1.1.128,
,,,"Where now you're both a father and a son,",1.1.129,
,,,"By your untimely claspings with your child,",1.1.130,
,,,"Which pleasure fits an husband, not a father;",1.1.131,
,,,"And she an eater of her mother's flesh,",1.1.132,
,,,By the defiling of her parent's bed;,1.1.133,
,,,"And both like serpents are, who though they feed",1.1.134,
,,,"On sweetest flowers, yet they poison breed.",1.1.135,
,,,"Antioch, farewell! for wisdom sees, those men",1.1.136,
,,,"Blush not in actions blacker than the night,",1.1.137,
,,,Will shun no course to keep them from the light.,1.1.138,
,,,"One sin, I know, another doth provoke;",1.1.139,
,,,Murder's as near to lust as flame to smoke:,1.1.140,
,,,"Poison and treason are the hands of sin,",1.1.141,
,,,"Ay, and the targets, to put off the shame:",1.1.142,
,,,"Then, lest my lie be cropp'd to keep you clear,",1.1.143,
,,,By flight I'll shun the danger which I fear.,1.1.144,
,,,,,Exit
,,,,,Re-enter ANTIOCHUS
,,ANTIOCHUS,,,
,,,"He hath found the meaning, for which we mean",1.1.145,
,,,To have his head.,1.1.146,
,,,"He must not live to trumpet forth my infamy,",1.1.147,
,,,Nor tell the world Antiochus doth sin,1.1.148,
,,,In such a loathed manner;,1.1.149,
,,,And therefore instantly this prince must die:,1.1.150,
,,,For by his fall my honour must keep high.,1.1.151,
,,,Who attends us there?,1.1.152,
,,,,,Enter THALIARD
,,THALIARD,,,
,,,Doth your highness call?,1.1.153,
,,ANTIOCHUS,,,
