Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. London. KING RICHARD II's palace.,,,,
,,,,"Enter KING RICHARD II, JOHN OF GAUNT, with other Nobles and Attendants"
,KING RICHARD II,,,
,,"Old John of Gaunt, time-honour'd Lancaster,",1.1.1,
,,"Hast thou, according to thy oath and band,",1.1.2,
,,"Brought hither Henry Hereford thy bold son,",1.1.3,
,,"Here to make good the boisterous late appeal,",1.1.4,
,,"Which then our leisure would not let us hear,",1.1.5,
,,"Against the Duke of Norfolk, Thomas Mowbray?",1.1.6,
,JOHN OF GAUNT,,,
,,"I have, my liege.",1.1.7,
,KING RICHARD II,,,
,,"Tell me, moreover, hast thou sounded him,",1.1.8,
,,If he appeal the duke on ancient malice;,1.1.9,
,,"Or worthily, as a good subject should,",1.1.10,
,,On some known ground of treachery in him?,1.1.11,
,JOHN OF GAUNT,,,
,,"As near as I could sift him on that argument,",1.1.12,
,,On some apparent danger seen in him,1.1.13,
,,"Aim'd at your highness, no inveterate malice.",1.1.14,
,KING RICHARD II,,,
,,"Then call them to our presence; face to face,",1.1.15,
,,"And frowning brow to brow, ourselves will hear",1.1.16,
,,The accuser and the accused freely speak:,1.1.17,
,,"High-stomach'd are they both, and full of ire,",1.1.18,
,,"In rage deaf as the sea, hasty as fire.",1.1.19,
,,,,Enter HENRY BOLINGBROKE and THOMAS MOWBRAY
,HENRY BOLINGBROKE,,,
,,Many years of happy days befal,1.1.20,
,,"My gracious sovereign, my most loving liege!",1.1.21,
,THOMAS MOWBRAY,,,
,,Each day still better other's happiness;,1.1.22,
,,"Until the heavens, envying earth's good hap,",1.1.23,
,,Add an immortal title to your crown!,1.1.24,
,KING RICHARD II,,,
,,"We thank you both: yet one but flatters us,",1.1.25,
,,As well appeareth by the cause you come;,1.1.26,
,,Namely to appeal each other of high treason.,1.1.27,
,,"Cousin of Hereford, what dost thou object",1.1.28,
,,"Against the Duke of Norfolk, Thomas Mowbray?",1.1.29,
,HENRY BOLINGBROKE,,,
,,"First, heaven be the record to my speech!",1.1.30,
,,"In the devotion of a subject's love,",1.1.31,
,,"Tendering the precious safety of my prince,",1.1.32,
,,"And free from other misbegotten hate,",1.1.33,
,,Come I appellant to this princely presence.,1.1.34,
,,"Now, Thomas Mowbray, do I turn to thee,",1.1.35,
,,And mark my greeting well; for what I speak,1.1.36,
,,"My body shall make good upon this earth,",1.1.37,
,,Or my divine soul answer it in heaven.,1.1.38,
,,"Thou art a traitor and a miscreant,",1.1.39,
,,"Too good to be so and too bad to live,",1.1.40,
,,"Since the more fair and crystal is the sky,",1.1.41,
