Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. London. A street.,,,,
,,,,"Enter GLOUCESTER, solus"
,GLOUCESTER,,,
,,Now is the winter of our discontent,1.1.1,
,,Made glorious summer by this sun of York;,1.1.2,
,,And all the clouds that lour'd upon our house,1.1.3,
,,In the deep bosom of the ocean buried.,1.1.4,
,,Now are our brows bound with victorious wreaths;,1.1.5,
,,Our bruised arms hung up for monuments;,1.1.6,
,,"Our stern alarums changed to merry meetings,",1.1.7,
,,Our dreadful marches to delightful measures.,1.1.8,
,,Grim-visaged war hath smooth'd his wrinkled front;,1.1.9,
,,"And now, instead of mounting barbed steeds",1.1.10,
,,"To fright the souls of fearful adversaries,",1.1.11,
,,He capers nimbly in a lady's chamber,1.1.12,
,,To the lascivious pleasing of a lute.,1.1.13,
,,"But I, that am not shaped for sportive tricks,",1.1.14,
,,Nor made to court an amorous looking-glass;,1.1.15,
,,"I, that am rudely stamp'd, and want love's majesty",1.1.16,
,,To strut before a wanton ambling nymph;,1.1.17,
,,"I, that am curtail'd of this fair proportion,",1.1.18,
,,"Cheated of feature by dissembling nature,",1.1.19,
,,"Deformed, unfinish'd, sent before my time",1.1.20,
,,"Into this breathing world, scarce half made up,",1.1.21,
,,And that so lamely and unfashionable,1.1.22,
,,That dogs bark at me as I halt by them;,1.1.23,
,,"Why, I, in this weak piping time of peace,",1.1.24,
,,"Have no delight to pass away the time,",1.1.25,
,,Unless to spy my shadow in the sun,1.1.26,
,,And descant on mine own deformity:,1.1.27,
,,"And therefore, since I cannot prove a lover,",1.1.28,
,,"To entertain these fair well-spoken days,",1.1.29,
,,I am determined to prove a villain,1.1.30,
,,And hate the idle pleasures of these days.,1.1.31,
,,"Plots have I laid, inductions dangerous,",1.1.32,
,,"By drunken prophecies, libels and dreams,",1.1.33,
,,To set my brother Clarence and the king,1.1.34,
,,In deadly hate the one against the other:,1.1.35,
,,And if King Edward be as true and just,1.1.36,
,,"As I am subtle, false and treacherous,",1.1.37,
,,"This day should Clarence closely be mew'd up,",1.1.38,
,,"About a prophecy, which says that 'G'",1.1.39,
,,Of Edward's heirs the murderer shall be.,1.1.40,
,,"Dive, thoughts, down to my soul: here",1.1.41,
,,Clarence comes.,1.1.42,
,,,,"Enter CLARENCE, guarded, and BRAKENBURY"
,,"Brother, good day; what means this armed guard",1.1.43,
,,That waits upon your grace?,1.1.44,
,CLARENCE,,,
,,His majesty,1.1.45,
,,"Tendering my person's safety, hath appointed",1.1.46,
,,This conduct to convey me to the Tower.,1.1.47,
,GLOUCESTER,,,
,,Upon what cause?,1.1.48,
,CLARENCE,,,
,,Because my name is George.,1.1.49,
,GLOUCESTER,,,
,,"Alack, my lord, that fault is none of yours;",1.1.50,
,,"He should, for that, commit your godfathers:",1.1.51,
,,"O, belike his majesty hath some intent",1.1.52,
,,That you shall be new-christen'd in the Tower.,1.1.53,
,,"But what's the matter, Clarence?  may I know?",1.1.54,
,CLARENCE,,,
,,"Yea, Richard, when I know; for I protest",1.1.55,
,,"As yet I do not: but, as I can learn,",1.1.56,
,,He hearkens after prophecies and dreams;,1.1.57,
,,And from the cross-row plucks the letter G.,1.1.58,
,,And says a wizard told him that by G,1.1.59,
,,His issue disinherited should be;,1.1.60,
,,"And, for my name of George begins with G,",1.1.61,
,,It follows in his thought that I am he.,1.1.62,
,,"These, as I learn, and such like toys as these",1.1.63,
,,Have moved his highness to commit me now.,1.1.64,
,GLOUCESTER,,,
,,"Why, this it is, when men are ruled by women:",1.1.65,
,,'Tis not the king that sends you to the Tower:,1.1.66,
,,"My Lady Grey his wife, Clarence, 'tis she",1.1.67,
,,That tempers him to this extremity.,1.1.68,
,,"Was it not she and that good man of worship,",1.1.69,
,,"Anthony Woodville, her brother there,",1.1.70,
,,"That made him send Lord Hastings to the Tower,",1.1.71,
,,From whence this present day he is deliver'd?,1.1.72,
,,"We are not safe, Clarence; we are not safe.",1.1.73,
,CLARENCE,,,
,,"By heaven, I think there's no man is secure",1.1.74,
,,But the queen's kindred and night-walking heralds,1.1.75,
,,That trudge betwixt the king and Mistress Shore.,1.1.76,
,,Heard ye not what an humble suppliant,1.1.77,
,,Lord hastings was to her for his delivery?,1.1.78,
,GLOUCESTER,,,
,,Humbly complaining to her deity,1.1.79,
,,Got my lord chamberlain his liberty.,1.1.80,
,,"I'll tell you what; I think it is our way,",1.1.81,
,,"If we will keep in favour with the king,",1.1.82,
,,To be her men and wear her livery:,1.1.83,
,,"The jealous o'erworn widow and herself,",1.1.84,
,,Since that our brother dubb'd them gentlewomen.,1.1.85,
,,Are mighty gossips in this monarchy.,1.1.86,
,BRAKENBURY,,,
,,I beseech your graces both to pardon me;,1.1.87,
,,His majesty hath straitly given in charge,1.1.88,
,,"That no man shall have private conference,",1.1.89,
,,"Of what degree soever, with his brother.",1.1.90,
,GLOUCESTER,,,
,,"Even so; an't please your worship, Brakenbury,",1.1.91,
,,You may partake of any thing we say:,1.1.92,
,,"We speak no treason, man: we say the king",1.1.93,
,,"Is wise and virtuous, and his noble queen",1.1.94,
,,"Well struck in years, fair, and not jealous;",1.1.95,
,,"We say that Shore's wife hath a pretty foot,",1.1.96,
,,"A cherry lip, a bonny eye, a passing pleasing tongue;",1.1.97,
,,And that the queen's kindred are made gentle-folks:,1.1.98,
,,How say you sir? Can you deny all this?,1.1.99,
,BRAKENBURY,,,
,,"With this, my lord, myself have nought to do.",1.1.100,
