Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
PROLOGUE,,,,
,,"Two households, both alike in dignity,",1.0.1,
,,"In fair Verona, where we lay our scene,",1.0.2,
,,"From ancient grudge break to new mutiny,",1.0.3,
,,Where civil blood makes civil hands unclean.,1.0.4,
,,From forth the fatal loins of these two foes,1.0.5,
,,A pair of star-cross'd lovers take their life;,1.0.6,
,,Whose misadventured piteous overthrows,1.0.7,
,,Do with their death bury their parents' strife.,1.0.8,
,,"The fearful passage of their death-mark'd love,",1.0.9,
,,"And the continuance of their parents' rage,",1.0.10,
,,"Which, but their children's end, nought could remove,",1.0.11,
,,Is now the two hours' traffic of our stage;,1.0.12,
,,"The which if you with patient ears attend,",1.0.13,
,,"What here shall miss, our toil shall strive to mend.",1.0.14,
SCENE I. Verona. A public place.,,,,
,,,,"Enter SAMPSON and GREGORY, of the house of Capulet, armed with swords and bucklers"
,SAMPSON,,,
,,"Gregory, o' my word, we'll not carry coals.",1.1.1,
,GREGORY,,,
,,"No, for then we should be colliers.",1.1.2,
,SAMPSON,,,
,,"I mean, an we be in choler, we'll draw.",1.1.3,
,GREGORY,,,
,,"Ay, while you live, draw your neck out o' the collar.",1.1.4,
,SAMPSON,,,
,,"I strike quickly, being moved.",1.1.5,
,GREGORY,,,
,,But thou art not quickly moved to strike.,1.1.6,
,SAMPSON,,,
,,A dog of the house of Montague moves me.,1.1.7,
,GREGORY,,,
,,To move is to stir; and to be valiant is to stand:,1.1.8,
,,"therefore, if thou art moved, thou runn'st away.",1.1.9,
,SAMPSON,,,
,,A dog of that house shall move me to stand: I will,1.1.10,
,,take the wall of any man or maid of Montague's.,1.1.11,
,GREGORY,,,
,,That shows thee a weak slave; for the weakest goes,1.1.12,
,,to the wall.,1.1.13,
,SAMPSON,,,
,,"True; and therefore women, being the weaker vessels,",1.1.14,
,,are ever thrust to the wall: therefore I will push,1.1.15,
,,"Montague's men from the wall, and thrust his maids",1.1.16,
,,to the wall.,1.1.17,
,GREGORY,,,
,,The quarrel is between our masters and us their men.,1.1.18,
,SAMPSON,,,
,,"'Tis all one, I will show myself a tyrant: when I",1.1.19,
,,"have fought with the men, I will be cruel with the",1.1.20,
,,"maids, and cut off their heads.",1.1.21,
,GREGORY,,,
,,The heads of the maids?,1.1.22,
,SAMPSON,,,
,,"Ay, the heads of the maids, or their maidenheads;",1.1.23,
,,take it in what sense thou wilt.,1.1.24,
,GREGORY,,,
,,They must take it in sense that feel it.,1.1.25,
,SAMPSON,,,
,,Me they shall feel while I am able to stand: and,1.1.26,
,,'tis known I am a pretty piece of flesh.,1.1.27,
,GREGORY,,,
,,"'Tis well thou art not fish; if thou hadst, thou",1.1.28,
,,hadst been poor John. Draw thy tool! here comes,1.1.29,
,,two of the house of the Montagues.,1.1.30,
,SAMPSON,,,
,,"My naked weapon is out: quarrel, I will back thee.",1.1.31,
,GREGORY,,,
,,How! turn thy back and run?,1.1.32,
,SAMPSON,,,
,,Fear me not.,1.1.33,
,GREGORY,,,
,,"No, marry; I fear thee!",1.1.34,
,SAMPSON,,,
,,Let us take the law of our sides; let them begin.,1.1.35,
,GREGORY,,,
,,"I will frown as I pass by, and let them take it as",1.1.36,
,,they list.,1.1.37,
,SAMPSON,,,
,,"Nay, as they dare. I will bite my thumb at them;",1.1.38,
,,"which is a disgrace to them, if they bear it.",1.1.39,
,,,,Enter ABRAHAM and BALTHASAR
,ABRAHAM,,,
,,"Do you bite your thumb at us, sir?",1.1.40,
,SAMPSON,,,
,,"I do bite my thumb, sir.",1.1.41,
,ABRAHAM,,,
,,"Do you bite your thumb at us, sir?",1.1.42,
,SAMPSON,,,
,,"[Aside to GREGORY]  Is the law of our side, if I say",1.1.43,
,,ay?,1.1.44,
,GREGORY,,,
,,No.,1.1.45,
,SAMPSON,,,
,,"No, sir, I do not bite my thumb at you, sir, but I",1.1.46,
,,"bite my thumb, sir.",1.1.47,
,GREGORY,,,
,,"Do you quarrel, sir?",1.1.48,
,ABRAHAM,,,
,,"Quarrel sir! no, sir.",1.1.49,
,SAMPSON,,,
,,"If you do, sir, I am for you: I serve as good a man as you.",1.1.50,
,ABRAHAM,,,
,,No better.,1.1.51,
,SAMPSON,,,
,,"Well, sir.",1.1.52,
,GREGORY,,,
,,Say 'better:' here comes one of my master's kinsmen.,1.1.53,
,SAMPSON,,,
,,"Yes, better, sir.",1.1.54,
,ABRAHAM,,,
,,You lie.,1.1.55,
,SAMPSON,,,
,,"Draw, if you be men. Gregory, remember thy swashing blow.",1.1.56,
,,,,They fight
,,,,Enter BENVOLIO
,BENVOLIO,,,
,,"Part, fools!",1.1.57,
,,Put up your swords; you know not what you do.,1.1.58,
,,,,Beats down their swords
,,,,Enter TYBALT
,TYBALT,,,
,,"What, art thou drawn among these heartless hinds?",1.1.59,
,,"Turn thee, Benvolio, look upon thy death.",1.1.60,
,BENVOLIO,,,
,,"I do but keep the peace: put up thy sword,",1.1.61,
,,Or manage it to part these men with me.,1.1.62,
,TYBALT,,,
,,"What, drawn, and talk of peace! I hate the word,",1.1.63,
,,"As I hate hell, all Montagues, and thee:",1.1.64,
,,"Have at thee, coward!",1.1.65,
,,,,They fight
,,,,"Enter, several of both houses, who join the fray; then enter Citizens, with clubs"
,First Citizen,,,
,,"Clubs, bills, and partisans! strike! beat them down!",1.1.66,
,,Down with the Capulets! down with the Montagues!,1.1.67,
,,,,"Enter CAPULET in his gown, and LADY CAPULET"
,CAPULET,,,
,,"What noise is this? Give me my long sword, ho!",1.1.68,
,LADY CAPULET,,,
,,"A crutch, a crutch! why call you for a sword?",1.1.69,
,CAPULET,,,
,,"My sword, I say! Old Montague is come,",1.1.70,
,,And flourishes his blade in spite of me.,1.1.71,
,,,,Enter MONTAGUE and LADY MONTAGUE
,MONTAGUE,,,
,,"Thou villain Capulet,--Hold me not, let me go.",1.1.72,
,LADY MONTAGUE,,,
,,Thou shalt not stir a foot to seek a foe.,1.1.73,
,,,,"Enter PRINCE, with Attendants"
,PRINCE,,,
,,"Rebellious subjects, enemies to peace,",1.1.74,
,,"Profaners of this neighbour-stained steel,--",1.1.75,
,,"Will they not hear? What, ho! you men, you beasts,",1.1.76,
,,That quench the fire of your pernicious rage,1.1.77,
,,"With purple fountains issuing from your veins,",1.1.78,
,,"On pain of torture, from those bloody hands",1.1.79,
,,"Throw your mistemper'd weapons to the ground,",1.1.80,
,,And hear the sentence of your moved prince.,1.1.81,
,,"Three civil brawls, bred of an airy word,",1.1.82,
,,"By thee, old Capulet, and Montague,",1.1.83,
,,"Have thrice disturb'd the quiet of our streets,",1.1.84,
,,And made Verona's ancient citizens,1.1.85,
,,"Cast by their grave beseeming ornaments,",1.1.86,
,,"To wield old partisans, in hands as old,",1.1.87,
,,"Canker'd with peace, to part your canker'd hate:",1.1.88,
,,"If ever you disturb our streets again,",1.1.89,
,,Your lives shall pay the forfeit of the peace.,1.1.90,
,,"For this time, all the rest depart away:",1.1.91,
,,You Capulet; shall go along with me:,1.1.92,
,,"And, Montague, come you this afternoon,",1.1.93,
,,"To know our further pleasure in this case,",1.1.94,
,,"To old Free-town, our common judgment-place.",1.1.95,
,,"Once more, on pain of death, all men depart.",1.1.96,
,,,,"Exeunt all but MONTAGUE, LADY MONTAGUE, and BENVOLIO"
,MONTAGUE,,,
