Chapter,Player,Line,Line ID,Stage Direction
SCENE I. Before an alehouse on a heath.,,,,
,,,,Enter Hostess and SLY
,SLY,,,
,,"I'll pheeze you, in faith.",0.1.1,
,Hostess,,,
,,"A pair of stocks, you rogue!",0.1.2,
,SLY,,,
,,Ye are a baggage: the Slys are no rogues; look in,0.1.3,
,,the chronicles; we came in with Richard Conqueror.,0.1.4,
,,Therefore paucas pallabris; let the world slide: sessa!,0.1.5,
,Hostess,,,
,,You will not pay for the glasses you have burst?,0.1.6,
,SLY,,,
,,"No, not a denier. Go by, Jeronimy: go to thy cold",0.1.7,
,,"bed, and warm thee.",0.1.8,
,Hostess,,,
,,I know my remedy; I must go fetch the,0.1.9,
,,third--borough.,0.1.10,
,,,,Exit
,SLY,,,
,,"Third, or fourth, or fifth borough, I'll answer him",0.1.11,
,,"by law: I'll not budge an inch, boy: let him come,",0.1.12,
,,and kindly.,0.1.13,
,,,,Falls asleep
,,,,"Horns winded. Enter a Lord from hunting, with his train"
,Lord,,,
,,"Huntsman, I charge thee, tender well my hounds:",0.1.14,
,,"Brach Merriman, the poor cur is emboss'd;",0.1.15,
,,And couple Clowder with the deep--mouth'd brach.,0.1.16,
,,"Saw'st thou not, boy, how Silver made it good",0.1.17,
,,"At the hedge-corner, in the coldest fault?",0.1.18,
,,I would not lose the dog for twenty pound.,0.1.19,
,First Huntsman,,,
,,"Why, Belman is as good as he, my lord;",0.1.20,
,,He cried upon it at the merest loss,0.1.21,
,,And twice to-day pick'd out the dullest scent:,0.1.22,
,,"Trust me, I take him for the better dog.",0.1.23,
,Lord,,,
,,"Thou art a fool: if Echo were as fleet,",0.1.24,
,,I would esteem him worth a dozen such.,0.1.25,
,,But sup them well and look unto them all:,0.1.26,
,,To-morrow I intend to hunt again.,0.1.27,
,First Huntsman,,,
,,"I will, my lord.",0.1.28,
,Lord,,,
,,"What's here? one dead, or drunk? See, doth he breathe?",0.1.29,
,Second Huntsman,,,
,,"He breathes, my lord. Were he not warm'd with ale,",0.1.30,
,,This were a bed but cold to sleep so soundly.,0.1.31,
,Lord,,,
,,O monstrous beast! how like a swine he lies!,0.1.32,
,,"Grim death, how foul and loathsome is thine image!",0.1.33,
,,"Sirs, I will practise on this drunken man.",0.1.34,
,,"What think you, if he were convey'd to bed,",0.1.35,
,,"Wrapp'd in sweet clothes, rings put upon his fingers,",0.1.36,
,,"A most delicious banquet by his bed,",0.1.37,
,,"And brave attendants near him when he wakes,",0.1.38,
,,Would not the beggar then forget himself?,0.1.39,
,First Huntsman,,,
,,"Believe me, lord, I think he cannot choose.",0.1.40,
,Second Huntsman,,,
,,It would seem strange unto him when he waked.,0.1.41,
,Lord,,,
,,Even as a flattering dream or worthless fancy.,0.1.42,
,,Then take him up and manage well the jest:,0.1.43,
,,Carry him gently to my fairest chamber,0.1.44,
,,And hang it round with all my wanton pictures:,0.1.45,
,,Balm his foul head in warm distilled waters,0.1.46,
,,And burn sweet wood to make the lodging sweet:,0.1.47,
,,"Procure me music ready when he wakes,",0.1.48,
,,To make a dulcet and a heavenly sound;,0.1.49,
,,"And if he chance to speak, be ready straight",0.1.50,
,,And with a low submissive reverence,0.1.51,
,,Say 'What is it your honour will command?',0.1.52,
,,Let one attend him with a silver basin,0.1.53,
,,"Full of rose-water and bestrew'd with flowers,",0.1.54,
,,"Another bear the ewer, the third a diaper,",0.1.55,
,,And say 'Will't please your lordship cool your hands?',0.1.56,
,,Some one be ready with a costly suit,0.1.57,
,,And ask him what apparel he will wear;,0.1.58,
,,"Another tell him of his hounds and horse,",0.1.59,
,,And that his lady mourns at his disease:,0.1.60,
,,Persuade him that he hath been lunatic;,0.1.61,
,,"And when he says he is, say that he dreams,",0.1.62,
,,For he is nothing but a mighty lord.,0.1.63,
,,"This do and do it kindly, gentle sirs:",0.1.64,
,,"It will be pastime passing excellent,",0.1.65,
,,If it be husbanded with modesty.,0.1.66,
,First Huntsman,,,
,,"My lord, I warrant you we will play our part,",0.1.67,
,,As he shall think by our true diligence,0.1.68,
,,He is no less than what we say he is.,0.1.69,
,Lord,,,
,,Take him up gently and to bed with him;,0.1.70,
,,And each one to his office when he wakes.,0.1.71,
,,,,Some bear out SLY. A trumpet sounds
,,"Sirrah, go see what trumpet 'tis that sounds:",0.1.72,
,,,,Exit Servingman
,,"Belike, some noble gentleman that means,",0.1.73,
,,"Travelling some journey, to repose him here.",0.1.74,
,,,,Re-enter Servingman
,,How now! who is it?,0.1.75,
,Servant,,,
,,"An't please your honour, players",0.1.76,
,,That offer service to your lordship.,0.1.77,
,Lord,,,
,,Bid them come near.,0.1.78,
,,,,Enter Players
,,"Now, fellows, you are welcome.",0.1.79,
,Players,,,
,,We thank your honour.,0.1.80,
,Lord,,,
,,Do you intend to stay with me tonight?,0.1.81,
,A Player,,,
,,So please your lordship to accept our duty.,0.1.82,
,Lord,,,
,,"With all my heart. This fellow I remember,",0.1.83,
,,Since once he play'd a farmer's eldest son:,0.1.84,
,,'Twas where you woo'd the gentlewoman so well:,0.1.85,
,,"I have forgot your name; but, sure, that part",0.1.86,
,,Was aptly fitted and naturally perform'd.,0.1.87,
,A Player,,,
,,I think 'twas Soto that your honour means.,0.1.88,
,Lord,,,
,,'Tis very true: thou didst it excellent.,0.1.89,
,,"Well, you are come to me in a happy time;",0.1.90,
,,The rather for I have some sport in hand,0.1.91,
,,Wherein your cunning can assist me much.,0.1.92,
,,There is a lord will hear you play to-night:,0.1.93,
,,But I am doubtful of your modesties;,0.1.94,
,,"Lest over-eyeing of his odd behavior,--",0.1.95,
,,For yet his honour never heard a play--,0.1.96,
,,You break into some merry passion,0.1.97,
,,"And so offend him; for I tell you, sirs,",0.1.98,
,,If you should smile he grows impatient.,0.1.99,
,A Player,,,
,,"Fear not, my lord: we can contain ourselves,",0.1.100,
,,Were he the veriest antic in the world.,0.1.101,
,Lord,,,
,,"Go, sirrah, take them to the buttery,",0.1.102,
,,And give them friendly welcome every one:,0.1.103,
,,Let them want nothing that my house affords.,0.1.104,
,,,,Exit one with the Players
,,"Sirrah, go you to Barthol'mew my page,",0.1.105,
,,And see him dress'd in all suits like a lady:,0.1.106,
,,"That done, conduct him to the drunkard's chamber;",0.1.107,
,,"And call him 'madam,' do him obeisance.",0.1.108,
,,"Tell him from me, as he will win my love,",0.1.109,
,,"He bear himself with honourable action,",0.1.110,
,,Such as he hath observed in noble ladies,0.1.111,
,,"Unto their lords, by them accomplished:",0.1.112,
,,Such duty to the drunkard let him do,0.1.113,
,,"With soft low tongue and lowly courtesy,",0.1.114,
,,"And say 'What is't your honour will command,",0.1.115,
