Title,Chapter,Player,Line,Line ID,Stage Direction
The Comedy of Errors,,,,,
,ACT I,,,,
,SCENE I. A hall in DUKE SOLINUS'S palace.,,,,
,,,,,"Enter DUKE SOLINUS, AEGEON, Gaoler, Officers, and other Attendants"
,,AEGEON,,,
,,,"Proceed, Solinus, to procure my fall",1.1.1,
,,,And by the doom of death end woes and all.,1.1.2,
,,DUKE SOLINUS,,,
,,,"Merchant of Syracuse, plead no more;",1.1.3,
,,,I am not partial to infringe our laws:,1.1.4,
,,,The enmity and discord which of late,1.1.5,
,,,Sprung from the rancorous outrage of your duke,1.1.6,
,,,"To merchants, our well-dealing countrymen,",1.1.7,
,,,Who wanting guilders to redeem their lives,1.1.8,
,,,"Have seal'd his rigorous statutes with their bloods,",1.1.9,
,,,Excludes all pity from our threatening looks.,1.1.10,
,,,"For, since the mortal and intestine jars",1.1.11,
,,,"'Twixt thy seditious countrymen and us,",1.1.12,
,,,It hath in solemn synods been decreed,1.1.13,
,,,"Both by the Syracusians and ourselves,",1.1.14,
,,,"To admit no traffic to our adverse towns Nay, more,",1.1.15,
,,,If any born at Ephesus be seen,1.1.16,
,,,At any Syracusian marts and fairs;,1.1.17,
,,,Again: if any Syracusian born,1.1.18,
,,,"Come to the bay of Ephesus, he dies,",1.1.19,
,,,"His goods confiscate to the duke's dispose,",1.1.20,
,,,"Unless a thousand marks be levied,",1.1.21,
,,,To quit the penalty and to ransom him.,1.1.22,
,,,"Thy substance, valued at the highest rate,",1.1.23,
,,,Cannot amount unto a hundred marks;,1.1.24,
,,,Therefore by law thou art condemned to die.,1.1.25,
,,AEGEON,,,
,,,"Yet this my comfort: when your words are done,",1.1.26,
,,,My woes end likewise with the evening sun.,1.1.27,
,,DUKE SOLINUS,,,
,,,"Well, Syracusian, say in brief the cause",1.1.28,
,,,Why thou departed'st from thy native home,1.1.29,
,,,And for what cause thou camest to Ephesus.,1.1.30,
,,AEGEON,,,
,,,A heavier task could not have been imposed,1.1.31,
,,,Than I to speak my griefs unspeakable:,1.1.32,
,,,"Yet, that the world may witness that my end",1.1.33,
,,,"Was wrought by nature, not by vile offence,",1.1.34,
,,,I'll utter what my sorrows give me leave.,1.1.35,
,,,"In Syracusa was I born, and wed",1.1.36,
,,,"Unto a woman, happy but for me,",1.1.37,
,,,"And by me, had not our hap been bad.",1.1.38,
,,,With her I lived in joy; our wealth increased,1.1.39,
,,,By prosperous voyages I often made,1.1.40,
,,,To Epidamnum; till my factor's death,1.1.41,
,,,And the great care of goods at random left,1.1.42,
,,,Drew me from kind embracements of my spouse:,1.1.43,
,,,From whom my absence was not six months old,1.1.44,
,,,"Before herself, almost at fainting under",1.1.45,
,,,"The pleasing punishment that women bear,",1.1.46,
,,,Had made provision for her following me,1.1.47,
,,,And soon and safe arrived where I was.,1.1.48,
,,,"There had she not been long, but she became",1.1.49,
,,,A joyful mother of two goodly sons;,1.1.50,
,,,"And, which was strange, the one so like the other,",1.1.51,
,,,As could not be distinguish'd but by names.,1.1.52,
,,,"That very hour, and in the self-same inn,",1.1.53,
,,,A meaner woman was delivered,1.1.54,
,,,"Of such a burden, male twins, both alike:",1.1.55,
,,,"Those,--for their parents were exceeding poor,--",1.1.56,
,,,I bought and brought up to attend my sons.,1.1.57,
,,,"My wife, not meanly proud of two such boys,",1.1.58,
,,,Made daily motions for our home return:,1.1.59,
,,,"Unwilling I agreed. Alas! too soon,",1.1.60,
,,,We came aboard.,1.1.61,
,,,"A league from Epidamnum had we sail'd,",1.1.62,
,,,Before the always wind-obeying deep,1.1.63,
,,,Gave any tragic instance of our harm:,1.1.64,
,,,But longer did we not retain much hope;,1.1.65,
,,,For what obscured light the heavens did grant,1.1.66,
,,,Did but convey unto our fearful minds,1.1.67,
,,,A doubtful warrant of immediate death;,1.1.68,
,,,"Which though myself would gladly have embraced,",1.1.69,
,,,"Yet the incessant weepings of my wife,",1.1.70,
,,,"Weeping before for what she saw must come,",1.1.71,
,,,"And piteous plainings of the pretty babes,",1.1.72,
,,,"That mourn'd for fashion, ignorant what to fear,",1.1.73,
,,,Forced me to seek delays for them and me.,1.1.74,
,,,"And this it was, for other means was none:",1.1.75,
,,,"The sailors sought for safety by our boat,",1.1.76,
,,,"And left the ship, then sinking-ripe, to us:",1.1.77,
,,,"My wife, more careful for the latter-born,",1.1.78,
,,,"Had fasten'd him unto a small spare mast,",1.1.79,
,,,Such as seafaring men provide for storms;,1.1.80,
,,,"To him one of the other twins was bound,",1.1.81,
,,,Whilst I had been like heedful of the other:,1.1.82,
,,,"The children thus disposed, my wife and I,",1.1.83,
,,,"Fixing our eyes on whom our care was fix'd,",1.1.84,
,,,Fasten'd ourselves at either end the mast;,1.1.85,
,,,"And floating straight, obedient to the stream,",1.1.86,
,,,"Was carried towards Corinth, as we thought.",1.1.87,
