Title,Chapter,Player,Line,Line ID,Stage Direction
The Merchant of Venice,,,,,
,ACT I,,,,
,SCENE I. Venice. A street.,,,,
,,,,,"Enter ANTONIO, SALARINO, and SALANIO"
,,ANTONIO,,,
,,,"In sooth, I know not why I am so sad:",1.1.1,
,,,It wearies me; you say it wearies you;,1.1.2,
,,,"But how I caught it, found it, or came by it,",1.1.3,
,,,"What stuff 'tis made of, whereof it is born,",1.1.4,
,,,I am to learn;,1.1.5,
,,,"And such a want-wit sadness makes of me,",1.1.6,
,,,That I have much ado to know myself.,1.1.7,
,,SALARINO,,,
,,,Your mind is tossing on the ocean;,1.1.8,
,,,"There, where your argosies with portly sail,",1.1.9,
,,,"Like signiors and rich burghers on the flood,",1.1.10,
,,,"Or, as it were, the pageants of the sea,",1.1.11,
,,,"Do overpeer the petty traffickers,",1.1.12,
,,,"That curtsy to them, do them reverence,",1.1.13,
,,,As they fly by them with their woven wings.,1.1.14,
,,SALANIO,,,
,,,"Believe me, sir, had I such venture forth,",1.1.15,
,,,The better part of my affections would,1.1.16,
,,,Be with my hopes abroad. I should be still,1.1.17,
,,,"Plucking the grass, to know where sits the wind,",1.1.18,
,,,Peering in maps for ports and piers and roads;,1.1.19,
,,,And every object that might make me fear,1.1.20,
,,,"Misfortune to my ventures, out of doubt",1.1.21,
,,,Would make me sad.,1.1.22,
,,SALARINO,,,
,,,My wind cooling my broth,1.1.23,
,,,"Would blow me to an ague, when I thought",1.1.24,
,,,What harm a wind too great at sea might do.,1.1.25,
,,,"I should not see the sandy hour-glass run,",1.1.26,
,,,"But I should think of shallows and of flats,",1.1.27,
,,,"And see my wealthy Andrew dock'd in sand,",1.1.28,
,,,Vailing her high-top lower than her ribs,1.1.29,
,,,To kiss her burial. Should I go to church,1.1.30,
,,,"And see the holy edifice of stone,",1.1.31,
,,,"And not bethink me straight of dangerous rocks,",1.1.32,
,,,"Which touching but my gentle vessel's side,",1.1.33,
,,,"Would scatter all her spices on the stream,",1.1.34,
,,,"Enrobe the roaring waters with my silks,",1.1.35,
,,,"And, in a word, but even now worth this,",1.1.36,
,,,And now worth nothing? Shall I have the thought,1.1.37,
,,,"To think on this, and shall I lack the thought",1.1.38,
,,,That such a thing bechanced would make me sad?,1.1.39,
,,,"But tell not me; I know, Antonio",1.1.40,
,,,Is sad to think upon his merchandise.,1.1.41,
,,ANTONIO,,,
,,,"Believe me, no: I thank my fortune for it,",1.1.42,
,,,"My ventures are not in one bottom trusted,",1.1.43,
,,,Nor to one place; nor is my whole estate,1.1.44,
,,,Upon the fortune of this present year:,1.1.45,
,,,Therefore my merchandise makes me not sad.,1.1.46,
,,SALARINO,,,
,,,"Why, then you are in love.",1.1.47,
,,ANTONIO,,,
,,,"Fie, fie!",1.1.48,
,,SALARINO,,,
,,,"Not in love neither? Then let us say you are sad,",1.1.49,
,,,Because you are not merry: and 'twere as easy,1.1.50,
,,,"For you to laugh and leap and say you are merry,",1.1.51,
,,,"Because you are not sad. Now, by two-headed Janus,",1.1.52,
,,,Nature hath framed strange fellows in her time:,1.1.53,
,,,Some that will evermore peep through their eyes,1.1.54,
,,,"And laugh like parrots at a bag-piper,",1.1.55,
,,,And other of such vinegar aspect,1.1.56,
,,,"That they'll not show their teeth in way of smile,",1.1.57,
,,,Though Nestor swear the jest be laughable.,1.1.58,
,,,,,"Enter BASSANIO, LORENZO, and GRATIANO"
,,SALANIO,,,
,,,"Here comes Bassanio, your most noble kinsman,",1.1.59,
,,,Gratiano and Lorenzo. Fare ye well:,1.1.60,
,,,We leave you now with better company.,1.1.61,
,,SALARINO,,,
,,,"I would have stay'd till I had made you merry,",1.1.62,
,,,If worthier friends had not prevented me.,1.1.63,
,,ANTONIO,,,
,,,Your worth is very dear in my regard.,1.1.64,
,,,"I take it, your own business calls on you",1.1.65,
,,,And you embrace the occasion to depart.,1.1.66,
,,SALARINO,,,
,,,"Good morrow, my good lords.",1.1.67,
,,BASSANIO,,,
,,,"Good signiors both, when shall we laugh? say, when?",1.1.68,
,,,You grow exceeding strange: must it be so?,1.1.69,
,,SALARINO,,,
,,,We'll make our leisures to attend on yours.,1.1.70,
,,,,,Exeunt Salarino and Salanio
,,LORENZO,,,
,,,"My Lord Bassanio, since you have found Antonio,",1.1.71,
,,,"We two will leave you: but at dinner-time,",1.1.72,
,,,"I pray you, have in mind where we must meet.",1.1.73,
,,BASSANIO,,,
,,,I will not fail you.,1.1.74,
,,GRATIANO,,,
,,,"You look not well, Signior Antonio;",1.1.75,
,,,You have too much respect upon the world:,1.1.76,
,,,They lose it that do buy it with much care:,1.1.77,
,,,"Believe me, you are marvellously changed.",1.1.78,
,,ANTONIO,,,
,,,"I hold the world but as the world, Gratiano;",1.1.79,
,,,"A stage where every man must play a part,",1.1.80,
,,,And mine a sad one.,1.1.81,
,,GRATIANO,,,
,,,Let me play the fool:,1.1.82,
,,,"With mirth and laughter let old wrinkles come,",1.1.83,
,,,And let my liver rather heat with wine,1.1.84,
,,,Than my heart cool with mortifying groans.,1.1.85,
,,,"Why should a man, whose blood is warm within,",1.1.86,
,,,Sit like his grandsire cut in alabaster?,1.1.87,
,,,Sleep when he wakes and creep into the jaundice,1.1.88,
,,,"By being peevish? I tell thee what, Antonio--",1.1.89,
,,,"I love thee, and it is my love that speaks--",1.1.90,
,,,There are a sort of men whose visages,1.1.91,
,,,"Do cream and mantle like a standing pond,",1.1.92,
,,,"And do a wilful stillness entertain,",1.1.93,
,,,With purpose to be dress'd in an opinion,1.1.94,
,,,"Of wisdom, gravity, profound conceit,",1.1.95,
,,,"As who should say 'I am Sir Oracle,",1.1.96,
,,,And when I ope my lips let no dog bark!',1.1.97,
,,,"O my Antonio, I do know of these",1.1.98,
,,,That therefore only are reputed wise,1.1.99,
,,,"For saying nothing; when, I am very sure,",1.1.100,
,,,"If they should speak, would almost damn those ears,",1.1.101,
,,,"Which, hearing them, would call their brothers fools.",1.1.102,
,,,I'll tell thee more of this another time:,1.1.103,
,,,"But fish not, with this melancholy bait,",1.1.104,
,,,"For this fool gudgeon, this opinion.",1.1.105,
,,,"Come, good Lorenzo. Fare ye well awhile:",1.1.106,
,,,I'll end my exhortation after dinner.,1.1.107,
,,LORENZO,,,
,,,"Well, we will leave you then till dinner-time:",1.1.108,
,,,"I must be one of these same dumb wise men,",1.1.109,
,,,For Gratiano never lets me speak.,1.1.110,
,,GRATIANO,,,
,,,"Well, keep me company but two years moe,",1.1.111,
,,,Thou shalt not know the sound of thine own tongue.,1.1.112,
,,ANTONIO,,,
,,,Farewell: I'll grow a talker for this gear.,1.1.113,
,,GRATIANO,,,
,,,"Thanks, i' faith, for silence is only commendable",1.1.114,
,,,In a neat's tongue dried and a maid not vendible.,1.1.115,
,,,,,Exeunt GRATIANO and LORENZO
,,ANTONIO,,,
,,,Is that any thing now?,1.1.116,
,,BASSANIO,,,
,,,"Gratiano speaks an infinite deal of nothing, more",1.1.117,
,,,than any man in all Venice. His reasons are as two,1.1.118,
