Title,Chapter,Player,Line,Line ID,Stage Direction
The Merry Wives of Windsor,,,,,
,ACT I,,,,
,SCENE I. Windsor. Before PAGE's house.,,,,
,,,,,"Enter SHALLOW, SLENDER, and SIR HUGH EVANS"
,,SHALLOW,,,
,,,"Sir Hugh, persuade me not; I will make a Star-",1.1.1,
,,,chamber matter of it: if he were twenty Sir John,1.1.2,
,,,"Falstaffs, he shall not abuse Robert Shallow, esquire.",1.1.3,
,,SLENDER,,,
,,,"In the county of Gloucester, justice of peace and",1.1.4,
,,,'Coram.',1.1.5,
,,SHALLOW,,,
,,,"Ay, cousin Slender, and 'Custalourum.",1.1.6,
,,SLENDER,,,
,,,"Ay, and 'Rato-lorum' too; and a gentleman born,",1.1.7,
,,,"master parson; who writes himself 'Armigero,' in any",1.1.8,
,,,"bill, warrant, quittance, or obligation, 'Armigero.'",1.1.9,
,,SHALLOW,,,
,,,"Ay, that I do; and have done any time these three",1.1.10,
,,,hundred years.,1.1.11,
,,SLENDER,,,
,,,All his successors gone before him hath done't; and,1.1.12,
,,,all his ancestors that come after him may: they may,1.1.13,
,,,give the dozen white luces in their coat.,1.1.14,
,,SHALLOW,,,
,,,It is an old coat.,1.1.15,
,,SIR HUGH EVANS,,,
,,,The dozen white louses do become an old coat well;,1.1.16,
,,,"it agrees well, passant; it is a familiar beast to",1.1.17,
,,,"man, and signifies love.",1.1.18,
,,SHALLOW,,,
,,,The luce is the fresh fish; the salt fish is an old coat.,1.1.19,
,,SLENDER,,,
,,,"I may quarter, coz.",1.1.20,
,,SHALLOW,,,
,,,"You may, by marrying.",1.1.21,
,,SIR HUGH EVANS,,,
,,,"It is marring indeed, if he quarter it.",1.1.22,
,,SHALLOW,,,
,,,Not a whit.,1.1.23,
,,SIR HUGH EVANS,,,
,,,"Yes, py'r lady; if he has a quarter of your coat,",1.1.24,
,,,"there is but three skirts for yourself, in my",1.1.25,
,,,simple conjectures: but that is all one. If Sir,1.1.26,
,,,John Falstaff have committed disparagements unto,1.1.27,
,,,"you, I am of the church, and will be glad to do my",1.1.28,
,,,benevolence to make atonements and compremises,1.1.29,
,,,between you.,1.1.30,
,,SHALLOW,,,
,,,The council shall bear it; it is a riot.,1.1.31,
,,SIR HUGH EVANS,,,
,,,It is not meet the council hear a riot; there is no,1.1.32,
,,,"fear of Got in a riot: the council, look you, shall",1.1.33,
,,,"desire to hear the fear of Got, and not to hear a",1.1.34,
,,,riot; take your vizaments in that.,1.1.35,
,,SHALLOW,,,
,,,"Ha! o' my life, if I were young again, the sword",1.1.36,
,,,should end it.,1.1.37,
,,SIR HUGH EVANS,,,
,,,"It is petter that friends is the sword, and end it:",1.1.38,
,,,"and there is also another device in my prain, which",1.1.39,
,,,peradventure prings goot discretions with it: there,1.1.40,
,,,"is Anne Page, which is daughter to Master Thomas",1.1.41,
,,,"Page, which is pretty virginity.",1.1.42,
,,SLENDER,,,
,,,"Mistress Anne Page? She has brown hair, and speaks",1.1.43,
,,,small like a woman.,1.1.44,
,,SIR HUGH EVANS,,,
,,,"It is that fery person for all the orld, as just as",1.1.45,
,,,"you will desire; and seven hundred pounds of moneys,",1.1.46,
,,,"and gold and silver, is her grandsire upon his",1.1.47,
,,,death's-bed--Got deliver to a joyful resurrections!,1.1.48,
,,,"--give, when she is able to overtake seventeen years",1.1.49,
,,,old: it were a goot motion if we leave our pribbles,1.1.50,
,,,"and prabbles, and desire a marriage between Master",1.1.51,
,,,Abraham and Mistress Anne Page.,1.1.52,
,,SLENDER,,,
,,,Did her grandsire leave her seven hundred pound?,1.1.53,
,,SIR HUGH EVANS,,,
,,,"Ay, and her father is make her a petter penny.",1.1.54,
,,SLENDER,,,
,,,I know the young gentlewoman; she has good gifts.,1.1.55,
,,SIR HUGH EVANS,,,
,,,Seven hundred pounds and possibilities is goot gifts.,1.1.56,
,,SHALLOW,,,
,,,"Well, let us see honest Master Page. Is Falstaff there?",1.1.57,
,,SIR HUGH EVANS,,,
,,,Shall I tell you a lie? I do despise a liar as I do,1.1.58,
,,,"despise one that is false, or as I despise one that",1.1.59,
,,,"is not true. The knight, Sir John, is there; and, I",1.1.60,
,,,"beseech you, be ruled by your well-willers. I will",1.1.61,
,,,peat the door for Master Page.,1.1.62,
,,,,,Knocks
,,,"What, hoa! Got pless your house here!",1.1.63,
