Title,Chapter,Player,Line,Line ID,Stage Direction
The Tempest,,,,,
,ACT I,,,,
,SCENE I. On a ship at sea: a tempestuous noise,,,,
,,,of thunder and lightning heard.,1.1.1,
,,,,,Enter a Master and a Boatswain
,,Master,,,
,,,Boatswain!,1.1.2,
,,Boatswain,,,
,,,"Here, master: what cheer?",1.1.3,
,,Master,,,
,,,"Good, speak to the mariners: fall to't, yarely,",1.1.4,
,,,"or we run ourselves aground: bestir, bestir.",1.1.5,
,,,,,Exit
,,,,,Enter Mariners
,,Boatswain,,,
,,,"Heigh, my hearts! cheerly, cheerly, my hearts!",1.1.6,
,,,"yare, yare! Take in the topsail. Tend to the",1.1.7,
,,,"master's whistle. Blow, till thou burst thy wind,",1.1.8,
,,,if room enough!,1.1.9,
,,,,,"Enter ALONSO, SEBASTIAN, ANTONIO, FERDINAND, GONZALO, and others"
,,ALONSO,,,
,,,"Good boatswain, have care. Where's the master?",1.1.10,
,,,Play the men.,1.1.11,
,,Boatswain,,,
,,,"I pray now, keep below.",1.1.12,
,,ANTONIO,,,
,,,"Where is the master, boatswain?",1.1.13,
,,Boatswain,,,
,,,Do you not hear him? You mar our labour: keep your,1.1.14,
,,,cabins: you do assist the storm.,1.1.15,
,,GONZALO,,,
,,,"Nay, good, be patient.",1.1.16,
,,Boatswain,,,
,,,When the sea is. Hence! What cares these roarers,1.1.17,
,,,for the name of king? To cabin: silence! trouble us not.,1.1.18,
,,GONZALO,,,
,,,"Good, yet remember whom thou hast aboard.",1.1.19,
,,Boatswain,,,
,,,None that I more love than myself. You are a,1.1.20,
,,,counsellor; if you can command these elements to,1.1.21,
,,,"silence, and work the peace of the present, we will",1.1.22,
,,,not hand a rope more; use your authority: if you,1.1.23,
,,,"cannot, give thanks you have lived so long, and make",1.1.24,
,,,yourself ready in your cabin for the mischance of,1.1.25,
,,,"the hour, if it so hap. Cheerly, good hearts! Out",1.1.26,
,,,"of our way, I say.",1.1.27,
,,,,,Exit
,,GONZALO,,,
,,,I have great comfort from this fellow: methinks he,1.1.28,
,,,hath no drowning mark upon him; his complexion is,1.1.29,
,,,"perfect gallows. Stand fast, good Fate, to his",1.1.30,
,,,"hanging: make the rope of his destiny our cable,",1.1.31,
,,,for our own doth little advantage. If he be not,1.1.32,
,,,"born to be hanged, our case is miserable.",1.1.33,
,,,,,Exeunt
,,,,,Re-enter Boatswain
,,Boatswain,,,
,,,"Down with the topmast! yare! lower, lower! Bring",1.1.34,
,,,her to try with main-course.,1.1.35,
,,,,,A cry within
,,,A plague upon this howling! they are louder than,1.1.36,
,,,the weather or our office.,1.1.37,
,,,,,"Re-enter SEBASTIAN, ANTONIO, and GONZALO"
,,,Yet again! what do you here? Shall we give o'er,1.1.38,
