Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. Athens. A hall in Timon's house.,,,,
,,,,"Enter Poet, Painter, Jeweller, Merchant, and others, at several doors"
,Poet,,,
,,"Good day, sir.",1.1.1,
,Painter,,,
,,I am glad you're well.,1.1.2,
,Poet,,,
,,I have not seen you long: how goes the world?,1.1.3,
,Painter,,,
,,"It wears, sir, as it grows.",1.1.4,
,Poet,,,
,,"Ay, that's well known:",1.1.5,
,,"But what particular rarity? what strange,",1.1.6,
,,"Which manifold record not matches? See,",1.1.7,
,,Magic of bounty! all these spirits thy power,1.1.8,
,,Hath conjured to attend. I know the merchant.,1.1.9,
,Painter,,,
,,I know them both; th' other's a jeweller.,1.1.10,
,Merchant,,,
,,"O, 'tis a worthy lord.",1.1.11,
,Jeweller,,,
,,"Nay, that's most fix'd.",1.1.12,
,Merchant,,,
,,"A most incomparable man, breathed, as it were,",1.1.13,
,,To an untirable and continuate goodness:,1.1.14,
,,He passes.,1.1.15,
,,Jeweller:	I have a jewel here--,1.1.16,
,Merchant,,,
,,"O, pray, let's see't: for the Lord Timon, sir?",1.1.17,
,,"Jeweller:	If he will touch the estimate: but, for that--",1.1.18,
,Poet,,,
,,[Reciting to himself]  'When we for recompense have,1.1.19,
,,"praised the vile,",1.1.20,
,,It stains the glory in that happy verse,1.1.21,
,,Which aptly sings the good.',1.1.22,
,Merchant,,,
,,'Tis a good form.,1.1.23,
,,,,Looking at the jewel
,Jeweller,,,
,,"And rich: here is a water, look ye.",1.1.24,
,Painter,,,
,,"You are rapt, sir, in some work, some dedication",1.1.25,
,,To the great lord.,1.1.26,
,Poet,,,
,,A thing slipp'd idly from me.,1.1.27,
,,"Our poesy is as a gum, which oozes",1.1.28,
,,From whence 'tis nourish'd: the fire i' the flint,1.1.29,
,,Shows not till it be struck; our gentle flame,1.1.30,
,,Provokes itself and like the current flies,1.1.31,
,,Each bound it chafes. What have you there?,1.1.32,
,Painter,,,
,,"A picture, sir. When comes your book forth?",1.1.33,
,Poet,,,
,,"Upon the heels of my presentment, sir.",1.1.34,
,,Let's see your piece.,1.1.35,
,Painter,,,
,,'Tis a good piece.,1.1.36,
,Poet,,,
,,So 'tis: this comes off well and excellent.,1.1.37,
,Painter,,,
,,Indifferent.,1.1.38,
,Poet,,,
,,Admirable: how this grace,1.1.39,
,,Speaks his own standing! what a mental power,1.1.40,
,,This eye shoots forth! how big imagination,1.1.41,
,,Moves in this lip! to the dumbness of the gesture,1.1.42,
,,One might interpret.,1.1.43,
,Painter,,,
,,It is a pretty mocking of the life.,1.1.44,
,,Here is a touch; is't good?,1.1.45,
,Poet,,,
,,"I will say of it,",1.1.46,
,,It tutors nature: artificial strife,1.1.47,
,,"Lives in these touches, livelier than life.",1.1.48,
,,,,"Enter certain Senators, and pass over"
,Painter,,,
,,How this lord is follow'd!,1.1.49,
,Poet,,,
,,The senators of Athens: happy man!,1.1.50,
,Painter,,,
,,"Look, more!",1.1.51,
,Poet,,,
,,"You see this confluence, this great flood",1.1.52,
,,of visitors.,1.1.53,
,,"I have, in this rough work, shaped out a man,",1.1.54,
