Title,Chapter,Player,Line,Line ID,Stage Direction
Titus Andronicus,,,,,
,ACT I,,,,
,SCENE I. Rome. Before the Capitol.,,,,
,,,,,"The Tomb of the ANDRONICI appearing; the Tribunes  and Senators aloft. Enter, below, from one side,  SATURNINUS and his Followers; and, from the other side, BASSIANUS and his Followers; with drum and colours"
,,SATURNINUS,,,
,,,"Noble patricians, patrons of my right,",1.1.1,
,,,"Defend the justice of my cause with arms,",1.1.2,
,,,"And, countrymen, my loving followers,",1.1.3,
,,,Plead my successive title with your swords:,1.1.4,
,,,"I am his first-born son, that was the last",1.1.5,
,,,That wore the imperial diadem of Rome;,1.1.6,
,,,"Then let my father's honours live in me,",1.1.7,
,,,Nor wrong mine age with this indignity.,1.1.8,
,,BASSIANUS,,,
,,,"Romans, friends, followers, favorers of my right,",1.1.9,
,,,"If ever Bassianus, Caesar's son,",1.1.10,
,,,"Were gracious in the eyes of royal Rome,",1.1.11,
,,,Keep then this passage to the Capitol,1.1.12,
,,,And suffer not dishonour to approach,1.1.13,
,,,"The imperial seat, to virtue consecrate,",1.1.14,
,,,"To justice, continence and nobility;",1.1.15,
,,,"But let desert in pure election shine,",1.1.16,
,,,"And, Romans, fight for freedom in your choice.",1.1.17,
,,,,,"Enter MARCUS ANDRONICUS, aloft, with the crown"
,,MARCUS ANDRONICUS,,,
,,,"Princes, that strive by factions and by friends",1.1.18,
,,,"Ambitiously for rule and empery,",1.1.19,
,,,"Know that the people of Rome, for whom we stand",1.1.20,
,,,"A special party, have, by common voice,",1.1.21,
,,,"In election for the Roman empery,",1.1.22,
,,,"Chosen Andronicus, surnamed Pius",1.1.23,
,,,For many good and great deserts to Rome:,1.1.24,
,,,"A nobler man, a braver warrior,",1.1.25,
,,,Lives not this day within the city walls:,1.1.26,
,,,He by the senate is accit'd home,1.1.27,
,,,From weary wars against the barbarous Goths;,1.1.28,
,,,"That, with his sons, a terror to our foes,",1.1.29,
,,,"Hath yoked a nation strong, train'd up in arms.",1.1.30,
,,,Ten years are spent since first he undertook,1.1.31,
,,,This cause of Rome and chastised with arms,1.1.32,
,,,Our enemies' pride: five times he hath return'd,1.1.33,
,,,"Bleeding to Rome, bearing his valiant sons",1.1.34,
,,,In coffins from the field;,1.1.35,
,,,"And now at last, laden with horror's spoils,",1.1.36,
,,,"Returns the good Andronicus to Rome,",1.1.37,
,,,"Renowned Titus, flourishing in arms.",1.1.38,
,,,"Let us entreat, by honour of his name,",1.1.39,
,,,Whom worthily you would have now succeed.,1.1.40,
,,,"And in the Capitol and senate's right,",1.1.41,
,,,"Whom you pretend to honour and adore,",1.1.42,
,,,That you withdraw you and abate your strength;,1.1.43,
,,,"Dismiss your followers and, as suitors should,",1.1.44,
,,,Plead your deserts in peace and humbleness.,1.1.45,
,,SATURNINUS,,,
,,,How fair the tribune speaks to calm my thoughts!,1.1.46,
,,BASSIANUS,,,
,,,"Marcus Andronicus, so I do ally",1.1.47,
,,,"In thy uprightness and integrity,",1.1.48,
,,,"And so I love and honour thee and thine,",1.1.49,
,,,"Thy noble brother Titus and his sons,",1.1.50,
,,,"And her to whom my thoughts are humbled all,",1.1.51,
,,,"Gracious Lavinia, Rome's rich ornament,",1.1.52,
,,,"That I will here dismiss my loving friends,",1.1.53,
,,,And to my fortunes and the people's favor,1.1.54,
,,,Commit my cause in balance to be weigh'd.,1.1.55,
,,,,,Exeunt the followers of BASSIANUS
,,SATURNINUS,,,
,,,"Friends, that have been thus forward in my right,",1.1.56,
,,,"I thank you all and here dismiss you all,",1.1.57,
,,,And to the love and favor of my country,1.1.58,
,,,"Commit myself, my person and the cause.",1.1.59,
,,,,,Exeunt the followers of SATURNINUS
,,,"Rome, be as just and gracious unto me",1.1.60,
,,,As I am confident and kind to thee.,1.1.61,
,,,"Open the gates, and let me in.",1.1.62,
,,BASSIANUS,,,
,,,"Tribunes, and me, a poor competitor.",1.1.63,
,,,,,Flourish. SATURNINUS and BASSIANUS go up into the Capitol
,,,,,Enter a Captain
,,Captain,,,
,,,"Romans, make way: the good Andronicus.",1.1.64,
,,,"Patron of virtue, Rome's best champion,",1.1.65,
,,,"Successful in the battles that he fights,",1.1.66,
,,,With honour and with fortune is return'd,1.1.67,
,,,"From where he circumscribed with his sword,",1.1.68,
,,,"And brought to yoke, the enemies of Rome.",1.1.69,
,,,,,"Drums and trumpets sounded. Enter MARTIUS and  MUTIUS; After them, two Men bearing a coffin  covered with black; then LUCIUS and QUINTUS. After  them, TITUS ANDRONICUS; and then TAMORA, with  ALARBUS, DEMETRIUS, CHIRON, AARON, and other Goths,  prisoners; Soldiers and people following. The Bearers set down the coffin, and TITUS speaks"
,,TITUS ANDRONICUS,,,
,,,"Hail, Rome, victorious in thy mourning weeds!",1.1.70,
,,,"Lo, as the bark, that hath discharged her fraught,",1.1.71,
,,,Returns with precious jading to the bay,1.1.72,
,,,"From whence at first she weigh'd her anchorage,",1.1.73,
,,,"Cometh Andronicus, bound with laurel boughs,",1.1.74,
,,,"To re-salute his country with his tears,",1.1.75,
,,,Tears of true joy for his return to Rome.,1.1.76,
,,,"Thou great defender of this Capitol,",1.1.77,
,,,Stand gracious to the rites that we intend!,1.1.78,
,,,"Romans, of five and twenty valiant sons,",1.1.79,
,,,"Half of the number that King Priam had,",1.1.80,
,,,"Behold the poor remains, alive and dead!",1.1.81,
,,,These that survive let Rome reward with love;,1.1.82,
,,,"These that I bring unto their latest home,",1.1.83,
,,,With burial amongst their ancestors:,1.1.84,
,,,Here Goths have given me leave to sheathe my sword.,1.1.85,
,,,"Titus, unkind and careless of thine own,",1.1.86,
