Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
PROLOGUE,,,,
,,"In Troy, there lies the scene. From isles of Greece",1.0.1,
,,"The princes orgulous, their high blood chafed,",1.0.2,
,,"Have to the port of Athens sent their ships,",1.0.3,
,,Fraught with the ministers and instruments,1.0.4,
,,"Of cruel war: sixty and nine, that wore",1.0.5,
,,"Their crownets regal, from the Athenian bay",1.0.6,
,,Put forth toward Phrygia; and their vow is made,1.0.7,
,,"To ransack Troy, within whose strong immures",1.0.8,
,,"The ravish'd Helen, Menelaus' queen,",1.0.9,
,,With wanton Paris sleeps; and that's the quarrel.,1.0.10,
,,To Tenedos they come;,1.0.11,
,,And the deep-drawing barks do there disgorge,1.0.12,
,,Their warlike fraughtage: now on Dardan plains,1.0.13,
,,The fresh and yet unbruised Greeks do pitch,1.0.14,
,,"Their brave pavilions: Priam's six-gated city,",1.0.15,
,,"Dardan, and Tymbria, Helias, Chetas, Troien,",1.0.16,
,,"And Antenorides, with massy staples",1.0.17,
,,"And corresponsive and fulfilling bolts,",1.0.18,
,,Sperr up the sons of Troy.,1.0.19,
,,"Now expectation, tickling skittish spirits,",1.0.20,
,,"On one and other side, Trojan and Greek,",1.0.21,
,,Sets all on hazard: and hither am I come,1.0.22,
,,"A prologue arm'd, but not in confidence",1.0.23,
,,"Of author's pen or actor's voice, but suited",1.0.24,
,,"In like conditions as our argument,",1.0.25,
,,"To tell you, fair beholders, that our play",1.0.26,
,,"Leaps o'er the vaunt and firstlings of those broils,",1.0.27,
,,"Beginning in the middle, starting thence away",1.0.28,
,,To what may be digested in a play.,1.0.29,
,,Like or find fault; do as your pleasures are:,1.0.30,
,,"Now good or bad, 'tis but the chance of war.",1.0.31,
SCENE I. Troy. Before Priam's palace.,,,,
,,,,"Enter TROILUS armed, and PANDARUS"
,TROILUS,,,
,,Call here my varlet; I'll unarm again:,1.1.1,
,,"Why should I war without the walls of Troy,",1.1.2,
,,That find such cruel battle here within?,1.1.3,
,,"Each Trojan that is master of his heart,",1.1.4,
,,"Let him to field; Troilus, alas! hath none.",1.1.5,
,PANDARUS,,,
,,Will this gear ne'er be mended?,1.1.6,
,TROILUS,,,
,,"The Greeks are strong and skilful to their strength,",1.1.7,
,,Fierce to their skill and to their fierceness valiant;,1.1.8,
,,"But I am weaker than a woman's tear,",1.1.9,
,,"Tamer than sleep, fonder than ignorance,",1.1.10,
,,Less valiant than the virgin in the night,1.1.11,
,,And skilless as unpractised infancy.,1.1.12,
,PANDARUS,,,
,,"Well, I have told you enough of this: for my part,",1.1.13,
,,I'll not meddle nor make no further. He that will,1.1.14,
,,have a cake out of the wheat must needs tarry the grinding.,1.1.15,
,TROILUS,,,
,,Have I not tarried?,1.1.16,
,PANDARUS,,,
,,"Ay, the grinding; but you must tarry",1.1.17,
,,the bolting.,1.1.18,
,TROILUS,,,
,,Have I not tarried?,1.1.19,
,PANDARUS,,,
,,"Ay, the bolting, but you must tarry the leavening.",1.1.20,
,TROILUS,,,
,,Still have I tarried.,1.1.21,
,PANDARUS,,,
,,"Ay, to the leavening; but here's yet in the word",1.1.22,
,,"'hereafter' the kneading, the making of the cake, the",1.1.23,
,,"heating of the oven and the baking; nay, you must",1.1.24,
,,"stay the cooling too, or you may chance to burn your lips.",1.1.25,
,TROILUS,,,
,,"Patience herself, what goddess e'er she be,",1.1.26,
,,Doth lesser blench at sufferance than I do.,1.1.27,
,,At Priam's royal table do I sit;,1.1.28,
,,"And when fair Cressid comes into my thoughts,--",1.1.29,
,,"So, traitor! 'When she comes!' When is she thence?",1.1.30,
,PANDARUS,,,
,,"Well, she looked yesternight fairer than ever I saw",1.1.31,
,,"her look, or any woman else.",1.1.32,
,TROILUS,,,
,,"I was about to tell thee:--when my heart,",1.1.33,
,,"As wedged with a sigh, would rive in twain,",1.1.34,
,,"Lest Hector or my father should perceive me,",1.1.35,
,,"I have, as when the sun doth light a storm,",1.1.36,
,,Buried this sigh in wrinkle of a smile:,1.1.37,
,,"But sorrow, that is couch'd in seeming gladness,",1.1.38,
,,Is like that mirth fate turns to sudden sadness.,1.1.39,
,PANDARUS,,,
,,An her hair were not somewhat darker than Helen's--,1.1.40,
,,"well, go to--there were no more comparison between",1.1.41,
,,"the women: but, for my part, she is my kinswoman; I",1.1.42,
,,"would not, as they term it, praise her: but I would",1.1.43,
,,"somebody had heard her talk yesterday, as I did. I",1.1.44,
,,"will not dispraise your sister Cassandra's wit, but--",1.1.45,
,TROILUS,,,
,,"O Pandarus! I tell thee, Pandarus,--",1.1.46,
,,"When I do tell thee, there my hopes lie drown'd,",1.1.47,
,,Reply not in how many fathoms deep,1.1.48,
,,They lie indrench'd. I tell thee I am mad,1.1.49,
,,In Cressid's love: thou answer'st 'she is fair;',1.1.50,
,,Pour'st in the open ulcer of my heart,1.1.51,
,,"Her eyes, her hair, her cheek, her gait, her voice,",1.1.52,
,,"Handlest in thy discourse, O, that her hand,",1.1.53,
,,"In whose comparison all whites are ink,",1.1.54,
,,"Writing their own reproach, to whose soft seizure",1.1.55,
,,The cygnet's down is harsh and spirit of sense,1.1.56,
,,"Hard as the palm of ploughman: this thou tell'st me,",1.1.57,
,,"As true thou tell'st me, when I say I love her;",1.1.58,
,,"But, saying thus, instead of oil and balm,",1.1.59,
,,Thou lay'st in every gash that love hath given me,1.1.60,
,,The knife that made it.,1.1.61,
,PANDARUS,,,
,,I speak no more than truth.,1.1.62,
,TROILUS,,,
,,Thou dost not speak so much.,1.1.63,
,PANDARUS,,,
,,"Faith, I'll not meddle in't. Let her be as she is:",1.1.64,
,,"if she be fair, 'tis the better for her; an she be",1.1.65,
,,"not, she has the mends in her own hands.",1.1.66,
,TROILUS,,,
,,"Good Pandarus, how now, Pandarus!",1.1.67,
,PANDARUS,,,
,,I have had my labour for my travail; ill-thought on of,1.1.68,
,,her and ill-thought on of you; gone between and,1.1.69,
,,"between, but small thanks for my labour.",1.1.70,
,TROILUS,,,
,,"What, art thou angry, Pandarus? what, with me?",1.1.71,
,PANDARUS,,,
,,"Because she's kin to me, therefore she's not so fair",1.1.72,
,,"as Helen: an she were not kin to me, she would be as",1.1.73,
,,fair on Friday as Helen is on Sunday. But what care,1.1.74,
,,I? I care not an she were a black-a-moor; 'tis all one to me.,1.1.75,
,TROILUS,,,
,,Say I she is not fair?,1.1.76,
,PANDARUS,,,
,,I do not care whether you do or no. She's a fool to,1.1.77,
,,stay behind her father; let her to the Greeks; and so,1.1.78,
,,"I'll tell her the next time I see her: for my part,",1.1.79,
,,I'll meddle nor make no more i' the matter.,1.1.80,
,TROILUS,,,
,,"Pandarus,--",1.1.81,
,PANDARUS,,,
,,Not I.,1.1.82,
,TROILUS,,,
,,"Sweet Pandarus,--",1.1.83,
,PANDARUS,,,
,,"Pray you, speak no more to me: I will leave all as I",1.1.84,
,,"found it, and there an end.",1.1.85,
,,,,Exit PANDARUS. An alarum
,TROILUS,,,
,,"Peace, you ungracious clamours! peace, rude sounds!",1.1.86,
,,"Fools on both sides! Helen must needs be fair,",1.1.87,
,,When with your blood you daily paint her thus.,1.1.88,
,,I cannot fight upon this argument;,1.1.89,
,,It is too starved a subject for my sword.,1.1.90,
,,"But Pandarus,--O gods, how do you plague me!",1.1.91,
,,I cannot come to Cressid but by Pandar;,1.1.92,
