Title,Chapter,Player,Line,Line ID,Stage Direction
Twelfth Night,,,,,
,ACT I,,,,
,SCENE I. DUKE ORSINO's palace.,,,,
,,,,,"Enter DUKE ORSINO, CURIO, and other Lords; Musicians attending"
,,DUKE ORSINO,,,
,,,"If music be the food of love, play on;",1.1.1,
,,,"Give me excess of it, that, surfeiting,",1.1.2,
,,,"The appetite may sicken, and so die.",1.1.3,
,,,That strain again! it had a dying fall:,1.1.4,
,,,"O, it came o'er my ear like the sweet sound,",1.1.5,
,,,"That breathes upon a bank of violets,",1.1.6,
,,,Stealing and giving odour! Enough; no more:,1.1.7,
,,,'Tis not so sweet now as it was before.,1.1.8,
,,,"O spirit of love! how quick and fresh art thou,",1.1.9,
,,,"That, notwithstanding thy capacity",1.1.10,
,,,"Receiveth as the sea, nought enters there,",1.1.11,
,,,"Of what validity and pitch soe'er,",1.1.12,
,,,"But falls into abatement and low price,",1.1.13,
,,,Even in a minute: so full of shapes is fancy,1.1.14,
,,,That it alone is high fantastical.,1.1.15,
,,CURIO,,,
,,,"Will you go hunt, my lord?",1.1.16,
,,DUKE ORSINO,,,
,,,"What, Curio?",1.1.17,
,,CURIO,,,
,,,The hart.,1.1.18,
,,DUKE ORSINO,,,
,,,"Why, so I do, the noblest that I have:",1.1.19,
,,,"O, when mine eyes did see Olivia first,",1.1.20,
,,,Methought she purged the air of pestilence!,1.1.21,
,,,That instant was I turn'd into a hart;,1.1.22,
,,,"And my desires, like fell and cruel hounds,",1.1.23,
,,,E'er since pursue me.,1.1.24,
,,,,,Enter VALENTINE
,,,How now! what news from her?,1.1.25,
,,VALENTINE,,,
,,,"So please my lord, I might not be admitted;",1.1.26,
,,,But from her handmaid do return this answer:,1.1.27,
,,,"The element itself, till seven years' heat,",1.1.28,
,,,Shall not behold her face at ample view;,1.1.29,
,,,"But, like a cloistress, she will veiled walk",1.1.30,
,,,And water once a day her chamber round,1.1.31,
,,,With eye-offending brine: all this to season,1.1.32,
,,,"A brother's dead love, which she would keep fresh",1.1.33,
,,,And lasting in her sad remembrance.,1.1.34,
,,DUKE ORSINO,,,
,,,"O, she that hath a heart of that fine frame",1.1.35,
,,,"To pay this debt of love but to a brother,",1.1.36,
,,,"How will she love, when the rich golden shaft",1.1.37,
,,,Hath kill'd the flock of all affections else,1.1.38,
,,,"That live in her; when liver, brain and heart,",1.1.39,
,,,"These sovereign thrones, are all supplied, and fill'd",1.1.40,
,,,Her sweet perfections with one self king!,1.1.41,
,,,Away before me to sweet beds of flowers:,1.1.42,
,,,Love-thoughts lie rich when canopied with bowers.,1.1.43,
,,,,,Exeunt
,SCENE II. The sea-coast.,,,,
,,,,,"Enter VIOLA, a Captain, and Sailors"
,,VIOLA,,,
,,,"What country, friends, is this?",1.2.1,
,,Captain,,,
,,,"This is Illyria, lady.",1.2.2,
,,VIOLA,,,
,,,And what should I do in Illyria?,1.2.3,
,,,My brother he is in Elysium.,1.2.4,
,,,"Perchance he is not drown'd: what think you, sailors?",1.2.5,
,,Captain,,,
,,,It is perchance that you yourself were saved.,1.2.6,
,,VIOLA,,,
,,,O my poor brother! and so perchance may he be.,1.2.7,
,,Captain,,,
,,,"True, madam: and, to comfort you with chance,",1.2.8,
,,,"Assure yourself, after our ship did split,",1.2.9,
,,,When you and those poor number saved with you,1.2.10,
,,,"Hung on our driving boat, I saw your brother,",1.2.11,
,,,"Most provident in peril, bind himself,",1.2.12,
,,,"Courage and hope both teaching him the practise,",1.2.13,
,,,To a strong mast that lived upon the sea;,1.2.14,
,,,"Where, like Arion on the dolphin's back,",1.2.15,
,,,I saw him hold acquaintance with the waves,1.2.16,
,,,So long as I could see.,1.2.17,
,,VIOLA,,,
,,,"For saying so, there's gold:",1.2.18,
,,,"Mine own escape unfoldeth to my hope,",1.2.19,
,,,"Whereto thy speech serves for authority,",1.2.20,
,,,The like of him. Know'st thou this country?,1.2.21,
,,Captain,,,
,,,"Ay, madam, well; for I was bred and born",1.2.22,
,,,Not three hours' travel from this very place.,1.2.23,
,,VIOLA,,,
,,,Who governs here?,1.2.24,
,,Captain,,,
,,,"A noble duke, in nature as in name.",1.2.25,
,,VIOLA,,,
,,,What is the name?,1.2.26,
,,Captain,,,
,,,Orsino.,1.2.27,
,,VIOLA,,,
,,,Orsino! I have heard my father name him:,1.2.28,
,,,He was a bachelor then.,1.2.29,
,,Captain,,,
,,,"And so is now, or was so very late;",1.2.30,
,,,"For but a month ago I went from hence,",1.2.31,
,,,"And then 'twas fresh in murmur,--as, you know,",1.2.32,
,,,"What great ones do the less will prattle of,--",1.2.33,
,,,That he did seek the love of fair Olivia.,1.2.34,
,,VIOLA,,,
,,,What's she?,1.2.35,
,,Captain,,,
,,,"A virtuous maid, the daughter of a count",1.2.36,
,,,"That died some twelvemonth since, then leaving her",1.2.37,
,,,"In the protection of his son, her brother,",1.2.38,
,,,"Who shortly also died: for whose dear love,",1.2.39,
,,,"They say, she hath abjured the company",1.2.40,
,,,And sight of men.,1.2.41,
,,VIOLA,,,
,,,O that I served that lady,1.2.42,
,,,"And might not be delivered to the world,",1.2.43,
,,,"Till I had made mine own occasion mellow,",1.2.44,
,,,What my estate is!,1.2.45,
,,Captain,,,
,,,That were hard to compass;,1.2.46,
,,,"Because she will admit no kind of suit,",1.2.47,
,,,"No, not the duke's.",1.2.48,
,,VIOLA,,,
,,,"There is a fair behavior in thee, captain;",1.2.49,
,,,And though that nature with a beauteous wall,1.2.50,
,,,"Doth oft close in pollution, yet of thee",1.2.51,
,,,I will believe thou hast a mind that suits,1.2.52,
,,,With this thy fair and outward character.,1.2.53,
,,,"I prithee, and I'll pay thee bounteously,",1.2.54,
,,,"Conceal me what I am, and be my aid",1.2.55,
,,,For such disguise as haply shall become,1.2.56,
,,,The form of my intent. I'll serve this duke:,1.2.57,
,,,Thou shall present me as an eunuch to him:,1.2.58,
,,,It may be worth thy pains; for I can sing,1.2.59,
,,,And speak to him in many sorts of music,1.2.60,
,,,That will allow me very worth his service.,1.2.61,
,,,What else may hap to time I will commit;,1.2.62,
,,,Only shape thou thy silence to my wit.,1.2.63,
,,Captain,,,
,,,"Be you his eunuch, and your mute I'll be:",1.2.64,
,,,"When my tongue blabs, then let mine eyes not see.",1.2.65,
,,VIOLA,,,
,,,I thank thee: lead me on.,1.2.66,
,,,,,Exeunt
,SCENE III. OLIVIA'S house.,,,,
,,,,,Enter SIR TOBY BELCH and MARIA
,,SIR TOBY BELCH,,,
,,,"What a plague means my niece, to take the death of",1.3.1,
,,,her brother thus? I am sure care's an enemy to life.,1.3.2,
,,MARIA,,,
,,,"By my troth, Sir Toby, you must come in earlier o'",1.3.3,
