Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. Verona. An open place.,,,,
,,,,Enter VALENTINE and PROTEUS
,VALENTINE,,,
,,"Cease to persuade, my loving Proteus:",1.1.1,
,,Home-keeping youth have ever homely wits.,1.1.2,
,,Were't not affection chains thy tender days,1.1.3,
,,"To the sweet glances of thy honour'd love,",1.1.4,
,,I rather would entreat thy company,1.1.5,
,,"To see the wonders of the world abroad,",1.1.6,
,,"Than, living dully sluggardized at home,",1.1.7,
,,Wear out thy youth with shapeless idleness.,1.1.8,
,,"But since thou lovest, love still and thrive therein,",1.1.9,
,,Even as I would when I to love begin.,1.1.10,
,PROTEUS,,,
,,"Wilt thou be gone? Sweet Valentine, adieu!",1.1.11,
,,"Think on thy Proteus, when thou haply seest",1.1.12,
,,Some rare note-worthy object in thy travel:,1.1.13,
,,Wish me partaker in thy happiness,1.1.14,
,,"When thou dost meet good hap; and in thy danger,",1.1.15,
,,"If ever danger do environ thee,",1.1.16,
,,"Commend thy grievance to my holy prayers,",1.1.17,
,,"For I will be thy beadsman, Valentine.",1.1.18,
,VALENTINE,,,
,,And on a love-book pray for my success?,1.1.19,
,PROTEUS,,,
,,Upon some book I love I'll pray for thee.,1.1.20,
,VALENTINE,,,
,,That's on some shallow story of deep love:,1.1.21,
,,How young Leander cross'd the Hellespont.,1.1.22,
,PROTEUS,,,
,,That's a deep story of a deeper love:,1.1.23,
,,For he was more than over shoes in love.,1.1.24,
,VALENTINE,,,
,,"'Tis true; for you are over boots in love,",1.1.25,
,,And yet you never swum the Hellespont.,1.1.26,
,PROTEUS,,,
,,"Over the boots? nay, give me not the boots.",1.1.27,
,VALENTINE,,,
,,"No, I will not, for it boots thee not.",1.1.28,
,PROTEUS,,,
,,What?,1.1.29,
,VALENTINE,,,
,,"To be in love, where scorn is bought with groans;",1.1.30,
,,Coy looks with heart-sore sighs; one fading moment's mirth,1.1.31,
,,"With twenty watchful, weary, tedious nights:",1.1.32,
,,"If haply won, perhaps a hapless gain;",1.1.33,
,,"If lost, why then a grievous labour won;",1.1.34,
,,"However, but a folly bought with wit,",1.1.35,
,,Or else a wit by folly vanquished.,1.1.36,
,PROTEUS,,,
,,"So, by your circumstance, you call me fool.",1.1.37,
,VALENTINE,,,
,,"So, by your circumstance, I fear you'll prove.",1.1.38,
,PROTEUS,,,
,,'Tis love you cavil at: I am not Love.,1.1.39,
,VALENTINE,,,
,,"Love is your master, for he masters you:",1.1.40,
,,"And he that is so yoked by a fool,",1.1.41,
,,"Methinks, should not be chronicled for wise.",1.1.42,
,PROTEUS,,,
,,"Yet writers say, as in the sweetest bud",1.1.43,
,,"The eating canker dwells, so eating love",1.1.44,
,,Inhabits in the finest wits of all.,1.1.45,
,VALENTINE,,,
,,"And writers say, as the most forward bud",1.1.46,
,,"Is eaten by the canker ere it blow,",1.1.47,
,,Even so by love the young and tender wit,1.1.48,
,,"Is turn'd to folly, blasting in the bud,",1.1.49,
,,Losing his verdure even in the prime,1.1.50,
,,And all the fair effects of future hopes.,1.1.51,
,,"But wherefore waste I time to counsel thee,",1.1.52,
,,That art a votary to fond desire?,1.1.53,
,,Once more adieu! my father at the road,1.1.54,
,,"Expects my coming, there to see me shipp'd.",1.1.55,
,PROTEUS,,,
,,"And thither will I bring thee, Valentine.",1.1.56,
,VALENTINE,,,
,,"Sweet Proteus, no; now let us take our leave.",1.1.57,
,,To Milan let me hear from thee by letters,1.1.58,
,,"Of thy success in love, and what news else",1.1.59,
,,Betideth here in absence of thy friend;,1.1.60,
,,And likewise will visit thee with mine.,1.1.61,
,PROTEUS,,,
,,All happiness bechance to thee in Milan!,1.1.62,
,VALENTINE,,,
,,"As much to you at home! and so, farewell.",1.1.63,
,,,,Exit
,PROTEUS,,,
,,"He after honour hunts, I after love:",1.1.64,
,,"He leaves his friends to dignify them more,",1.1.65,
,,"I leave myself, my friends and all, for love.",1.1.66,
,,"Thou, Julia, thou hast metamorphosed me,",1.1.67,
,,"Made me neglect my studies, lose my time,",1.1.68,
,,"War with good counsel, set the world at nought;",1.1.69,
,,"Made wit with musing weak, heart sick with thought.",1.1.70,
,,,,Enter SPEED
,SPEED,,,
,,"Sir Proteus, save you! Saw you my master?",1.1.71,
,PROTEUS,,,
,,"But now he parted hence, to embark for Milan.",1.1.72,
,SPEED,,,
,,"Twenty to one then he is shipp'd already,",1.1.73,
,,And I have play'd the sheep in losing him.,1.1.74,
,PROTEUS,,,
,,"Indeed, a sheep doth very often stray,",1.1.75,
,,An if the shepherd be a while away.,1.1.76,
,SPEED,,,
,,"You conclude that my master is a shepherd, then,",1.1.77,
,,and I a sheep?,1.1.78,
,PROTEUS,,,
,,I do.,1.1.79,
,SPEED,,,
,,"Why then, my horns are his horns, whether I wake or sleep.",1.1.80,
,PROTEUS,,,
,,A silly answer and fitting well a sheep.,1.1.81,
,SPEED,,,
,,This proves me still a sheep.,1.1.82,
,PROTEUS,,,
,,True; and thy master a shepherd.,1.1.83,
,SPEED,,,
,,"Nay, that I can deny by a circumstance.",1.1.84,
,PROTEUS,,,
,,It shall go hard but I'll prove it by another.,1.1.85,
,SPEED,,,
,,"The shepherd seeks the sheep, and not the sheep the",1.1.86,
,,"shepherd; but I seek my master, and my master seeks",1.1.87,
,,not me: therefore I am no sheep.,1.1.88,
,PROTEUS,,,
,,The sheep for fodder follow the shepherd; the,1.1.89,
,,shepherd for food follows not the sheep: thou for,1.1.90,
,,wages followest thy master; thy master for wages,1.1.91,
,,follows not thee: therefore thou art a sheep.,1.1.92,
,SPEED,,,
,,Such another proof will make me cry 'baa.',1.1.93,
,PROTEUS,,,
,,"But, dost thou hear? gavest thou my letter to Julia?",1.1.94,
,SPEED,,,
,,"Ay sir: I, a lost mutton, gave your letter to her,",1.1.95,
,,"a laced mutton, and she, a laced mutton, gave me, a",1.1.96,
,,"lost mutton, nothing for my labour.",1.1.97,
,PROTEUS,,,
,,Here's too small a pasture for such store of muttons.,1.1.98,
,SPEED,,,
,,"If the ground be overcharged, you were best stick her.",1.1.99,
,PROTEUS,,,
,,"Nay: in that you are astray, 'twere best pound you.",1.1.100,
,SPEED,,,
,,"Nay, sir, less than a pound shall serve me for",1.1.101,
,,carrying your letter.,1.1.102,
,PROTEUS,,,
,,"You mistake; I mean the pound,--a pinfold.",1.1.103,
,SPEED,,,
,,"From a pound to a pin? fold it over and over,",1.1.104,
,,'Tis threefold too little for carrying a letter to,1.1.105,
