Title,Chapter,Player,Line,Line ID,Stage Direction
Winter's Tale,,,,,
,ACT I,,,,
,SCENE I. Antechamber in LEONTES' palace.,,,,
,,,,,Enter CAMILLO and ARCHIDAMUS
,,ARCHIDAMUS,,,
,,,"If you shall chance, Camillo, to visit Bohemia, on",1.1.1,
,,,the like occasion whereon my services are now on,1.1.2,
,,,"foot, you shall see, as I have said, great",1.1.3,
,,,difference betwixt our Bohemia and your Sicilia.,1.1.4,
,,CAMILLO,,,
,,,"I think, this coming summer, the King of Sicilia",1.1.5,
,,,means to pay Bohemia the visitation which he justly owes him.,1.1.6,
,,ARCHIDAMUS,,,
,,,Wherein our entertainment shall shame us we will be,1.1.7,
,,,justified in our loves; for indeed--,1.1.8,
,,CAMILLO,,,
,,,"Beseech you,--",1.1.9,
,,ARCHIDAMUS,,,
,,,"Verily, I speak it in the freedom of my knowledge:",1.1.10,
,,,we cannot with such magnificence--in so rare--I know,1.1.11,
,,,"not what to say. We will give you sleepy drinks,",1.1.12,
,,,"that your senses, unintelligent of our insufficience,",1.1.13,
,,,"may, though they cannot praise us, as little accuse",1.1.14,
,,,us.,1.1.15,
,,CAMILLO,,,
,,,You pay a great deal too dear for what's given freely.,1.1.16,
,,ARCHIDAMUS,,,
,,,"Believe me, I speak as my understanding instructs me",1.1.17,
,,,and as mine honesty puts it to utterance.,1.1.18,
,,CAMILLO,,,
,,,Sicilia cannot show himself over-kind to Bohemia.,1.1.19,
,,,They were trained together in their childhoods; and,1.1.20,
,,,"there rooted betwixt them then such an affection,",1.1.21,
,,,which cannot choose but branch now. Since their,1.1.22,
,,,more mature dignities and royal necessities made,1.1.23,
,,,"separation of their society, their encounters,",1.1.24,
,,,"though not personal, have been royally attorneyed",1.1.25,
,,,"with interchange of gifts, letters, loving",1.1.26,
,,,"embassies; that they have seemed to be together,",1.1.27,
,,,"though absent, shook hands, as over a vast, and",1.1.28,
,,,"embraced, as it were, from the ends of opposed",1.1.29,
,,,winds. The heavens continue their loves!,1.1.30,
,,ARCHIDAMUS,,,
,,,I think there is not in the world either malice or,1.1.31,
,,,matter to alter it. You have an unspeakable,1.1.32,
,,,comfort of your young prince Mamillius: it is a,1.1.33,
,,,gentleman of the greatest promise that ever came,1.1.34,
,,,into my note.,1.1.35,
,,CAMILLO,,,
,,,I very well agree with you in the hopes of him: it,1.1.36,
,,,is a gallant child; one that indeed physics the,1.1.37,
,,,"subject, makes old hearts fresh: they that went on",1.1.38,
,,,crutches ere he was born desire yet their life to,1.1.39,
,,,see him a man.,1.1.40,
,,ARCHIDAMUS,,,
,,,Would they else be content to die?,1.1.41,
,,CAMILLO,,,
,,,Yes; if there were no other excuse why they should,1.1.42,
,,,desire to live.,1.1.43,
,,ARCHIDAMUS,,,
